Kategorie: Alle Kategorien

Woche,Influenza: (Graubünden),influenza: (Graubünden),Grippe: (Graubünden),Flu: (Graubünden)
2013-01-06,15,0,0,0
2013-01-13,28,0,28,0
2013-01-20,27,0,0,0
2013-01-27,25,0,18,0
2013-02-03,33,0,0,0
2013-02-10,27,0,0,0
2013-02-17,10,0,13,0
2013-02-24,0,0,0,0
2013-03-03,0,100,0,0
2013-03-10,0,0,16,12
2013-03-17,0,17,12,16
2013-03-24,0,0,10,10
2013-03-31,0,0,0,10
2013-04-07,0,38,0,0
2013-04-14,0,0,0,0
2013-04-21,0,0,0,0
2013-04-28,0,31,0,0
2013-05-05,0,0,29,15
2013-05-12,0,0,0,0
2013-05-19,19,12,0,0
2013-05-26,0,12,0,65
2013-06-02,0,18,0,15
2013-06-09,0,0,0,18
2013-06-16,13,0,0,0
2013-06-23,24,0,0,0
2013-06-30,0,0,0,0
2013-07-07,0,0,0,0
2013-07-14,0,0,0,18
2013-07-21,0,0,0,0
2013-07-28,0,0,0,33
2013-08-04,0,0,0,0
2013-08-11,0,0,35,0
2013-08-18,0,0,0,0
2013-08-25,0,0,35,41
2013-09-01,0,0,0,0
2013-09-08,19,0,17,0
2013-09-15,0,0,0,14
2013-09-22,0,0,12,0
2013-09-29,0,0,0,0
2013-10-06,0,0,0,13
2013-10-13,0,21,0,0
2013-10-20,0,12,14,0
2013-10-27,0,11,0,0
2013-11-03,0,0,16,0
2013-11-10,15,17,0,0
2013-11-17,0,0,0,0
2013-11-24,23,0,0,0
2013-12-01,13,0,17,0
2013-12-08,0,0,14,16
2013-12-15,36,26,0,0
2013-12-22,0,0,10,26
2013-12-29,0,0,14,0
2014-01-05,0,0,11,28
2014-01-12,15,0,17,0
2014-01-19,0,0,15,11
2014-01-26,0,0,54,0
2014-02-02,0,0,0,0
2014-02-09,0,0,0,0
2014-02-16,35,0,17,0
2014-02-23,11,0,0,0
2014-03-02,0,0,11,12
2014-03-09,0,0,0,32
2014-03-16,0,0,0,0
2014-03-23,25,0,0,0
2014-03-30,0,0,0,0
2014-04-06,0,0,12,0
2014-04-13,13,0,0,0
2014-04-20,0,0,0,0
2014-04-27,0,0,0,0
2014-05-04,0,64,0,0
2014-05-11,0,0,0,0
2014-05-18,0,20,0,0
2014-05-25,0,0,0,0
2014-06-01,15,0,0,0
2014-06-08,29,13,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,29
2014-07-06,0,0,0,0
2014-07-13,0,0,0,0
2014-07-20,42,0,0,0
2014-07-27,0,0,13,13
2014-08-03,0,0,0,0
2014-08-10,16,34,0,0
2014-08-17,25,0,20,0
2014-08-24,0,11,14,0
2014-08-31,20,0,0,0
2014-09-07,0,0,0,0
2014-09-14,0,0,0,0
2014-09-21,0,0,0,0
2014-09-28,0,23,19,18
2014-10-05,0,0,0,0
2014-10-12,0,0,0,0
2014-10-19,0,21,0,0
2014-10-26,55,26,0,0
2014-11-02,0,0,0,0
2014-11-09,0,0,0,16
2014-11-16,0,0,24,0
2014-11-23,0,17,0,0
2014-11-30,14,26,0,0
2014-12-07,0,14,0,0
2014-12-14,10,0,13,0
2014-12-21,0,0,0,0
2014-12-28,17,0,11,0
2015-01-04,0,0,0,0
