Kategorie: Alle Kategorien

Woche,Influenza: (Solothurn),influenza: (Solothurn),Grippe: (Solothurn),Flu: (Solothurn)
2022-11-27,21,0,33,0
2022-12-04,31,0,32,0
2022-12-11,100,0,24,0
2022-12-18,81,24,56,0
2022-12-25,71,15,70,0
2023-01-01,41,0,12,0
2023-01-08,39,0,37,0
2023-01-15,9,26,33,0
2023-01-22,25,0,19,12
2023-01-29,41,23,27,0
2023-02-05,20,0,0,0
2023-02-12,23,0,32,0
2023-02-19,10,0,30,0
2023-02-26,34,13,35,22
2023-03-05,43,41,11,0
2023-03-12,16,0,9,0
2023-03-19,19,0,19,0
2023-03-26,0,23,0,0
2023-04-02,0,0,21,0
2023-04-09,30,14,16,9
2023-04-16,43,0,20,11
2023-04-23,0,0,24,0
2023-04-30,0,0,13,0
2023-05-07,10,0,18,0
2023-05-14,22,9,12,0
2023-05-21,0,25,20,0
2023-05-28,0,0,31,0
2023-06-04,54,12,11,20
2023-06-11,0,0,0,24
2023-06-18,12,0,11,0
2023-06-25,0,0,0,39
2023-07-02,15,0,0,10
2023-07-09,20,0,0,0
2023-07-16,27,17,10,0
2023-07-23,0,0,0,0
2023-07-30,15,0,0,0
2023-08-06,0,0,16,0
2023-08-13,0,0,14,0
2023-08-20,0,28,0,0
2023-08-27,0,0,0,0
2023-09-03,0,0,0,0
2023-09-10,26,0,27,0
2023-09-17,22,0,44,16
2023-09-24,29,10,0,0
2023-10-01,34,0,0,0
2023-10-08,0,0,0,0
2023-10-15,19,0,17,19
2023-10-22,22,13,9,0
2023-10-29,11,0,13,0
2023-11-05,19,0,33,0
2023-11-12,23,0,32,0
