Kategorie: Alle Kategorien

Woche,Influenza: (Nidwalden),influenza: (Nidwalden),Grippe: (Nidwalden),Flu: (Nidwalden)
2017-11-05,21,0,39,0
2017-11-12,0,23,0,0
2017-11-19,0,0,25,0
2017-11-26,0,29,0,0
2017-12-03,0,0,0,0
2017-12-10,0,0,0,30
2017-12-17,35,0,0,0
2017-12-24,21,0,24,24
2017-12-31,0,24,39,0
2018-01-07,0,0,0,0
2018-01-14,0,0,0,0
2018-01-21,0,46,0,0
2018-01-28,0,0,0,0
2018-02-04,24,0,0,0
2018-02-11,0,0,0,0
2018-02-18,0,0,0,22
2018-02-25,0,0,0,0
2018-03-04,27,0,0,0
2018-03-11,0,0,27,28
2018-03-18,0,0,26,0
2018-03-25,0,0,0,0
2018-04-01,0,0,0,31
2018-04-08,79,0,0,0
2018-04-15,0,0,0,0
2018-04-22,0,0,0,0
2018-04-29,0,0,0,0
2018-05-06,0,0,38,0
2018-05-13,0,53,22,46
2018-05-20,0,0,0,0
2018-05-27,0,0,0,0
2018-06-03,0,0,0,0
2018-06-10,20,0,0,0
2018-06-17,0,30,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,38,0,0,0
2018-07-15,24,0,0,0
2018-07-22,0,0,0,0
2018-07-29,0,0,0,0
2018-08-05,41,0,0,0
2018-08-12,0,0,0,38
2018-08-19,0,0,0,0
2018-08-26,0,0,0,18
2018-09-02,0,0,0,0
2018-09-09,0,0,0,20
2018-09-16,0,0,23,0
2018-09-23,0,0,39,0
2018-09-30,0,0,0,0
2018-10-07,0,26,18,0
2018-10-14,0,0,0,0
2018-10-21,26,0,22,0
2018-10-28,0,63,0,0
2018-11-04,0,0,0,0
2018-11-11,82,0,0,0
2018-11-18,0,0,0,40
2018-11-25,0,0,0,0
2018-12-02,0,0,0,0
2018-12-09,0,0,0,0
2018-12-16,17,0,0,0
2018-12-23,0,0,0,0
2018-12-30,0,0,0,0
2019-01-06,0,0,0,16
2019-01-13,0,19,0,0
2019-01-20,0,17,0,0
2019-01-27,19,39,0,0
2019-02-03,30,19,23,0
2019-02-10,0,0,26,0
2019-02-17,0,47,21,0
2019-02-24,0,0,0,0
2019-03-03,26,0,0,0
2019-03-10,0,0,0,39
2019-03-17,0,0,0,0
2019-03-24,0,100,0,0
2019-03-31,0,0,41,0
2019-04-07,31,0,19,0
2019-04-14,0,0,0,0
2019-04-21,0,0,0,0
2019-04-28,0,21,0,0
2019-05-05,0,0,0,0
2019-05-12,0,0,0,0
2019-05-19,20,0,0,0
2019-05-26,37,0,0,48
2019-06-02,0,0,0,0
2019-06-09,0,0,36,0
2019-06-16,27,0,0,0
2019-06-23,0,0,0,0
2019-06-30,0,0,18,37
2019-07-07,0,22,0,21
2019-07-14,0,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,59,0,27
2019-08-04,0,23,0,0
2019-08-11,0,24,0,0
2019-08-18,0,23,0,0
2019-08-25,0,36,0,0
2019-09-01,0,0,0,0
2019-09-08,26,0,0,0
2019-09-15,0,0,0,0
2019-09-22,0,0,0,0
2019-09-29,31,0,0,0
2019-10-06,0,0,22,0
2019-10-13,31,0,0,0
2019-10-20,0,0,33,0
2019-10-27,0,0,0,32
2019-11-03,0,0,0,0
2019-11-10,0,0,0,85
2019-11-17,0,0,0,0
2019-11-24,0,0,17,0
2019-12-01,0,0,21,0
2019-12-08,16,0,0,0
2019-12-15,0,0,0,25
2019-12-22,0,0,54,0
2019-12-29,0,0,0,0
2020-01-05,0,0,22,0
2020-01-12,41,0,22,0
2020-01-19,21,0,16,0
2020-01-26,32,26,0,0
2020-02-02,24,0,71,0
2020-02-09,0,0,29,39
2020-02-16,0,0,21,34
2020-02-23,30,27,29,0
2020-03-01,28,0,19,0
2020-03-08,82,0,65,24
2020-03-15,37,0,0,0
2020-03-22,49,0,35,0
2020-03-29,34,24,29,0
2020-04-05,20,0,80,0
2020-04-12,0,0,20,0
2020-04-19,22,0,0,0
2020-04-26,0,17,0,0
2020-05-03,14,0,15,0
2020-05-10,0,0,0,31
2020-05-17,0,0,0,0
2020-05-24,17,0,0,0
2020-05-31,0,0,23,0
2020-06-07,15,0,23,0
2020-06-14,0,0,19,0
2020-06-21,0,0,0,0
2020-06-28,0,0,0,0
2020-07-05,0,0,0,0
2020-07-12,0,0,19,0
2020-07-19,39,0,0,0
2020-07-26,0,0,31,0
2020-08-02,27,0,0,0
2020-08-09,0,0,0,0
2020-08-16,0,30,0,0
2020-08-23,24,0,0,0
2020-08-30,0,0,28,48
2020-09-06,0,0,16,0
2020-09-13,0,0,0,0
2020-09-20,0,45,0,0
2020-09-27,0,0,0,0
2020-10-04,0,23,25,0
2020-10-11,0,0,25,0
2020-10-18,25,0,0,0
2020-10-25,22,17,0,41
2020-11-01,0,13,0,0
2020-11-08,28,0,0,0
2020-11-15,0,38,0,0
2020-11-22,0,0,0,0
2020-11-29,0,0,0,20
2020-12-06,0,21,14,50
2020-12-13,0,18,39,0
2020-12-20,25,0,0,0
2020-12-27,0,0,0,0
2021-01-03,0,0,0,0
2021-01-10,0,0,0,0
2021-01-17,0,0,0,0
2021-01-24,0,42,0,0
2021-01-31,0,0,0,54
2021-02-07,23,0,0,28
2021-02-14,0,16,0,0
2021-02-21,0,38,0,0
2021-02-28,0,0,42,0
2021-03-07,0,18,25,0
2021-03-14,22,0,0,0
2021-03-21,0,0,25,0
2021-03-28,0,31,0,0
2021-04-04,0,0,31,32
2021-04-11,40,0,19,0
2021-04-18,0,0,0,15
2021-04-25,16,31,0,0
2021-05-02,0,0,0,0
2021-05-09,0,0,0,0
2021-05-16,0,0,22,0
2021-05-23,0,0,0,0
2021-05-30,0,0,60,0
2021-06-06,0,0,40,0
2021-06-13,27,0,0,0
2021-06-20,0,19,0,0
2021-06-27,43,0,17,85
2021-07-04,0,0,0,0
2021-07-11,0,0,21,0
2021-07-18,32,0,26,0
2021-07-25,19,0,0,0
2021-08-01,0,0,22,0
2021-08-08,0,17,0,0
2021-08-15,0,0,0,18
