Kategorie: Alle Kategorien

Woche,husten: (Schaffhausen),Fieber: (Schaffhausen),fièvre: (Schaffhausen),toux: (Schaffhausen)
2013-01-06,0,0,0,0
2013-01-13,30,38,0,0
2013-01-20,0,32,0,0
2013-01-27,0,0,0,0
2013-02-03,0,0,0,0
2013-02-10,0,0,0,0
2013-02-17,0,0,0,0
2013-02-24,0,0,0,0
2013-03-03,0,0,0,0
2013-03-10,0,0,0,0
2013-03-17,0,19,0,0
2013-03-24,0,13,0,0
2013-03-31,0,0,0,0
2013-04-07,0,0,0,0
2013-04-14,0,0,0,0
2013-04-21,0,0,0,0
2013-04-28,15,0,0,0
2013-05-05,0,0,0,0
2013-05-12,0,0,0,0
2013-05-19,0,0,0,0
2013-05-26,38,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,18,0,0
2013-06-16,0,0,0,0
2013-06-23,0,14,0,0
2013-06-30,0,0,0,0
2013-07-07,0,35,0,0
2013-07-14,0,0,0,0
2013-07-21,0,24,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,0,0
2013-08-11,0,0,0,0
2013-08-18,17,0,0,0
2013-08-25,0,0,0,0
2013-09-01,31,0,0,0
2013-09-08,0,0,0,0
2013-09-15,0,0,0,0
2013-09-22,0,0,0,0
2013-09-29,0,0,0,0
2013-10-06,15,25,0,0
2013-10-13,0,0,0,0
2013-10-20,0,0,0,0
2013-10-27,0,14,0,0
2013-11-03,0,0,0,0
2013-11-10,18,29,0,0
2013-11-17,0,0,0,0
2013-11-24,0,0,0,0
2013-12-01,0,0,0,0
2013-12-08,19,27,0,0
2013-12-15,0,0,0,0
2013-12-22,38,0,0,0
2013-12-29,0,0,0,0
2014-01-05,0,22,0,0
2014-01-12,0,0,0,0
2014-01-19,0,0,0,0
2014-01-26,0,0,0,0
2014-02-02,0,0,0,0
2014-02-09,0,0,0,0
2014-02-16,0,0,0,0
2014-02-23,0,17,0,0
2014-03-02,0,0,0,0
2014-03-09,0,0,0,0
2014-03-16,0,18,0,0
2014-03-23,0,13,0,0
2014-03-30,0,17,0,0
2014-04-06,0,26,0,0
2014-04-13,0,0,0,0
2014-04-20,14,0,0,0
2014-04-27,0,0,0,0
2014-05-04,0,0,0,0
2014-05-11,0,0,0,0
2014-05-18,0,0,0,0
2014-05-25,0,0,0,0
2014-06-01,0,0,0,0
2014-06-08,0,0,0,0
2014-06-15,15,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,0
2014-07-13,23,36,0,0
2014-07-20,0,0,0,0
2014-07-27,0,0,0,0
2014-08-03,0,0,0,0
2014-08-10,0,0,0,0
2014-08-17,23,0,0,0
2014-08-24,0,0,0,0
2014-08-31,0,0,0,0
2014-09-07,42,0,0,0
2014-09-14,0,0,0,0
2014-09-21,0,22,0,0
2014-09-28,21,17,0,0
2014-10-05,21,18,0,0
2014-10-12,0,21,0,0
2014-10-19,0,0,0,0
2014-10-26,0,26,0,0
2014-11-02,0,0,0,0
2014-11-09,37,0,0,0
2014-11-16,18,0,0,0
2014-11-23,0,60,0,0
2014-11-30,31,0,0,0
2014-12-07,0,20,0,0
2014-12-14,0,18,0,0
2014-12-21,0,0,0,0
2014-12-28,0,0,0,0
2015-01-04,0,0,0,0
2015-01-11,29,0,0,0
2015-01-18,16,0,0,0
2015-01-25,0,0,0,0
2015-02-01,17,0,0,0
2015-02-08,14,0,0,0
2015-02-15,20,17,0,0
2015-02-22,0,16,0,0
2015-03-01,35,36,0,0
2015-03-08,0,0,0,0
2015-03-15,0,0,0,0
2015-03-22,0,0,0,0
2015-03-29,24,18,0,0
2015-04-05,49,0,0,0
2015-04-12,23,0,0,0
2015-04-19,0,0,0,0
2015-04-26,0,33,0,0
2015-05-03,0,0,0,0
2015-05-10,0,0,0,0
2015-05-17,0,38,0,0
2015-05-24,14,15,0,0
2015-05-31,0,0,0,0
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,36,0,0,0
2015-06-28,0,0,0,0
2015-07-05,0,37,0,0
2015-07-12,0,0,0,0
2015-07-19,0,38,0,0
2015-07-26,0,27,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,0,0
2015-08-16,0,28,0,0
2015-08-23,0,25,0,0
2015-08-30,18,0,0,0
2015-09-06,0,0,0,0
2015-09-13,0,0,0,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,0
2015-10-04,0,0,0,0
2015-10-11,0,0,0,0
2015-10-18,0,0,0,0
2015-10-25,0,0,0,0
2015-11-01,23,0,0,0
2015-11-08,24,0,0,0
2015-11-15,0,0,0,0
2015-11-22,0,0,0,0
2015-11-29,0,0,0,0
2015-12-06,0,0,0,0
2015-12-13,18,0,0,0
2015-12-20,0,0,0,0
2015-12-27,0,83,0,0
2016-01-03,39,0,0,0
2016-01-10,20,0,0,0
2016-01-17,0,0,0,0
2016-01-24,0,0,0,0
2016-01-31,23,0,0,0
2016-02-07,20,0,0,0
2016-02-14,0,0,0,0
2016-02-21,0,0,0,0
2016-02-28,0,66,0,0
2016-03-06,0,0,0,0
2016-03-13,20,0,0,0
2016-03-20,0,15,0,0
2016-03-27,18,0,0,0
2016-04-03,0,0,0,0
2016-04-10,0,0,0,0
2016-04-17,28,0,0,0
2016-04-24,0,0,0,0
2016-05-01,0,0,0,0
2016-05-08,0,0,0,0
2016-05-15,0,24,0,0
2016-05-22,0,27,0,0
2016-05-29,20,0,0,0
2016-06-05,0,0,0,0
2016-06-12,0,0,0,0
2016-06-19,58,0,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,46,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,20,18,0,0
2016-08-07,0,16,0,0
2016-08-14,0,0,0,0
2016-08-21,0,20,0,0
2016-08-28,0,0,0,0
2016-09-04,0,0,0,0
2016-09-11,21,0,0,0
2016-09-18,0,0,0,0
2016-09-25,0,0,0,0
2016-10-02,51,44,0,0
2016-10-09,0,0,0,0
2016-10-16,0,23,0,0
2016-10-23,0,0,0,0
2016-10-30,32,0,0,0
2016-11-06,0,0,0,0
2016-11-13,43,0,0,0
2016-11-20,0,0,0,0
2016-11-27,22,0,0,0
2016-12-04,52,21,0,0
2016-12-11,0,0,0,0
2016-12-18,0,0,0,0
2016-12-25,16,0,0,0
2017-01-01,0,0,0,0
2017-01-08,0,0,0,0
2017-01-15,0,31,0,0
2017-01-22,0,13,0,0
2017-01-29,0,0,0,0
2017-02-05,0,21,0,0
2017-02-12,24,0,0,0
2017-02-19,19,0,0,0
2017-02-26,0,20,0,0
2017-03-05,0,0,0,0
2017-03-12,0,32,0,0
2017-03-19,0,0,0,0
2017-03-26,0,55,0,0
2017-04-02,15,0,0,0
2017-04-09,0,19,0,0
2017-04-16,15,0,0,0
2017-04-23,0,32,0,0
2017-04-30,23,21,0,0
2017-05-07,0,32,0,0
2017-05-14,0,26,0,0
