Kategorie: Alle Kategorien

Woche,Influenza: (Thurgau),influenza: (Thurgau),Grippe: (Thurgau),Flu: (Thurgau)
2022-11-27,9,0,0,0
2022-12-04,8,0,8,21
2022-12-11,23,18,28,0
2022-12-18,29,47,52,0
2022-12-25,100,26,58,0
2023-01-01,52,0,34,0
2023-01-08,15,7,18,0
2023-01-15,0,8,0,0
2023-01-22,31,9,30,0
2023-01-29,12,0,0,0
2023-02-05,24,0,31,0
2023-02-12,20,0,25,0
2023-02-19,29,0,30,0
2023-02-26,22,17,15,9
2023-03-05,23,0,18,0
2023-03-12,25,0,13,0
2023-03-19,27,0,25,13
2023-03-26,34,0,30,0
2023-04-02,14,0,12,0
2023-04-09,15,0,18,0
2023-04-16,10,0,16,16
2023-04-23,34,0,9,0
2023-04-30,0,0,0,0
2023-05-07,14,0,10,0
2023-05-14,37,12,0,0
2023-05-21,0,0,0,34
2023-05-28,12,0,8,0
2023-06-04,0,0,12,0
2023-06-11,20,0,9,0
2023-06-18,13,44,0,0
2023-06-25,0,0,8,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,18,0,0
2023-07-23,0,0,16,0
2023-07-30,0,0,0,0
2023-08-06,0,0,0,0
2023-08-13,12,22,20,0
2023-08-20,10,26,8,9
2023-08-27,17,0,15,0
2023-09-03,13,20,11,0
2023-09-10,28,0,16,12
2023-09-17,0,11,10,0
2023-09-24,10,0,10,0
2023-10-01,11,11,14,16
2023-10-08,0,18,14,0
2023-10-15,24,0,17,0
2023-10-22,12,0,17,0
2023-10-29,16,8,30,0
2023-11-05,22,8,35,0
2023-11-12,18,0,16,0
