Kategorie: Alle Kategorien

Woche,Influenza: (Sankt Gallen),influenza: (Sankt Gallen),Grippe: (Sankt Gallen),Flu: (Sankt Gallen)
2013-01-06,35,0,23,12
2013-01-13,46,0,38,9
2013-01-20,15,0,9,0
2013-01-27,38,9,12,17
2013-02-03,47,0,36,0
2013-02-10,44,10,45,12
2013-02-17,38,0,14,0
2013-02-24,50,20,51,8
2013-03-03,23,0,26,0
2013-03-10,21,0,16,15
2013-03-17,29,0,23,0
2013-03-24,10,0,17,8
2013-03-31,9,0,16,0
2013-04-07,20,0,16,0
2013-04-14,0,0,0,8
2013-04-21,9,0,9,16
2013-04-28,0,0,0,0
2013-05-05,8,0,0,8
2013-05-12,0,0,32,0
2013-05-19,24,8,13,0
2013-05-26,0,11,0,0
2013-06-02,0,0,0,11
2013-06-09,12,0,12,0
2013-06-16,0,0,0,0
2013-06-23,0,0,28,13
2013-06-30,29,0,24,16
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,16,45
2013-08-04,0,0,52,0
2013-08-11,26,0,0,0
2013-08-18,13,16,24,0
2013-08-25,0,0,0,0
2013-09-01,0,0,0,10
2013-09-08,0,0,22,0
2013-09-15,30,0,0,0
2013-09-22,11,0,0,0
2013-09-29,14,20,0,0
2013-10-06,21,0,15,0
2013-10-13,0,0,0,0
2013-10-20,0,19,26,45
2013-10-27,28,0,0,33
2013-11-03,20,9,22,0
2013-11-10,28,0,20,30
2013-11-17,0,0,26,0
2013-11-24,11,0,0,9
2013-12-01,17,0,25,0
2013-12-08,0,0,0,0
2013-12-15,15,9,22,0
2013-12-22,14,18,20,0
2013-12-29,25,0,29,0
2014-01-05,45,19,0,8
2014-01-12,13,0,26,40
2014-01-19,29,18,19,0
2014-01-26,14,0,33,10
2014-02-02,42,10,34,13
2014-02-09,9,0,16,0
2014-02-16,28,0,31,0
2014-02-23,0,30,20,0
2014-03-02,32,9,0,0
2014-03-09,0,0,11,11
2014-03-16,0,0,0,0
2014-03-23,17,0,20,0
2014-03-30,9,0,13,0
2014-04-06,17,9,30,0
2014-04-13,0,0,11,0
2014-04-20,11,0,12,0
2014-04-27,32,13,19,0
2014-05-04,11,0,0,0
2014-05-11,13,0,18,0
2014-05-18,20,10,11,0
2014-05-25,15,0,0,9
2014-06-01,0,0,17,16
2014-06-08,0,15,30,0
2014-06-15,0,12,12,0
2014-06-22,12,0,0,0
2014-06-29,32,0,0,0
2014-07-06,0,0,19,0
2014-07-13,0,45,0,0
2014-07-20,0,0,0,0
2014-07-27,15,0,22,0
2014-08-03,0,0,0,0
2014-08-10,0,0,21,59
2014-08-17,9,16,0,0
2014-08-24,0,0,0,0
2014-08-31,21,0,0,0
2014-09-07,0,0,10,0
2014-09-14,24,0,35,0
2014-09-21,0,0,14,0
2014-09-28,0,0,0,0
2014-10-05,18,0,21,10
2014-10-12,25,0,32,0
2014-10-19,20,0,0,10
2014-10-26,24,10,19,9
2014-11-02,15,0,14,0
2014-11-09,14,13,19,0
2014-11-16,19,19,16,0
2014-11-23,14,0,8,8
2014-11-30,25,0,16,0
2014-12-07,0,0,0,0
2014-12-14,17,0,24,9
2014-12-21,30,0,15,0
2014-12-28,13,0,31,0
2015-01-04,27,0,0,0
2015-01-11,47,0,35,0
2015-01-18,34,0,36,0
2015-01-25,55,0,50,19
2015-02-01,69,9,62,11
2015-02-08,21,14,55,14
2015-02-15,56,0,56,21
2015-02-22,49,0,42,0
2015-03-01,21,0,16,0
2015-03-08,27,0,40,0
2015-03-15,35,10,26,17
2015-03-22,22,0,25,15
2015-03-29,22,0,30,21
2015-04-05,25,11,51,0
2015-04-12,45,0,24,0
2015-04-19,13,0,0,0
2015-04-26,8,9,9,0
2015-05-03,25,0,0,0
2015-05-10,0,0,10,10
2015-05-17,11,0,0,0
2015-05-24,0,20,10,0
2015-05-31,0,0,10,0
2015-06-07,18,16,0,0
2015-06-14,14,0,13,26
2015-06-21,41,0,0,0
2015-06-28,0,0,0,28
2015-07-05,0,0,0,0
2015-07-12,24,0,13,14
2015-07-19,0,0,0,0
2015-07-26,22,13,0,0
2015-08-02,25,0,0,0
2015-08-09,0,0,0,36
2015-08-16,0,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,14,37,0
2015-09-06,0,0,10,0
2015-09-13,0,10,16,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,10
2015-10-04,0,0,17,0
2015-10-11,21,0,0,0
2015-10-18,10,0,19,0
2015-10-25,10,32,0,0
2015-11-01,0,0,0,0
2015-11-08,0,18,0,0
2015-11-15,15,0,0,0
2015-11-22,30,0,14,0
2015-11-29,27,0,13,0
2015-12-06,0,0,20,0
2015-12-13,10,17,20,0
2015-12-20,33,0,0,0
2015-12-27,39,0,25,0
2016-01-03,12,0,38,0
2016-01-10,21,8,19,18
2016-01-17,30,0,47,0
2016-01-24,42,0,35,15
2016-01-31,26,11,45,0
2016-02-07,83,0,52,0
2016-02-14,53,0,46,0
2016-02-21,48,0,56,0
2016-02-28,38,7,42,17
2016-03-06,26,0,32,0
2016-03-13,47,0,31,0
2016-03-20,30,0,0,12
2016-03-27,21,0,26,25
2016-04-03,18,0,24,0
2016-04-10,19,0,29,0
2016-04-17,19,12,27,0
2016-04-24,41,0,18,18
2016-05-01,0,0,14,0
2016-05-08,13,0,8,0
2016-05-15,15,36,0,0
2016-05-22,0,0,11,8
2016-05-29,0,0,8,0
2016-06-05,16,0,0,0
2016-06-12,10,22,8,0
2016-06-19,14,10,12,0
2016-06-26,0,0,0,0
2016-07-03,0,0,19,0
2016-07-10,28,0,17,0
2016-07-17,0,0,11,0
2016-07-24,0,0,24,0
2016-07-31,0,0,0,12
2016-08-07,0,0,0,17
2016-08-14,0,0,0,0
2016-08-21,0,0,0,0
2016-08-28,0,0,8,0
2016-09-04,0,0,18,0
2016-09-11,0,0,0,0
2016-09-18,11,0,18,0
2016-09-25,0,0,13,0
2016-10-02,20,8,17,0
2016-10-09,20,0,34,12
2016-10-16,21,0,12,0
2016-10-23,42,0,37,22
2016-10-30,17,0,10,9
2016-11-06,23,13,16,0
2016-11-13,36,0,37,17
2016-11-20,25,0,0,0
2016-11-27,40,0,30,0
2016-12-04,69,0,38,10
2016-12-11,45,0,34,0
2016-12-18,62,0,47,0
2016-12-25,78,0,96,0
2017-01-01,97,0,100,0
2017-01-08,84,8,72,0
2017-01-15,38,24,39,0
2017-01-22,29,10,29,23
2017-01-29,38,0,41,55
2017-02-05,13,0,32,0
