Kategorie: Alle Kategorien

Woche,husten: (Luzern),Fieber: (Luzern),fièvre: (Luzern),toux: (Luzern)
2017-11-05,33,44,0,8
2017-11-12,14,23,0,0
2017-11-19,22,22,0,0
2017-11-26,8,20,0,0
2017-12-03,0,24,0,9
2017-12-10,24,24,0,0
2017-12-17,9,17,0,0
2017-12-24,27,41,0,0
2017-12-31,33,36,0,8
2018-01-07,43,43,0,0
2018-01-14,12,20,0,0
2018-01-21,33,29,0,0
2018-01-28,34,50,0,8
2018-02-04,14,41,0,17
2018-02-11,18,14,0,0
2018-02-18,53,32,0,14
2018-02-25,21,51,0,0
2018-03-04,36,51,0,0
2018-03-11,28,14,0,0
2018-03-18,57,31,0,7
2018-03-25,24,20,0,0
2018-04-01,20,8,0,0
2018-04-08,12,26,0,0
2018-04-15,8,19,0,0
2018-04-22,9,31,0,0
2018-04-29,18,17,0,0
2018-05-06,8,31,0,0
2018-05-13,0,19,0,14
2018-05-20,17,37,0,0
2018-05-27,9,19,0,0
2018-06-03,21,0,0,0
2018-06-10,7,21,0,0
2018-06-17,0,12,0,13
2018-06-24,8,37,0,0
2018-07-01,23,17,0,0
2018-07-08,19,11,0,0
2018-07-15,0,18,0,0
2018-07-22,17,18,0,0
2018-07-29,0,16,0,10
2018-08-05,14,17,0,7
2018-08-12,0,21,0,0
2018-08-19,11,16,0,0
2018-08-26,16,20,0,0
2018-09-02,32,9,0,12
2018-09-09,8,18,0,0
2018-09-16,0,9,0,0
2018-09-23,9,11,0,0
2018-09-30,28,13,0,0
2018-10-07,0,10,0,0
2018-10-14,25,20,0,0
2018-10-21,10,24,0,0
2018-10-28,35,9,0,0
2018-11-04,16,27,0,0
2018-11-11,13,19,0,0
2018-11-18,29,23,0,0
2018-11-25,24,25,0,0
2018-12-02,22,14,0,17
2018-12-09,13,0,0,0
2018-12-16,58,0,0,0
2018-12-23,20,20,0,0
2018-12-30,34,25,0,0
2019-01-06,22,40,0,0
2019-01-13,22,31,0,0
2019-01-20,39,36,0,0
2019-01-27,23,52,0,0
2019-02-03,37,50,0,13
2019-02-10,26,41,0,0
2019-02-17,45,47,0,0
2019-02-24,10,23,0,18
2019-03-03,36,38,0,0
2019-03-10,29,11,0,0
2019-03-17,14,11,0,0
2019-03-24,10,15,0,8
2019-03-31,24,27,0,0
2019-04-07,10,8,0,0
2019-04-14,28,32,0,0
2019-04-21,15,27,0,0
2019-04-28,12,24,0,0
2019-05-05,0,19,0,0
2019-05-12,0,10,0,0
2019-05-19,17,17,0,33
2019-05-26,24,22,0,0
2019-06-02,9,0,0,0
2019-06-09,0,28,0,0
2019-06-16,22,0,0,0
2019-06-23,9,19,0,0
2019-06-30,28,18,0,0
2019-07-07,25,34,0,0
2019-07-14,21,61,0,0
2019-07-21,27,0,0,15
2019-07-28,26,27,0,0
2019-08-04,10,16,0,0
2019-08-11,11,19,0,0
2019-08-18,0,23,0,0
2019-08-25,23,29,0,0
2019-09-01,0,10,0,0
2019-09-08,7,18,0,0
2019-09-15,14,23,0,0
2019-09-22,18,10,0,0
2019-09-29,12,26,0,0
2019-10-06,15,14,0,0
2019-10-13,33,30,0,0
2019-10-20,20,17,0,0
2019-10-27,13,19,0,8
2019-11-03,29,8,0,0
2019-11-10,30,8,0,0
2019-11-17,22,25,0,12
2019-11-24,19,22,0,0
2019-12-01,17,21,0,0
2019-12-08,26,12,0,0
2019-12-15,11,31,0,0
2019-12-22,16,22,0,0
2019-12-29,26,32,0,0
2020-01-05,25,35,0,0
2020-01-12,22,26,0,0
2020-01-19,27,33,0,0
2020-01-26,36,51,0,0
2020-02-02,38,33,0,0
2020-02-09,29,55,0,20
2020-02-16,13,52,0,0
2020-02-23,38,51,0,21
2020-03-01,58,73,0,26
2020-03-08,55,60,0,0
2020-03-15,39,100,0,0
2020-03-22,37,51,0,0
2020-03-29,23,31,0,0
2020-04-05,8,21,0,0
2020-04-12,8,30,0,0
2020-04-19,11,25,0,0
2020-04-26,7,21,0,0
2020-05-03,15,7,0,0
2020-05-10,7,18,0,0
2020-05-17,0,23,0,0
2020-05-24,24,18,0,0
2020-05-31,6,24,0,0
2020-06-07,21,21,0,0
2020-06-14,6,6,0,0
2020-06-21,28,19,0,12
2020-06-28,0,22,0,0
2020-07-05,8,11,0,0
2020-07-12,18,34,0,0
2020-07-19,16,29,0,0
2020-07-26,0,26,0,16
2020-08-02,9,24,0,13
2020-08-09,13,18,0,0
2020-08-16,9,22,0,0
2020-08-23,25,27,0,0
2020-08-30,21,17,0,13
2020-09-06,20,20,0,0
2020-09-13,0,30,0,8
2020-09-20,0,6,0,0
2020-09-27,12,19,0,0
2020-10-04,25,31,0,0
2020-10-11,21,36,0,0
2020-10-18,14,45,0,0
2020-10-25,15,41,0,0
2020-11-01,10,29,0,9
2020-11-08,21,20,0,0
2020-11-15,24,26,0,7
2020-11-22,20,10,0,0
2020-11-29,21,14,0,0
2020-12-06,13,16,0,5
2020-12-13,8,17,0,15
2020-12-20,18,32,0,0
2020-12-27,9,27,0,7
2021-01-03,7,30,0,7
2021-01-10,0,13,0,0
2021-01-17,9,20,0,0
2021-01-24,9,9,0,0
2021-01-31,13,22,0,0
2021-02-07,0,13,0,7
2021-02-14,8,23,0,0
2021-02-21,18,27,0,0
2021-02-28,14,16,0,0
2021-03-07,0,7,0,0
2021-03-14,0,17,0,0
2021-03-21,16,22,0,0
2021-03-28,10,25,0,0
2021-04-04,13,33,0,0
2021-04-11,9,24,0,0
2021-04-18,15,23,0,0
2021-04-25,0,18,0,6
2021-05-02,22,18,0,0
2021-05-09,10,12,0,0
2021-05-16,7,22,0,0
2021-05-23,6,29,0,8
2021-05-30,0,25,0,0
2021-06-06,6,24,0,0
2021-06-13,8,26,0,0
2021-06-20,13,19,0,0
2021-06-27,16,22,0,0
2021-07-04,16,40,0,7
2021-07-11,25,21,0,0
2021-07-18,14,48,0,0
2021-07-25,15,29,0,0
2021-08-01,0,39,0,8
2021-08-08,0,43,0,0
2021-08-15,10,40,0,0
2021-08-22,14,31,0,6
2021-08-29,24,32,0,0
2021-09-05,18,37,0,0
2021-09-12,32,55,0,0
2021-09-19,16,25,0,0
2021-09-26,16,23,0,0
2021-10-03,20,9,0,17
2021-10-10,35,19,0,0
2021-10-17,40,16,0,0
2021-10-24,19,11,0,0
2021-10-31,14,7,0,0
2021-11-07,45,0,0,0
2021-11-14,48,26,0,0
2021-11-21,40,26,0,0
2021-11-28,26,37,0,0
2021-12-05,16,39,0,0
2021-12-12,18,28,0,0
2021-12-19,33,69,0,0
2021-12-26,23,46,0,20
2022-01-02,28,43,0,0
2022-01-09,18,23,0,0
2022-01-16,26,41,0,0
2022-01-23,29,56,0,0
2022-01-30,26,56,0,6
2022-02-06,30,28,0,11
2022-02-13,0,38,0,0
2022-02-20,15,38,0,0
2022-02-27,39,51,0,0
2022-03-06,34,64,0,0
2022-03-13,45,46,0,0
2022-03-20,29,43,0,0
2022-03-27,23,29,0,0
2022-04-03,14,41,0,0
2022-04-10,32,35,0,0
2022-04-17,28,25,0,0
2022-04-24,24,22,0,0
2022-05-01,25,25,0,0
2022-05-08,22,28,0,0
2022-05-15,20,31,0,0
2022-05-22,11,12,0,0
2022-05-29,15,20,0,11
2022-06-05,20,30,0,0
2022-06-12,36,31,0,0
2022-06-19,6,43,0,0
2022-06-26,28,41,0,0
2022-07-03,25,45,0,0
2022-07-10,27,48,0,0
2022-07-17,0,44,0,9
2022-07-24,23,34,0,12
2022-07-31,7,33,0,0
2022-08-07,20,24,0,11
2022-08-14,32,37,0,0
2022-08-21,10,35,0,0
2022-08-28,18,27,0,7
2022-09-04,31,32,0,7
2022-09-11,33,74,0,0
2022-09-18,25,34,0,12
2022-09-25,24,25,0,7
2022-10-02,43,32,0,9
2022-10-09,27,27,0,0
2022-10-16,32,17,0,0
2022-10-23,21,8,0,0
2022-10-30,13,26,0,0
2022-11-06,41,29,0,0
2022-11-13,42,27,0,0
2022-11-20,27,46,0,0
2022-11-27,32,30,0,0
2022-12-04,33,44,0,0
2022-12-11,46,73,0,0
2022-12-18,54,82,0,0
2022-12-25,58,86,0,0
