Kategorie: Alle Kategorien

Woche,Fieber: (Schweiz),husten: (Schweiz),fièvre: (Schweiz),toux: (Schweiz)
2017-01-08,78,67,7,23
2017-01-15,79,59,5,18
2017-01-22,82,51,7,24
2017-01-29,84,64,10,19
2017-02-05,77,57,13,20
2017-02-12,62,48,5,23
2017-02-19,53,43,6,20
2017-02-26,57,43,5,14
2017-03-05,50,40,6,17
2017-03-12,45,41,7,16
2017-03-19,53,38,7,11
2017-03-26,48,41,4,13
2017-04-02,47,40,3,8
2017-04-09,44,28,6,8
2017-04-16,52,38,8,10
2017-04-23,40,30,4,11
2017-04-30,38,26,4,8
2017-05-07,41,25,4,12
2017-05-14,45,37,6,10
2017-05-21,53,29,8,10
2017-05-28,47,28,7,7
2017-06-04,47,24,6,11
2017-06-11,41,26,6,4
2017-06-18,49,22,8,8
2017-06-25,51,22,8,7
2017-07-02,55,25,3,7
2017-07-09,51,27,8,6
2017-07-16,45,24,5,8
2017-07-23,42,23,7,7
2017-07-30,54,23,3,8
2017-08-06,40,25,5,8
2017-08-13,43,21,5,10
2017-08-20,40,26,2,6
2017-08-27,50,33,2,8
2017-09-03,39,25,6,16
2017-09-10,42,27,6,13
2017-09-17,47,43,2,17
2017-09-24,45,47,4,16
2017-10-01,45,41,6,22
2017-10-08,44,47,6,13
2017-10-15,45,37,5,13
2017-10-22,38,30,5,15
2017-10-29,46,40,1,15
2017-11-05,60,47,5,12
2017-11-12,57,41,6,11
2017-11-19,44,47,7,17
2017-11-26,50,36,3,18
2017-12-03,45,38,5,16
2017-12-10,66,49,6,17
2017-12-17,68,59,9,23
2017-12-24,98,81,6,32
2017-12-31,91,71,8,29
