Kategorie: Alle Kategorien

Woche,Influenza: (Basel-Stadt),influenza: (Basel-Stadt),Grippe: (Basel-Stadt),Flu: (Basel-Stadt)
2017-11-05,33,0,12,6
2017-11-12,0,5,9,0
2017-11-19,0,0,0,0
2017-11-26,12,0,11,0
2017-12-03,9,0,7,5
2017-12-10,9,0,0,8
2017-12-17,9,5,0,0
2017-12-24,16,0,7,0
2017-12-31,29,0,14,0
2018-01-07,23,0,5,9
2018-01-14,17,4,8,4
2018-01-21,30,4,18,9
2018-01-28,24,12,15,4
2018-02-04,29,7,19,6
2018-02-11,25,8,21,0
2018-02-18,30,0,18,0
2018-02-25,17,4,15,0
2018-03-04,16,0,12,0
2018-03-11,13,0,5,18
2018-03-18,7,0,7,6
2018-03-25,0,0,6,0
2018-04-01,14,0,11,0
2018-04-08,5,5,9,0
2018-04-15,0,12,9,7
2018-04-22,9,0,0,0
2018-04-29,0,0,0,0
2018-05-06,16,0,0,0
2018-05-13,0,0,0,0
2018-05-20,11,0,0,7
2018-05-27,0,9,0,0
2018-06-03,0,8,0,9
2018-06-10,4,0,4,0
2018-06-17,0,0,0,0
2018-06-24,6,0,0,0
2018-07-01,11,8,0,0
2018-07-08,0,0,0,0
2018-07-15,5,0,0,0
2018-07-22,0,0,0,0
2018-07-29,0,5,0,0
2018-08-05,0,17,0,0
2018-08-12,0,0,0,0
2018-08-19,6,0,0,0
2018-08-26,0,0,0,0
2018-09-02,0,4,0,0
2018-09-09,0,0,0,0
2018-09-16,11,0,12,0
2018-09-23,0,9,6,0
2018-09-30,15,0,10,8
2018-10-07,6,0,0,21
2018-10-14,4,0,0,0
2018-10-21,15,0,12,14
2018-10-28,6,0,0,10
2018-11-04,9,9,0,5
2018-11-11,5,0,0,7
2018-11-18,0,8,9,0
2018-11-25,6,0,0,0
2018-12-02,4,0,0,0
2018-12-09,0,0,11,0
2018-12-16,14,0,8,6
2018-12-23,13,0,27,0
2018-12-30,15,11,0,0
2019-01-06,9,0,7,0
2019-01-13,14,5,12,0
2019-01-20,16,0,6,0
2019-01-27,19,23,9,0
2019-02-03,27,6,15,4
2019-02-10,15,0,0,0
2019-02-17,14,0,14,0
2019-02-24,13,7,0,0
2019-03-03,13,0,8,0
2019-03-10,22,0,6,16
2019-03-17,5,0,5,0
2019-03-24,21,0,0,5
2019-03-31,0,0,0,6
2019-04-07,5,10,14,0
2019-04-14,5,0,8,0
2019-04-21,5,0,0,0
2019-04-28,0,0,0,0
2019-05-05,5,6,0,0
2019-05-12,8,0,0,0
2019-05-19,9,0,0,0
2019-05-26,0,0,0,0
2019-06-02,0,0,0,42
2019-06-09,9,0,0,0
2019-06-16,14,0,0,11
2019-06-23,0,0,0,22
2019-06-30,0,0,0,0
2019-07-07,17,0,0,0
2019-07-14,0,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,11,0,33
2019-08-04,10,0,0,0
2019-08-11,11,0,13,0
2019-08-18,13,0,16,0
2019-08-25,11,0,0,11
2019-09-01,26,0,0,9
2019-09-08,0,0,19,0
2019-09-15,8,29,0,0
2019-09-22,11,0,0,0
2019-09-29,0,0,0,0
2019-10-06,9,35,13,0
2019-10-13,0,0,0,10
2019-10-20,16,0,14,21
2019-10-27,14,0,10,20
2019-11-03,11,0,0,0
2019-11-10,0,0,12,0
2019-11-17,29,0,9,15
2019-11-24,0,0,0,17
2019-12-01,0,0,0,0
2019-12-08,13,10,15,0
2019-12-15,36,0,0,0
2019-12-22,17,0,0,20
2019-12-29,0,10,0,0
2020-01-05,20,0,6,9
2020-01-12,7,0,9,0
2020-01-19,30,11,18,0
2020-01-26,64,11,14,15
2020-02-02,31,26,7,0
2020-02-09,22,6,9,15
2020-02-16,27,10,13,0
2020-02-23,100,16,59,35
2020-03-01,73,0,46,0
