Kategorie: Alle Kategorien

Woche,husten: (Waadt),Fieber: (Waadt),fièvre: (Waadt),toux: (Waadt)
2013-01-06,0,19,40,42
2013-01-13,11,43,9,12
2013-01-20,9,0,0,54
2013-01-27,0,0,25,30
2013-02-03,0,0,16,39
2013-02-10,0,0,21,52
2013-02-17,0,35,16,29
2013-02-24,8,0,45,34
2013-03-03,16,0,11,45
2013-03-10,19,19,10,21
2013-03-17,0,0,0,77
2013-03-24,0,0,10,19
2013-03-31,0,11,29,28
2013-04-07,16,0,9,0
2013-04-14,0,0,33,34
2013-04-21,0,19,0,0
2013-04-28,0,0,18,0
2013-05-05,0,0,9,39
2013-05-12,0,13,10,0
2013-05-19,0,0,0,11
2013-05-26,0,0,0,0
2013-06-02,0,14,14,27
2013-06-09,0,0,0,0
2013-06-16,0,13,0,13
2013-06-23,0,31,0,17
2013-06-30,0,0,15,13
2013-07-07,0,0,0,32
2013-07-14,15,0,35,0
2013-07-21,60,59,46,20
2013-07-28,0,45,0,0
2013-08-04,0,0,21,18
2013-08-11,0,0,19,20
2013-08-18,0,0,0,0
2013-08-25,20,11,0,0
2013-09-01,0,12,18,33
2013-09-08,0,0,11,10
2013-09-15,0,19,11,18
2013-09-22,11,0,11,24
2013-09-29,0,0,24,21
2013-10-06,0,0,46,0
2013-10-13,12,0,30,0
2013-10-20,0,0,0,16
2013-10-27,0,12,12,18
2013-11-03,0,0,0,12
2013-11-10,0,0,14,0
2013-11-17,10,0,15,18
2013-11-24,0,0,42,42
2013-12-01,0,19,69,18
2013-12-08,0,28,0,24
2013-12-15,0,16,22,0
2013-12-22,0,0,0,100
2013-12-29,18,0,0,34
2014-01-05,28,17,18,21
2014-01-12,0,14,0,18
2014-01-19,10,0,15,59
2014-01-26,0,10,30,41
2014-02-02,0,10,20,16
2014-02-09,17,40,0,33
2014-02-16,0,13,11,24
2014-02-23,0,0,68,25
2014-03-02,0,18,40,51
2014-03-09,10,17,0,14
2014-03-16,0,0,24,14
2014-03-23,0,0,0,28
2014-03-30,36,35,0,18
2014-04-06,0,26,18,70
2014-04-13,0,0,15,0
2014-04-20,0,12,29,12
2014-04-27,0,0,0,0
2014-05-04,0,18,11,13
2014-05-11,0,0,0,0
2014-05-18,13,19,15,33
2014-05-25,0,0,18,0
2014-06-01,19,0,0,20
2014-06-08,0,19,46,34
