Kategorie: Alle Kategorien

Woche,Influenza: (Basel-Stadt),influenza: (Basel-Stadt),Grippe: (Basel-Stadt),Flu: (Basel-Stadt)
2022-11-27,28,0,0,17
2022-12-04,30,0,30,0
2022-12-11,25,19,39,22
2022-12-18,76,17,37,13
2022-12-25,100,0,47,0
2023-01-01,82,17,33,21
2023-01-08,32,33,23,0
2023-01-15,63,0,0,23
2023-01-22,35,0,0,14
2023-01-29,0,0,0,21
2023-02-05,26,0,0,0
2023-02-12,21,0,29,0
2023-02-19,0,0,22,0
2023-02-26,46,0,0,0
2023-03-05,40,0,0,0
2023-03-12,18,11,11,0
2023-03-19,45,0,0,0
2023-03-26,26,0,0,0
2023-04-02,15,41,0,0
2023-04-09,0,25,37,0
2023-04-16,17,0,11,0
2023-04-23,0,0,0,0
2023-04-30,29,0,13,0
2023-05-07,0,0,0,0
2023-05-14,0,0,41,0
2023-05-21,0,0,0,0
2023-05-28,15,0,12,0
2023-06-04,13,0,19,0
2023-06-11,17,27,30,0
2023-06-18,0,44,0,0
2023-06-25,0,14,25,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,0,0,0
2023-07-23,12,0,0,0
2023-07-30,0,0,0,0
2023-08-06,0,0,17,13
2023-08-13,0,26,0,0
2023-08-20,12,12,0,0
2023-08-27,49,0,23,0
2023-09-03,0,0,0,0
2023-09-10,22,0,0,0
2023-09-17,32,0,18,0
2023-09-24,0,18,43,0
2023-10-01,14,21,46,0
2023-10-08,0,21,0,35
2023-10-15,14,27,26,0
2023-10-22,12,0,0,0
2023-10-29,0,0,18,11
2023-11-05,0,0,0,14
2023-11-12,29,0,20,0
