Kategorie: Alle Kategorien

Woche,husten: (Freiburg),Fieber: (Freiburg),fièvre: (Freiburg),toux: (Freiburg)
2013-01-06,0,0,0,0
2013-01-13,0,0,0,24
2013-01-20,0,0,0,0
2013-01-27,0,0,0,0
2013-02-03,16,43,0,70
2013-02-10,0,0,0,30
2013-02-17,0,17,0,0
2013-02-24,0,0,0,0
2013-03-03,0,33,0,0
2013-03-10,27,0,0,31
2013-03-17,0,13,0,18
2013-03-24,0,22,0,0
2013-03-31,0,0,29,0
2013-04-07,11,0,34,17
2013-04-14,0,0,0,0
2013-04-21,0,0,0,16
2013-04-28,0,18,13,0
2013-05-05,0,0,0,0
2013-05-12,0,0,0,0
2013-05-19,0,0,33,0
2013-05-26,0,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,39,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,0,17
2013-06-30,0,0,0,0
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,21
2013-07-28,0,26,0,0
2013-08-04,0,0,0,0
2013-08-11,0,0,29,0
2013-08-18,0,0,15,0
2013-08-25,0,0,17,0
2013-09-01,33,0,19,0
2013-09-08,0,0,0,0
2013-09-15,0,21,18,0
2013-09-22,0,0,25,11
2013-09-29,0,0,22,0
2013-10-06,0,24,0,0
2013-10-13,30,30,0,0
2013-10-20,0,0,0,26
2013-10-27,0,17,0,0
2013-11-03,14,0,0,0
2013-11-10,14,0,12,0
2013-11-17,0,11,0,0
2013-11-24,0,0,0,0
2013-12-01,0,0,12,19
2013-12-08,0,12,0,0
2013-12-15,0,0,16,22
2013-12-22,0,0,0,29
2013-12-29,20,0,0,0
2014-01-05,0,0,0,0
2014-01-12,0,0,16,0
2014-01-19,0,37,0,18
2014-01-26,0,0,0,0
2014-02-02,0,0,0,0
2014-02-09,0,18,0,0
2014-02-16,0,21,17,27
2014-02-23,0,0,0,0
2014-03-02,41,15,0,0
2014-03-09,0,0,18,12
2014-03-16,0,21,0,33
2014-03-23,0,0,0,0
2014-03-30,0,26,0,0
2014-04-06,34,0,15,0
2014-04-13,27,0,0,0
2014-04-20,0,0,0,0
2014-04-27,0,0,0,0
2014-05-04,0,24,0,0
2014-05-11,0,0,13,0
2014-05-18,0,0,0,0
2014-05-25,0,20,0,0
2014-06-01,23,0,0,0
2014-06-08,32,0,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,49,0
2014-07-06,0,28,36,0
2014-07-13,0,0,0,0
2014-07-20,0,0,24,0
2014-07-27,0,0,0,0
2014-08-03,18,0,0,0
2014-08-10,59,27,30,0
2014-08-17,0,0,0,0
2014-08-24,39,0,15,15
2014-08-31,0,50,0,0
2014-09-07,0,0,0,19
2014-09-14,12,0,0,0
2014-09-21,23,0,0,0
2014-09-28,17,0,0,0
2014-10-05,0,0,26,0
2014-10-12,0,13,0,0
2014-10-19,0,0,23,0
2014-10-26,0,0,25,18
2014-11-02,0,0,0,0
2014-11-09,0,0,16,16
2014-11-16,0,0,0,21
2014-11-23,0,0,0,0
2014-11-30,0,14,13,0
2014-12-07,0,91,0,0
2014-12-14,0,0,0,0
2014-12-21,48,0,0,0
2014-12-28,0,0,0,0
2015-01-04,12,21,0,0
2015-01-11,0,0,0,0
2015-01-18,0,12,0,22
2015-01-25,0,0,0,0
2015-02-01,0,16,13,0
2015-02-08,25,0,0,0
2015-02-15,0,20,0,0
2015-02-22,23,0,0,0
2015-03-01,22,20,0,0
2015-03-08,0,41,0,17
2015-03-15,0,0,17,0
2015-03-22,0,0,0,0
2015-03-29,0,0,0,0
2015-04-05,71,0,0,0
2015-04-12,20,0,0,0
2015-04-19,22,37,0,0
2015-04-26,0,0,0,31
2015-05-03,0,0,0,0
2015-05-10,0,26,0,0
2015-05-17,0,0,0,0
2015-05-24,14,37,0,0
2015-05-31,0,0,0,15
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,0,0,0,33
