Kategorie: Alle Kategorien

Woche,Influenza: (Waadt),influenza: (Waadt),Grippe: (Waadt),Flu: (Waadt)
2013-01-06,33,0,22,4
2013-01-13,46,0,24,7
2013-01-20,43,0,29,5
2013-01-27,37,0,16,7
2013-02-03,50,0,45,11
2013-02-10,70,0,61,0
2013-02-17,36,4,26,4
2013-02-24,56,7,50,0
2013-03-03,43,0,36,5
2013-03-10,13,0,12,0
2013-03-17,19,0,13,0
2013-03-24,26,4,21,0
2013-03-31,17,7,9,0
2013-04-07,19,0,5,10
2013-04-14,17,4,5,11
2013-04-21,15,0,10,0
2013-04-28,8,0,10,0
2013-05-05,14,0,0,0
2013-05-12,9,0,0,0
2013-05-19,7,0,0,8
2013-05-26,7,0,7,0
2013-06-02,0,0,0,0
2013-06-09,30,0,6,0
2013-06-16,0,0,11,0
2013-06-23,0,0,16,0
2013-06-30,24,6,7,0
2013-07-07,0,0,0,0
2013-07-14,7,0,10,0
2013-07-21,0,0,17,0
2013-07-28,0,0,0,0
2013-08-04,9,0,10,0
2013-08-11,0,0,7,0
2013-08-18,8,0,0,0
2013-08-25,7,0,0,8
2013-09-01,11,6,10,6
2013-09-08,39,0,15,0
2013-09-15,5,0,13,7
2013-09-22,15,0,15,0
2013-09-29,0,0,5,6
2013-10-06,15,0,13,0
2013-10-13,24,0,18,10
2013-10-20,16,0,0,0
2013-10-27,27,0,12,6
2013-11-03,14,0,18,0
2013-11-10,10,6,9,0
2013-11-17,15,0,8,0
2013-11-24,8,0,13,0
2013-12-01,9,0,9,4
2013-12-08,13,12,0,6
2013-12-15,17,11,10,5
2013-12-22,16,11,19,0
2013-12-29,12,8,17,12
2014-01-05,28,0,15,0
2014-01-12,9,0,16,0
2014-01-19,30,0,22,4
2014-01-26,28,0,8,0
2014-02-02,43,0,36,9
2014-02-09,34,7,22,0
2014-02-16,31,12,25,5
2014-02-23,19,6,13,0
2014-03-02,22,0,15,0
2014-03-09,22,0,16,4
2014-03-16,15,0,15,0
2014-03-23,0,0,6,0
2014-03-30,12,0,6,0
2014-04-06,11,0,0,4
2014-04-13,14,0,0,0
2014-04-20,11,0,7,8
2014-04-27,17,0,7,12
2014-05-04,10,5,7,0
2014-05-11,8,0,6,0
2014-05-18,7,10,15,7
2014-05-25,11,0,0,6
2014-06-01,5,0,0,0
2014-06-08,0,0,11,0
2014-06-15,13,5,0,6
2014-06-22,0,0,5,26
2014-06-29,0,0,0,17
2014-07-06,18,0,9,0
2014-07-13,0,0,11,17
2014-07-20,0,0,0,0
2014-07-27,0,0,0,0
2014-08-03,20,7,0,0
2014-08-10,5,0,0,0
2014-08-17,0,0,6,0
2014-08-24,18,17,15,10
2014-08-31,14,0,0,6
2014-09-07,31,10,22,0
2014-09-14,11,0,12,14
2014-09-21,0,0,5,0
2014-09-28,0,0,12,12
2014-10-05,21,0,18,0
2014-10-12,26,7,18,6
2014-10-19,0,6,8,0
2014-10-26,24,0,7,0
2014-11-02,36,0,21,0
2014-11-09,15,0,14,0
2014-11-16,15,0,16,8
2014-11-23,16,0,13,9
2014-11-30,16,0,10,0
2014-12-07,22,0,9,0
2014-12-14,23,0,10,0
2014-12-21,9,19,15,0
2014-12-28,43,0,22,19
2015-01-04,25,0,15,6
2015-01-11,36,16,27,0
2015-01-18,34,0,39,7
2015-01-25,57,0,54,7
2015-02-01,66,12,56,0
2015-02-08,100,7,81,17
2015-02-15,57,0,45,0
2015-02-22,59,0,39,0
2015-03-01,39,0,39,5
2015-03-08,28,0,23,7
2015-03-15,34,10,27,0
2015-03-22,30,0,20,6
2015-03-29,0,0,14,0
2015-04-05,15,0,26,0
2015-04-12,10,0,8,0
