Kategorie: Alle Kategorien

Woche,husten: (Waadt),Fieber: (Waadt),fièvre: (Waadt),toux: (Waadt)
2022-11-06,0,9,14,28
2022-11-13,11,0,14,46
2022-11-20,5,0,18,50
2022-11-27,8,5,13,38
2022-12-04,0,3,4,43
2022-12-11,0,0,10,67
2022-12-18,0,12,18,90
2022-12-25,8,0,21,100
2023-01-01,0,0,11,67
2023-01-08,13,0,25,41
2023-01-15,6,5,32,31
2023-01-22,0,7,10,25
2023-01-29,4,21,15,47
2023-02-05,5,7,24,46
2023-02-12,0,0,23,49
2023-02-19,6,0,17,48
2023-02-26,0,4,24,43
2023-03-05,18,9,5,49
2023-03-12,0,4,6,36
2023-03-19,11,0,6,23
2023-03-26,8,0,22,28
2023-04-02,10,9,22,31
2023-04-09,0,0,22,39
2023-04-16,0,0,5,22
2023-04-23,0,0,7,33
2023-04-30,0,13,12,29
2023-05-07,0,7,8,20
2023-05-14,0,4,9,20
2023-05-21,0,10,10,8
2023-05-28,0,0,15,17
2023-06-04,0,0,9,30
2023-06-11,0,0,12,23
2023-06-18,0,0,15,26
2023-06-25,0,0,6,19
2023-07-02,19,0,19,33
2023-07-09,7,0,12,13
2023-07-16,0,0,14,18
2023-07-23,0,0,8,4
2023-07-30,0,0,15,25
2023-08-06,0,0,9,19
2023-08-13,5,0,6,0
2023-08-20,0,7,0,13
2023-08-27,0,0,22,22
2023-09-03,0,0,14,33
2023-09-10,0,0,15,23
2023-09-17,0,7,5,16
2023-09-24,0,0,22,36
2023-10-01,0,0,13,43
2023-10-08,3,0,4,43
2023-10-15,0,0,14,39
2023-10-22,7,6,10,39
2023-10-29,8,17,11,39
2023-11-05,0,0,0,47
2023-11-12,0,6,11,32
