Kategorie: Alle Kategorien

Woche,Influenza: (Nidwalden),influenza: (Nidwalden),Grippe: (Nidwalden),Flu: (Nidwalden)
2013-01-06,0,0,0,30
2013-01-13,37,20,0,0
2013-01-20,32,0,26,0
2013-01-27,0,0,0,0
2013-02-03,0,0,0,0
2013-02-10,0,0,63,0
2013-02-17,24,0,0,0
2013-02-24,0,0,0,0
2013-03-03,0,0,0,0
2013-03-10,0,0,0,0
2013-03-17,0,0,0,0
2013-03-24,0,34,0,0
2013-03-31,76,0,49,0
2013-04-07,0,0,0,0
2013-04-14,22,0,34,0
2013-04-21,0,22,0,25
2013-04-28,0,0,0,59
2013-05-05,0,0,35,0
2013-05-12,0,0,23,0
2013-05-19,0,0,38,0
2013-05-26,0,0,16,0
2013-06-02,0,0,0,0
2013-06-09,0,0,0,0
2013-06-16,0,100,21,0
2013-06-23,0,0,0,0
2013-06-30,0,0,19,0
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,32,0,0,0
2013-08-04,0,32,0,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,79
2013-08-25,20,29,0,0
2013-09-01,0,43,0,0
2013-09-08,0,19,0,15
2013-09-15,0,0,0,0
2013-09-22,0,0,43,17
2013-09-29,0,0,0,0
2013-10-06,0,0,0,30
2013-10-13,0,27,0,0
2013-10-20,0,0,22,0
2013-10-27,0,19,0,0
2013-11-03,0,0,0,0
2013-11-10,0,0,0,0
2013-11-17,0,0,0,0
2013-11-24,0,0,0,0
2013-12-01,0,0,0,0
2013-12-08,0,0,0,21
2013-12-15,0,0,0,0
2013-12-22,0,0,0,0
2013-12-29,0,0,0,18
2014-01-05,0,14,0,27
2014-01-12,0,0,0,26
2014-01-19,0,0,0,0
2014-01-26,27,0,45,0
2014-02-02,0,39,0,0
2014-02-09,0,11,0,0
2014-02-16,0,21,0,0
2014-02-23,0,0,40,0
2014-03-02,15,0,13,0
2014-03-09,0,0,0,0
2014-03-16,14,0,0,0
2014-03-23,0,0,0,19
2014-03-30,17,0,49,0
2014-04-06,0,0,0,0
2014-04-13,0,0,36,0
2014-04-20,0,19,23,34
2014-04-27,0,24,22,0
2014-05-04,0,0,0,22
2014-05-11,0,0,0,0
2014-05-18,19,28,0,0
2014-05-25,0,0,0,0
2014-06-01,36,34,0,0
2014-06-08,0,0,25,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,15,0,0
2014-07-06,0,23,0,0
2014-07-13,0,0,0,0
2014-07-20,25,0,0,0
2014-07-27,0,0,22,34
2014-08-03,0,0,0,23
2014-08-10,0,0,0,0
2014-08-17,0,0,22,0
2014-08-24,0,0,0,0
2014-08-31,38,0,0,0
2014-09-07,17,0,0,0
2014-09-14,0,0,0,0
2014-09-21,0,0,0,0
2014-09-28,0,0,0,25
2014-10-05,0,0,0,0
2014-10-12,0,0,0,0
2014-10-19,23,61,0,0
2014-10-26,27,0,0,24
