Kategorie: Alle Kategorien

Woche,husten: (Freiburg),Fieber: (Freiburg),fièvre: (Freiburg),toux: (Freiburg)
2022-11-06,24,0,0,39
2022-11-13,0,12,0,56
2022-11-20,40,24,11,19
2022-11-27,43,25,24,51
2022-12-04,48,10,28,44
2022-12-11,21,26,11,57
2022-12-18,17,44,15,100
2022-12-25,17,30,0,29
2023-01-01,21,0,24,46
2023-01-08,24,20,20,35
2023-01-15,57,14,0,43
2023-01-22,0,0,0,35
2023-01-29,24,21,18,56
2023-02-05,11,24,23,47
2023-02-12,17,37,0,57
2023-02-19,77,0,47,48
2023-02-26,0,16,42,53
2023-03-05,15,0,10,68
2023-03-12,14,15,32,27
2023-03-19,0,0,24,29
2023-03-26,19,20,0,50
2023-04-02,18,16,21,22
2023-04-09,25,0,0,23
2023-04-16,0,12,23,30
2023-04-23,0,0,0,0
2023-04-30,0,22,0,0
2023-05-07,15,12,16,28
2023-05-14,0,12,15,23
2023-05-21,0,0,0,15
2023-05-28,0,29,29,23
2023-06-04,0,16,0,0
2023-06-11,0,26,13,0
2023-06-18,30,15,17,0
2023-06-25,0,0,54,15
2023-07-02,0,0,19,0
2023-07-09,0,14,0,22
2023-07-16,46,0,0,38
2023-07-23,0,14,0,16
2023-07-30,0,0,14,32
2023-08-06,19,18,29,24
2023-08-13,0,0,14,16
2023-08-20,0,13,0,32
2023-08-27,0,11,0,21
2023-09-03,59,0,35,30
2023-09-10,0,0,58,37
2023-09-17,0,0,0,40
2023-09-24,24,0,19,0
2023-10-01,12,0,0,44
2023-10-08,21,0,20,48
2023-10-15,25,22,0,93
2023-10-22,0,0,0,11
2023-10-29,0,15,12,29
2023-11-05,11,0,0,32
2023-11-12,0,11,0,45
