Kategorie: Alle Kategorien

Woche,husten: (Solothurn),Fieber: (Solothurn),fièvre: (Solothurn),toux: (Solothurn)
2022-11-06,0,0,0,0
2022-11-13,0,0,0,0
2022-11-20,0,0,0,0
2022-11-27,0,0,0,0
2022-12-04,0,0,0,0
2022-12-11,0,0,0,0
2022-12-18,0,0,0,0
2022-12-25,0,0,0,0
2023-01-01,42,55,0,0
2023-01-08,69,42,0,0
2023-01-15,27,46,0,0
2023-01-22,29,60,0,0
2023-01-29,36,73,0,0
2023-02-05,36,31,0,0
2023-02-12,31,33,0,0
2023-02-19,59,69,0,0
2023-02-26,33,51,0,0
2023-03-05,59,82,0,0
2023-03-12,42,78,0,0
2023-03-19,34,39,0,0
2023-03-26,26,38,0,0
2023-04-02,26,21,0,0
2023-04-09,53,48,0,0
2023-04-16,11,34,0,0
2023-04-23,31,30,0,0
2023-04-30,22,29,0,0
2023-05-07,23,22,0,0
2023-05-14,15,17,0,0
2023-05-21,13,30,0,0
2023-05-28,11,0,0,0
2023-06-04,35,24,0,0
2023-06-11,10,29,0,0
2023-06-18,0,0,0,0
2023-06-25,0,29,0,0
2023-07-02,0,28,0,0
2023-07-09,0,0,0,0
2023-07-16,29,25,0,0
2023-07-23,0,0,0,0
2023-07-30,0,32,0,0
2023-08-06,21,22,0,0
2023-08-13,100,17,0,0
2023-08-20,12,24,0,0
2023-08-27,17,26,0,0
2023-09-03,31,32,0,0
2023-09-10,23,0,0,0
2023-09-17,22,41,0,0
2023-09-24,38,22,0,0
2023-10-01,25,97,0,0
2023-10-08,44,90,0,0
2023-10-15,37,22,0,0
2023-10-22,17,42,0,0
2023-10-29,0,28,0,0
2023-11-05,36,34,0,0
2023-11-12,20,23,0,0
