Kategorie: Alle Kategorien

Woche,Influenza: (Waadt),influenza: (Waadt),Grippe: (Waadt),Flu: (Waadt)
2022-11-27,43,5,42,0
2022-12-04,49,5,33,3
2022-12-11,68,6,53,16
2022-12-18,90,5,67,5
2022-12-25,100,10,82,5
2023-01-01,67,6,44,7
2023-01-08,45,0,37,7
2023-01-15,34,0,24,0
2023-01-22,26,5,21,8
2023-01-29,42,0,32,8
2023-02-05,43,0,39,10
2023-02-12,49,9,34,0
2023-02-19,48,0,39,5
2023-02-26,57,0,45,7
2023-03-05,48,13,29,4
2023-03-12,44,9,40,0
2023-03-19,32,0,7,5
2023-03-26,30,5,14,8
2023-04-02,24,0,17,5
2023-04-09,31,0,22,0
2023-04-16,18,6,20,4
2023-04-23,21,0,4,0
2023-04-30,22,0,13,7
2023-05-07,9,5,8,0
2023-05-14,15,0,10,6
2023-05-21,18,0,7,6
2023-05-28,9,0,6,0
2023-06-04,4,0,12,0
2023-06-11,10,0,4,4
2023-06-18,7,8,0,0
2023-06-25,6,0,0,0
2023-07-02,16,10,4,0
2023-07-09,11,0,8,3
2023-07-16,9,0,4,0
2023-07-23,13,0,0,3
2023-07-30,12,5,4,11
2023-08-06,12,6,0,5
2023-08-13,10,0,4,7
2023-08-20,9,0,8,4
2023-08-27,11,0,11,0
2023-09-03,14,0,6,0
2023-09-10,14,0,9,0
2023-09-17,15,9,11,4
2023-09-24,24,0,13,4
2023-10-01,27,0,0,4
2023-10-08,33,0,19,4
2023-10-15,34,0,27,0
2023-10-22,17,3,21,0
2023-10-29,41,0,32,8
2023-11-05,45,3,36,0
2023-11-12,40,0,25,3
