Kategorie: Alle Kategorien

Woche,Influenza: (Graubünden),influenza: (Graubünden),Grippe: (Graubünden),Flu: (Graubünden)
2017-11-05,0,0,8,0
2017-11-12,0,0,0,0
2017-11-19,12,0,0,0
2017-11-26,11,0,9,0
2017-12-03,25,0,0,0
2017-12-10,0,9,0,0
2017-12-17,0,0,0,0
2017-12-24,9,0,34,0
2017-12-31,31,0,34,8
2018-01-07,28,19,37,0
2018-01-14,22,0,20,0
2018-01-21,22,18,21,0
2018-01-28,21,12,8,0
2018-02-04,16,0,21,0
2018-02-11,19,5,21,0
2018-02-18,37,7,24,0
2018-02-25,49,6,12,16
2018-03-04,21,0,16,0
2018-03-11,7,0,14,0
2018-03-18,0,7,0,0
2018-03-25,16,8,5,0
2018-04-01,0,0,0,0
2018-04-08,0,0,0,17
2018-04-15,13,0,0,0
2018-04-22,0,0,0,0
2018-04-29,0,0,0,0
2018-05-06,0,0,9,0
2018-05-13,12,0,0,0
2018-05-20,17,0,0,9
2018-05-27,12,13,0,0
2018-06-03,0,0,0,0
2018-06-10,0,0,14,9
2018-06-17,0,0,0,0
2018-06-24,9,0,7,0
2018-07-01,15,9,0,0
2018-07-08,13,0,0,0
2018-07-15,8,0,0,0
2018-07-22,0,0,0,0
2018-07-29,0,0,9,0
2018-08-05,0,0,0,0
2018-08-12,0,0,0,0
2018-08-19,0,8,0,0
2018-08-26,0,7,0,0
2018-09-02,0,6,0,0
2018-09-09,0,11,0,0
2018-09-16,7,14,0,0
2018-09-23,0,0,7,0
2018-09-30,0,0,0,0
2018-10-07,9,0,0,8
2018-10-14,0,0,0,0
2018-10-21,29,0,0,34
2018-10-28,0,0,19,0
2018-11-04,9,9,0,18
2018-11-11,13,15,8,0
2018-11-18,7,11,17,0
2018-11-25,9,0,40,0
2018-12-02,0,21,0,0
2018-12-09,0,11,0,12
2018-12-16,0,6,8,15
2018-12-23,25,0,21,0
2018-12-30,32,0,5,0
2019-01-06,0,0,0,0
2019-01-13,0,0,8,6
2019-01-20,24,0,13,0
2019-01-27,13,0,16,0
2019-02-03,14,0,18,0
2019-02-10,30,8,18,0
2019-02-17,32,0,14,0
2019-02-24,21,6,18,7
2019-03-03,15,0,16,0
2019-03-10,15,0,0,14
2019-03-17,0,0,7,12
2019-03-24,0,0,0,0
2019-03-31,10,13,0,0
2019-04-07,15,0,8,0
2019-04-14,0,0,0,0
2019-04-21,0,0,11,0
2019-04-28,13,13,0,0
2019-05-05,0,8,7,0
2019-05-12,0,11,14,18
2019-05-19,0,9,0,0
2019-05-26,8,0,0,0
2019-06-02,0,0,6,0
2019-06-09,0,0,0,0
2019-06-16,6,0,0,0
2019-06-23,0,0,0,0
2019-06-30,0,0,0,14
2019-07-07,8,0,0,0
2019-07-14,6,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,7,0,0
2019-08-04,0,0,19,13
2019-08-11,0,0,8,13
2019-08-18,18,11,14,5
2019-08-25,11,0,0,0
2019-09-01,6,0,0,0
2019-09-08,6,9,0,0
2019-09-15,15,0,10,0
2019-09-22,8,16,5,9
2019-09-29,0,0,0,0
2019-10-06,14,6,11,0
2019-10-13,13,0,0,0
2019-10-20,0,0,7,8
2019-10-27,8,5,8,0
2019-11-03,7,8,13,0
2019-11-10,0,6,0,0
2019-11-17,0,17,0,0
2019-11-24,0,0,0,0
2019-12-01,15,0,0,0
2019-12-08,0,0,16,0
2019-12-15,14,0,20,0
2019-12-22,14,8,15,6
