Kategorie: Alle Kategorien

Woche,husten: (Basel-Stadt),Fieber: (Basel-Stadt),fièvre: (Basel-Stadt),toux: (Basel-Stadt)
2017-01-01,37,24,0,0
2017-01-08,34,39,7,0
2017-01-15,35,22,7,0
2017-01-22,10,50,0,18
2017-01-29,0,27,0,8
2017-02-05,14,51,0,0
2017-02-12,36,35,0,0
2017-02-19,27,12,0,0
2017-02-26,31,31,0,0
2017-03-05,9,29,15,37
2017-03-12,24,0,0,0
2017-03-19,17,48,0,0
2017-03-26,24,41,0,9
2017-04-02,0,0,28,0
2017-04-09,11,0,0,0
2017-04-16,24,18,0,0
2017-04-23,13,27,0,0
2017-04-30,0,14,0,10
2017-05-07,0,20,0,0
2017-05-14,7,18,0,0
2017-05-21,0,25,8,0
2017-05-28,7,14,0,0
2017-06-04,22,30,0,0
2017-06-11,0,20,0,0
2017-06-18,33,24,0,0
2017-06-25,17,27,21,0
2017-07-02,0,21,16,0
2017-07-09,10,29,0,0
2017-07-16,0,18,0,9
2017-07-23,0,30,0,0
2017-07-30,0,17,0,0
2017-08-06,12,0,0,0
2017-08-13,0,28,14,19
2017-08-20,0,29,0,0
2017-08-27,31,40,0,0
2017-09-03,0,28,0,26
2017-09-10,11,13,0,0
2017-09-17,13,21,22,0
2017-09-24,10,19,0,0
2017-10-01,66,30,10,0
2017-10-08,0,17,0,0
2017-10-15,79,22,28,14
2017-10-22,9,29,0,0
2017-10-29,0,12,0,0
2017-11-05,21,27,0,0
2017-11-12,0,23,0,0
2017-11-19,48,14,0,0
2017-11-26,22,20,14,0
2017-12-03,31,0,0,0
2017-12-10,23,42,0,0
2017-12-17,24,26,0,0
2017-12-24,75,73,0,82
2017-12-31,40,22,0,0
