Kategorie: Alle Kategorien

Woche,Influenza: (Neuenburg),influenza: (Neuenburg),Grippe: (Neuenburg),Flu: (Neuenburg)
2021-10-31,8,0,19,0
2021-11-07,24,0,30,0
2021-11-14,7,0,14,0
2021-11-21,14,0,11,17
2021-11-28,32,0,25,0
2021-12-05,8,0,12,0
2021-12-12,20,0,23,16
2021-12-19,13,10,0,0
2021-12-26,0,18,0,0
2022-01-02,39,0,27,0
2022-01-09,27,0,10,0
2022-01-16,17,12,7,0
2022-01-23,8,8,0,10
2022-01-30,18,10,17,0
2022-02-06,0,13,7,0
2022-02-13,13,10,0,0
2022-02-20,5,0,0,0
2022-02-27,8,8,0,0
2022-03-06,0,0,8,6
2022-03-13,13,0,11,0
2022-03-20,20,0,0,0
2022-03-27,9,0,17,0
2022-04-03,7,0,9,11
2022-04-10,16,0,18,0
2022-04-17,10,0,0,9
2022-04-24,13,0,0,0
2022-05-01,0,0,0,0
2022-05-08,0,6,0,0
2022-05-15,0,0,0,0
2022-05-22,13,0,0,10
2022-05-29,0,0,16,19
2022-06-05,0,0,0,0
2022-06-12,0,0,36,0
2022-06-19,0,0,10,0
2022-06-26,0,0,7,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,8
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,28,0,10,0
2022-09-04,0,0,11,0
2022-09-11,0,0,0,6
2022-09-18,0,0,14,0
2022-09-25,0,0,0,0
2022-10-02,13,0,0,0
2022-10-09,0,21,8,0
2022-10-16,21,0,0,0
2022-10-23,0,0,0,0
2022-10-30,16,0,19,0
2022-11-06,11,6,0,0
2022-11-13,9,0,23,0
2022-11-20,5,0,11,13
2022-11-27,0,0,12,0
2022-12-04,19,6,13,0
2022-12-11,12,0,13,0
2022-12-18,38,0,52,7
2022-12-25,37,9,30,0
