Kategorie: Alle Kategorien

Woche,Influenza: (Zug),influenza: (Zug),Grippe: (Zug),Flu: (Zug)
2017-11-05,13,16,0,0
2017-11-12,13,15,15,0
2017-11-19,0,8,0,0
2017-11-26,9,0,0,8
2017-12-03,21,11,7,0
2017-12-10,48,0,9,13
2017-12-17,9,0,0,0
2017-12-24,49,23,14,13
2017-12-31,21,0,12,11
2018-01-07,16,0,0,32
2018-01-14,31,9,0,0
2018-01-21,23,0,15,10
2018-01-28,20,8,21,0
2018-02-04,27,0,12,9
2018-02-11,0,23,8,13
2018-02-18,32,0,0,13
2018-02-25,24,0,13,0
2018-03-04,15,12,7,0
2018-03-11,15,0,9,0
2018-03-18,13,0,0,0
2018-03-25,0,0,11,0
2018-04-01,18,0,16,0
2018-04-08,0,0,0,0
2018-04-15,0,8,0,0
2018-04-22,0,0,0,0
2018-04-29,0,0,0,0
2018-05-06,0,0,0,0
2018-05-13,17,0,0,0
2018-05-20,0,0,0,17
2018-05-27,38,18,0,8
2018-06-03,0,30,0,0
2018-06-10,0,0,0,0
2018-06-17,9,0,0,0
2018-06-24,7,0,11,0
2018-07-01,12,12,0,0
2018-07-08,0,13,0,8
2018-07-15,0,0,0,0
2018-07-22,0,13,0,0
2018-07-29,0,0,18,0
2018-08-05,0,14,0,0
2018-08-12,12,0,0,0
2018-08-19,0,9,0,17
2018-08-26,0,0,0,0
2018-09-02,33,0,0,0
2018-09-09,0,0,0,0
2018-09-16,9,0,9,0
2018-09-23,51,9,0,25
2018-09-30,9,0,0,12
2018-10-07,15,10,0,0
2018-10-14,0,27,8,0
2018-10-21,10,0,0,0
2018-10-28,0,0,0,0
2018-11-04,0,0,0,0
2018-11-11,8,0,41,0
2018-11-18,0,0,20,0
2018-11-25,0,0,0,0
2018-12-02,8,0,0,0
2018-12-09,0,0,9,0
2018-12-16,0,0,19,0
2018-12-23,11,0,0,0
2018-12-30,14,17,17,0
2019-01-06,0,0,27,0
2019-01-13,12,0,20,0
2019-01-20,43,7,9,0
2019-01-27,0,0,24,0
2019-02-03,32,0,15,0
2019-02-10,15,0,12,33
2019-02-17,12,0,0,11
2019-02-24,13,0,0,0
2019-03-03,17,0,8,0
