Kategorie: Alle Kategorien

Woche,Influenza: (Neuenburg),influenza: (Neuenburg),Grippe: (Neuenburg),Flu: (Neuenburg)
2013-01-06,0,0,15,0
2013-01-13,30,0,0,0
2013-01-20,42,15,0,0
2013-01-27,12,0,0,0
2013-02-03,24,0,72,18
2013-02-10,42,0,0,26
2013-02-17,39,0,37,0
2013-02-24,17,0,19,18
2013-03-03,13,0,18,0
2013-03-10,0,0,17,0
2013-03-17,0,0,9,0
2013-03-24,19,0,26,0
2013-03-31,0,27,0,15
2013-04-07,0,0,0,0
2013-04-14,0,0,14,0
2013-04-21,16,12,0,0
2013-04-28,0,0,0,0
2013-05-05,18,0,0,0
2013-05-12,38,0,28,0
2013-05-19,21,13,0,0
2013-05-26,0,18,0,0
2013-06-02,0,43,0,0
2013-06-09,0,0,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,11,0
2013-06-30,0,0,0,19
2013-07-07,0,20,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,16,0
2013-07-28,0,49,0,0
2013-08-04,0,0,0,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,0
2013-08-25,0,0,0,0
2013-09-01,0,0,0,19
2013-09-08,0,0,22,14
2013-09-15,0,0,16,0
2013-09-22,0,0,0,0
2013-09-29,16,0,0,0
2013-10-06,21,0,0,0
2013-10-13,21,26,0,0
2013-10-20,0,0,0,0
2013-10-27,36,0,0,12
2013-11-03,25,0,33,0
2013-11-10,0,0,0,0
2013-11-17,16,0,14,0
2013-11-24,48,0,25,0
2013-12-01,0,16,0,0
2013-12-08,10,0,15,0
2013-12-15,0,0,0,26
2013-12-22,0,0,0,0
2013-12-29,0,20,14,0
2014-01-05,34,23,0,0
2014-01-12,16,28,0,21
2014-01-19,0,0,0,0
2014-01-26,21,14,26,0
2014-02-02,33,0,35,0
2014-02-09,13,0,0,0
2014-02-16,28,34,0,0
2014-02-23,0,0,19,18
2014-03-02,22,0,14,14
2014-03-09,0,0,11,0
2014-03-16,28,0,14,0
2014-03-23,0,0,0,0
2014-03-30,12,0,36,14
2014-04-06,0,0,0,0
2014-04-13,0,0,0,0
2014-04-20,0,0,0,0
2014-04-27,0,23,14,0
2014-05-04,13,0,0,0
2014-05-11,0,19,0,0
2014-05-18,20,0,0,0
2014-05-25,12,13,0,0
2014-06-01,25,26,12,0
2014-06-08,18,0,0,35
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,14
2014-07-13,0,0,0,0
2014-07-20,0,0,13,0
2014-07-27,0,0,0,0
2014-08-03,0,26,0,0
2014-08-10,0,0,16,0
2014-08-17,0,0,0,0
2014-08-24,50,0,0,0
2014-08-31,0,0,0,0
2014-09-07,0,0,0,22
2014-09-14,0,0,24,0
2014-09-21,0,0,0,27
2014-09-28,0,50,12,0
2014-10-05,0,15,0,0
2014-10-12,0,0,0,0
2014-10-19,0,0,0,0
2014-10-26,0,0,17,0
2014-11-02,20,0,26,0
2014-11-09,0,0,25,0
2014-11-16,18,0,14,0
2014-11-23,14,0,0,27
2014-11-30,13,0,14,0
2014-12-07,0,0,40,0
2014-12-14,22,0,26,0
2014-12-21,34,18,0,0
2014-12-28,24,0,14,0
2015-01-04,15,0,0,16
2015-01-11,16,0,17,0
2015-01-18,0,0,0,0
2015-01-25,0,0,14,0
2015-02-01,23,29,0,0
2015-02-08,34,0,54,0
2015-02-15,43,21,35,0
2015-02-22,14,15,0,0
2015-03-01,12,0,18,0
2015-03-08,0,13,24,11
2015-03-15,19,0,19,0
2015-03-22,11,11,13,0
2015-03-29,13,0,0,0
2015-04-05,30,0,0,0
2015-04-12,14,0,18,0
2015-04-19,0,0,0,0
2015-04-26,0,0,0,0
2015-05-03,0,31,0,0
2015-05-10,0,36,0,0
2015-05-17,0,0,11,0
2015-05-24,25,0,0,0
2015-05-31,0,0,0,0
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,0,0
2015-07-05,0,0,25,0
2015-07-12,0,0,0,0
2015-07-19,15,0,0,23
2015-07-26,0,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,79,0
2015-08-16,0,0,0,0
2015-08-23,24,0,10,0
2015-08-30,0,0,41,18
2015-09-06,0,0,0,0
2015-09-13,16,0,0,0
2015-09-20,0,0,0,14
2015-09-27,0,0,14,0
2015-10-04,13,0,0,0
2015-10-11,13,0,13,0
2015-10-18,0,0,0,0
2015-10-25,17,0,0,0
2015-11-01,37,0,0,0
2015-11-08,0,0,0,0
2015-11-15,0,0,0,27
2015-11-22,0,15,16,0
2015-11-29,0,0,0,0
2015-12-06,0,0,0,0
