Kategorie: Alle Kategorien

Woche,Influenza: (Schweiz),influenza: (Schweiz),Grippe: (Schweiz),Flu: (Schweiz)
2022-11-27,34,6,25,4
2022-12-04,42,9,29,4
2022-12-11,63,13,45,5
2022-12-18,100,21,72,9
2022-12-25,100,21,71,6
2023-01-01,65,12,49,6
2023-01-08,40,9,28,5
2023-01-15,30,6,22,3
2023-01-22,29,6,21,3
2023-01-29,33,6,27,3
2023-02-05,37,6,29,3
2023-02-12,38,7,29,4
2023-02-19,40,8,34,4
2023-02-26,37,6,30,4
2023-03-05,43,6,33,3
2023-03-12,38,7,26,3
2023-03-19,35,6,22,3
2023-03-26,30,4,20,3
2023-04-02,27,4,18,3
2023-04-09,27,5,17,3
2023-04-16,23,4,16,2
2023-04-23,18,2,13,3
2023-04-30,21,4,11,2
2023-05-07,16,2,11,3
2023-05-14,16,2,10,2
2023-05-21,15,2,9,3
2023-05-28,12,1,8,2
2023-06-04,13,2,8,2
2023-06-11,15,2,8,2
2023-06-18,12,1,8,2
2023-06-25,12,2,7,3
2023-07-02,13,<1,9,2
2023-07-09,13,1,8,3
2023-07-16,10,1,9,1
2023-07-23,13,2,9,2
2023-07-30,11,1,6,2
2023-08-06,15,2,10,2
2023-08-13,14,1,11,3
2023-08-20,11,2,8,2
2023-08-27,18,2,13,3
2023-09-03,17,1,14,1
2023-09-10,22,3,14,3
2023-09-17,20,2,15,3
2023-09-24,19,1,13,4
2023-10-01,24,3,15,5
2023-10-08,22,2,15,3
2023-10-15,27,2,21,3
2023-10-22,29,4,20,5
2023-10-29,37,4,25,6
2023-11-05,41,4,32,5
2023-11-12,38,4,28,5
