Kategorie: Alle Kategorien

Woche,Influenza: (Bern),influenza: (Bern),Grippe: (Bern),Flu: (Bern)
2020-08-09,11,1,10,1
2020-08-16,7,0,6,1
2020-08-23,12,0,9,1
2020-08-30,15,3,12,2
2020-09-06,9,0,8,4
2020-09-13,7,2,7,1
2020-09-20,11,3,9,1
2020-09-27,11,2,11,2
2020-10-04,16,2,13,1
2020-10-11,24,2,19,3
2020-10-18,33,5,25,1
2020-10-25,38,5,30,2
2020-11-01,24,3,19,1
2020-11-08,15,3,14,1
2020-11-15,11,1,8,0
2020-11-22,10,1,9,0
2020-11-29,12,2,7,1
2020-12-06,23,4,20,0
2020-12-13,15,3,11,1
2020-12-20,12,4,8,0
2020-12-27,14,0,12,0
2021-01-03,15,0,10,2
2021-01-10,13,0,11,1
2021-01-17,13,3,13,0
2021-01-24,10,0,8,2
2021-01-31,7,0,4,0
2021-02-07,9,2,8,0
2021-02-14,14,0,12,0
2021-02-21,10,1,6,1
2021-02-28,9,1,10,3
2021-03-07,10,2,7,0
2021-03-14,8,2,5,0
2021-03-21,4,0,2,0
2021-03-28,6,1,5,2
2021-04-04,9,2,9,0
2021-04-11,10,1,5,3
2021-04-18,6,0,6,0
2021-04-25,7,0,9,0
2021-05-02,5,1,2,0
2021-05-09,13,3,9,1
2021-05-16,5,1,3,0
2021-05-23,6,0,2,0
2021-05-30,6,0,5,2
2021-06-06,5,0,2,0
2021-06-13,4,0,3,0
2021-06-20,5,0,2,0
2021-06-27,3,0,3,0
2021-07-04,2,0,5,2
2021-07-11,5,0,5,0
2021-07-18,10,0,1,0
2021-07-25,6,2,5,0
2021-08-01,2,0,4,0
2021-08-08,6,1,3,0
2021-08-15,4,0,5,0
2021-08-22,9,0,4,0
2021-08-29,10,0,9,0
2021-09-05,9,3,5,0
2021-09-12,11,1,9,0
2021-09-19,14,0,12,0
2021-09-26,7,0,6,0
2021-10-03,10,0,7,0
2021-10-10,8,0,10,2
2021-10-17,14,2,13,1
2021-10-24,9,2,11,0
2021-10-31,9,1,10,0
2021-11-07,15,2,18,0
2021-11-14,13,0,13,3
2021-11-21,12,0,15,0
2021-11-28,15,1,17,0
2021-12-05,15,3,13,2
2021-12-12,11,3,9,0
2021-12-19,15,0,14,0
2021-12-26,12,3,15,0
2022-01-02,14,3,8,5
2022-01-09,16,3,13,0
2022-01-16,10,0,6,1
2022-01-23,8,0,7,0
2022-01-30,8,3,7,0
2022-02-06,9,0,9,0
2022-02-13,10,0,6,0
2022-02-20,5,0,6,1
2022-02-27,9,3,9,1
2022-03-06,9,0,10,0
2022-03-13,10,2,10,0
2022-03-20,9,0,11,0
2022-03-27,6,2,7,1
2022-04-03,12,3,9,0
2022-04-10,6,0,6,0
2022-04-17,8,3,10,0
2022-04-24,4,0,2,0
2022-05-01,4,2,3,2
2022-05-08,5,0,3,3
2022-05-15,7,2,2,0
2022-05-22,3,0,2,0
2022-05-29,4,0,4,0
2022-06-05,4,0,8,0
2022-06-12,3,2,2,0
2022-06-19,3,2,0,0
2022-06-26,4,0,5,1
2022-07-03,5,0,7,1
2022-07-10,6,0,4,2
2022-07-17,7,0,7,0
2022-07-24,4,0,8,0
2022-07-31,0,1,2,0
2022-08-07,4,3,6,0
2022-08-14,2,0,6,0
2022-08-21,4,0,5,0
2022-08-28,2,0,5,0
2022-09-04,5,0,6,0
2022-09-11,4,0,5,0
2022-09-18,4,0,5,8
2022-09-25,6,0,6,0
2022-10-02,4,4,8,0
2022-10-09,6,0,8,0
2022-10-16,10,3,9,0
2022-10-23,8,0,5,0
2022-10-30,7,0,7,2
2022-11-06,9,1,7,0
2022-11-13,12,2,8,0
2022-11-20,6,0,10,2
2022-11-27,9,0,7,5
2022-12-04,13,0,11,1
2022-12-11,16,5,14,4
2022-12-18,47,8,40,1
2022-12-25,37,8,29,0
