Kategorie: Alle Kategorien

Woche,Influenza: (Bern),influenza: (Bern),Grippe: (Bern),Flu: (Bern)
2017-11-05,16,0,11,2
2017-11-12,7,0,6,0
2017-11-19,9,2,6,0
2017-11-26,13,2,10,3
2017-12-03,9,0,7,0
2017-12-10,11,3,8,0
2017-12-17,12,3,10,0
2017-12-24,26,2,17,0
2017-12-31,24,0,18,1
2018-01-07,24,5,17,0
2018-01-14,19,1,14,3
2018-01-21,26,2,20,5
2018-01-28,26,3,19,3
2018-02-04,27,3,24,2
2018-02-11,19,3,14,0
2018-02-18,23,3,20,0
2018-02-25,19,2,20,0
2018-03-04,17,3,14,0
2018-03-11,19,2,18,2
2018-03-18,12,4,12,4
2018-03-25,15,4,15,3
2018-04-01,9,3,8,1
2018-04-08,5,1,6,0
2018-04-15,7,0,8,0
2018-04-22,2,0,2,0
2018-04-29,2,0,2,0
2018-05-06,2,0,6,2
2018-05-13,6,2,6,0
2018-05-20,2,0,3,4
2018-05-27,5,0,3,0
2018-06-03,9,1,5,0
2018-06-10,4,5,0,0
2018-06-17,5,2,0,0
2018-06-24,2,0,3,0
2018-07-01,3,0,4,0
2018-07-08,7,0,2,0
2018-07-15,5,0,5,2
2018-07-22,6,0,4,0
2018-07-29,2,2,5,0
2018-08-05,2,0,1,2
2018-08-12,4,0,7,0
2018-08-19,3,0,4,2
2018-08-26,6,0,3,0
2018-09-02,6,3,6,0
2018-09-09,10,0,4,0
2018-09-16,8,2,0,0
2018-09-23,6,4,5,4
2018-09-30,6,2,8,0
2018-10-07,11,0,4,0
2018-10-14,9,0,10,3
2018-10-21,5,0,0,0
2018-10-28,8,2,9,0
2018-11-04,11,2,8,0
2018-11-11,7,0,6,2
2018-11-18,9,0,6,1
2018-11-25,11,0,7,0
2018-12-02,5,1,6,0
2018-12-09,10,1,11,0
2018-12-16,9,1,9,0
2018-12-23,11,0,11,1
2018-12-30,9,2,9,0
2019-01-06,13,2,9,1
2019-01-13,16,0,14,0
2019-01-20,16,3,15,0
2019-01-27,25,5,24,5
2019-02-03,20,4,23,3
2019-02-10,26,7,19,0
2019-02-17,23,2,18,2
2019-02-24,18,5,11,0
2019-03-03,12,2,12,0
2019-03-10,8,1,8,0
2019-03-17,7,3,7,0
2019-03-24,11,0,6,2
2019-03-31,7,0,10,2
2019-04-07,4,3,3,0
2019-04-14,3,4,4,5
2019-04-21,3,3,5,6
2019-04-28,4,1,4,0
2019-05-05,3,2,1,0
2019-05-12,3,2,4,4
2019-05-19,0,0,0,0
2019-05-26,6,0,9,0
2019-06-02,4,0,1,3
2019-06-09,3,0,0,1
2019-06-16,4,0,1,2
2019-06-23,8,2,3,0
2019-06-30,3,0,4,2
2019-07-07,2,0,2,0
2019-07-14,0,0,2,0
2019-07-21,5,1,8,6
2019-07-28,0,0,5,0
2019-08-04,0,2,3,0
2019-08-11,1,0,0,0
2019-08-18,5,2,2,3
2019-08-25,5,0,4,1
2019-09-01,2,0,2,4
2019-09-08,5,1,3,0
2019-09-15,8,1,4,3
2019-09-22,4,0,3,4
2019-09-29,8,0,4,2
2019-10-06,10,1,6,2
2019-10-13,2,0,3,2
2019-10-20,4,0,7,4
2019-10-27,10,3,2,0
2019-11-03,10,0,11,0
2019-11-10,8,0,8,3
2019-11-17,6,0,5,1
2019-11-24,8,0,6,2
2019-12-01,7,4,3,2
2019-12-08,10,4,5,0
2019-12-15,8,3,5,0
2019-12-22,13,0,13,2
2019-12-29,9,0,9,0
2020-01-05,7,1,8,0
2020-01-12,19,4,12,0
2020-01-19,26,3,22,0
2020-01-26,45,8,34,3
2020-02-02,44,7,35,5
2020-02-09,29,4,24,1
2020-02-16,19,3,19,0
2020-02-23,99,13,75,8
2020-03-01,75,10,67,5
2020-03-08,91,11,68,9
2020-03-15,100,15,79,7
2020-03-22,74,10,55,6
2020-03-29,54,6,44,4
2020-04-05,44,8,33,1
2020-04-12,25,2,17,4
2020-04-19,23,5,17,2
2020-04-26,17,1,15,0
2020-05-03,20,3,15,0
2020-05-10,17,0,12,0
2020-05-17,9,0,5,0
2020-05-24,11,2,5,1
2020-05-31,8,2,5,0
2020-06-07,7,3,4,1
2020-06-14,6,0,7,1
2020-06-21,8,0,5,1
2020-06-28,11,3,8,0
2020-07-05,9,3,8,1
2020-07-12,11,0,7,0
2020-07-19,11,2,6,0
2020-07-26,7,1,5,0
2020-08-02,11,0,7,0
