Kategorie: Alle Kategorien

Woche,husten: (Appenzell Ausserrhoden),Fieber: (Appenzell Ausserrhoden),fièvre: (Appenzell Ausserrhoden),toux: (Appenzell Ausserrhoden)
2022-11-06,24,11,0,0
2022-11-13,26,13,0,0
2022-11-20,0,0,0,0
2022-11-27,11,15,0,0
2022-12-04,0,14,0,0
2022-12-11,0,29,0,0
2022-12-18,43,20,0,0
2022-12-25,0,14,0,0
2023-01-01,0,21,0,0
2023-01-08,15,14,0,0
2023-01-15,23,0,0,0
2023-01-22,0,14,0,0
2023-01-29,0,0,0,0
2023-02-05,0,13,0,0
2023-02-12,13,19,0,0
2023-02-19,12,100,0,0
2023-02-26,0,27,0,0
2023-03-05,0,0,0,0
2023-03-12,27,0,0,0
2023-03-19,0,21,0,0
2023-03-26,33,25,0,0
2023-04-02,26,0,0,0
2023-04-09,0,11,0,0
2023-04-16,18,14,0,0
2023-04-23,0,17,0,0
2023-04-30,18,0,0,0
2023-05-07,0,0,0,0
2023-05-14,11,21,0,0
2023-05-21,0,0,0,0
2023-05-28,18,13,0,0
2023-06-04,12,0,0,0
2023-06-11,19,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,24,0,0,0
2023-07-09,0,27,0,0
2023-07-16,0,0,0,0
2023-07-23,0,16,0,0
2023-07-30,0,14,0,0
2023-08-06,0,0,0,0
2023-08-13,12,0,0,0
2023-08-20,0,0,0,0
2023-08-27,0,0,0,0
2023-09-03,0,0,0,0
2023-09-10,0,18,0,0
2023-09-17,0,0,0,0
2023-09-24,0,14,0,0
2023-10-01,0,0,0,0
2023-10-08,0,42,0,0
2023-10-15,0,51,0,0
2023-10-22,0,0,0,0
2023-10-29,40,0,0,0
2023-11-05,15,34,0,0
2023-11-12,0,0,0,0
