Kategorie: Alle Kategorien

Woche,Influenza: (Thurgau),influenza: (Thurgau),Grippe: (Thurgau),Flu: (Thurgau)
2021-10-31,0,0,11,0
2021-11-07,30,0,6,0
2021-11-14,26,0,11,0
2021-11-21,12,9,11,0
2021-11-28,12,0,14,0
2021-12-05,14,6,8,5
2021-12-12,10,0,11,0
2021-12-19,0,0,9,0
2021-12-26,0,0,0,8
2022-01-02,10,8,0,0
2022-01-09,9,0,0,8
2022-01-16,0,0,9,0
2022-01-23,12,10,17,0
2022-01-30,0,7,10,12
2022-02-06,0,0,9,0
2022-02-13,5,0,10,0
2022-02-20,12,0,10,0
2022-02-27,11,7,13,0
2022-03-06,20,0,10,0
2022-03-13,11,0,14,0
2022-03-20,9,0,7,8
2022-03-27,8,0,7,4
2022-04-03,11,5,13,0
2022-04-10,6,0,14,0
2022-04-17,8,4,0,0
2022-04-24,0,0,5,4
2022-05-01,14,0,0,0
2022-05-08,4,0,15,0
2022-05-15,4,0,0,0
2022-05-22,0,5,0,0
2022-05-29,28,0,7,0
2022-06-05,5,0,11,0
2022-06-12,0,0,5,0
2022-06-19,5,6,0,0
2022-06-26,17,0,12,0
2022-07-03,12,5,8,4
2022-07-10,11,0,5,0
2022-07-17,16,10,0,0
2022-07-24,7,0,11,0
2022-07-31,0,0,0,19
2022-08-07,0,0,0,7
2022-08-14,0,0,0,0
2022-08-21,5,0,5,0
2022-08-28,10,0,5,0
2022-09-04,5,0,0,0
2022-09-11,0,12,0,0
2022-09-18,9,4,8,0
2022-09-25,0,0,0,0
2022-10-02,10,0,7,0
2022-10-09,10,0,0,0
2022-10-16,8,0,6,9
2022-10-23,7,0,0,0
2022-10-30,0,0,0,0
2022-11-06,5,0,20,0
2022-11-13,9,0,6,0
2022-11-20,11,0,7,0
2022-11-27,5,0,0,0
2022-12-04,5,0,4,12
2022-12-11,14,11,17,0
2022-12-18,17,27,30,0
2022-12-25,58,15,34,0
