Kategorie: Alle Kategorien

Woche,husten: (Neuenburg),Fieber: (Neuenburg),fièvre: (Neuenburg),toux: (Neuenburg)
2022-11-06,0,0,27,22
2022-11-13,0,0,19,20
2022-11-20,0,0,12,36
2022-11-27,0,0,14,15
2022-12-04,0,0,12,27
2022-12-11,0,0,8,65
2022-12-18,0,0,0,100
2022-12-25,0,0,40,68
2023-01-01,0,9,0,16
2023-01-08,0,0,53,22
2023-01-15,12,0,14,0
2023-01-22,0,0,16,9
2023-01-29,11,0,13,24
2023-02-05,15,0,14,16
2023-02-12,0,0,0,31
2023-02-19,0,0,8,0
2023-02-26,11,0,0,25
2023-03-05,0,0,12,0
2023-03-12,0,0,0,25
2023-03-19,0,0,12,9
2023-03-26,14,0,0,23
2023-04-02,21,0,0,30
2023-04-09,0,17,0,36
2023-04-16,8,9,13,0
2023-04-23,40,0,0,0
2023-04-30,0,0,25,0
2023-05-07,0,0,0,0
2023-05-14,0,0,0,36
2023-05-21,0,0,9,0
2023-05-28,0,0,0,0
2023-06-04,0,9,0,17
2023-06-11,0,9,0,38
2023-06-18,0,0,11,11
2023-06-25,0,0,0,45
2023-07-02,0,27,0,0
2023-07-09,0,0,21,53
2023-07-16,12,26,20,0
2023-07-23,0,0,0,0
2023-07-30,10,0,38,29
2023-08-06,0,0,9,23
2023-08-13,0,14,0,24
2023-08-20,10,17,0,0
2023-08-27,0,0,9,20
2023-09-03,0,11,50,0
2023-09-10,0,0,0,8
2023-09-17,0,0,10,14
2023-09-24,0,0,0,17
2023-10-01,0,0,0,22
2023-10-08,0,0,0,34
2023-10-15,0,0,0,25
2023-10-22,0,11,0,0
2023-10-29,0,0,0,27
2023-11-05,10,0,22,78
2023-11-12,0,0,0,30
