Kategorie: Alle Kategorien

Woche,husten: (Aargau),Fieber: (Aargau),fièvre: (Aargau),toux: (Aargau)
2017-11-05,25,30,0,6
2017-11-12,0,23,0,0
2017-11-19,32,21,0,0
2017-11-26,10,24,0,0
2017-12-03,24,19,0,0
2017-12-10,24,19,0,0
2017-12-17,21,17,0,8
2017-12-24,36,65,0,7
2017-12-31,26,43,0,0
2018-01-07,21,50,0,8
2018-01-14,18,33,0,0
2018-01-21,25,58,0,5
2018-01-28,17,44,0,0
2018-02-04,22,40,0,0
2018-02-11,34,32,0,0
2018-02-18,27,42,0,0
2018-02-25,41,51,0,0
2018-03-04,30,43,0,0
2018-03-11,31,36,0,0
2018-03-18,45,40,0,0
2018-03-25,29,20,0,0
2018-04-01,11,43,0,0
2018-04-08,10,16,0,0
2018-04-15,31,40,0,0
2018-04-22,12,25,0,0
2018-04-29,5,12,0,0
2018-05-06,0,16,0,0
2018-05-13,9,15,0,0
2018-05-20,19,22,0,0
2018-05-27,8,22,0,0
2018-06-03,0,27,0,6
2018-06-10,20,23,0,0
2018-06-17,5,19,0,0
2018-06-24,22,25,0,20
2018-07-01,26,25,0,0
2018-07-08,12,20,0,0
2018-07-15,0,28,0,0
2018-07-22,9,17,0,0
2018-07-29,0,21,0,0
2018-08-05,12,7,0,6
2018-08-12,21,41,0,0
2018-08-19,17,18,0,0
2018-08-26,0,41,0,0
2018-09-02,13,24,0,0
2018-09-09,34,16,0,0
2018-09-16,18,36,0,0
2018-09-23,17,28,0,0
2018-09-30,22,27,0,0
2018-10-07,11,45,0,9
2018-10-14,10,20,0,0
2018-10-21,11,38,0,6
2018-10-28,27,32,0,0
2018-11-04,27,8,0,0
2018-11-11,33,25,0,0
2018-11-18,21,32,0,0
2018-11-25,26,37,0,0
2018-12-02,50,25,0,12
2018-12-09,26,32,0,0
2018-12-16,20,12,0,0
2018-12-23,42,30,0,0
2018-12-30,29,51,0,0
2019-01-06,40,40,0,0
2019-01-13,27,27,0,0
2019-01-20,23,56,0,0
2019-01-27,36,52,0,10
2019-02-03,30,44,0,0
2019-02-10,41,32,0,17
2019-02-17,35,45,0,7
2019-02-24,34,57,0,0
2019-03-03,36,34,0,0
2019-03-10,26,36,0,5
2019-03-17,27,23,0,5
2019-03-24,19,28,0,0
2019-03-31,28,36,0,0
2019-04-07,30,28,0,0
2019-04-14,18,29,0,0
2019-04-21,20,0,0,0
2019-04-28,22,16,0,0
2019-05-05,0,20,0,0
2019-05-12,23,21,0,0
2019-05-19,24,15,0,13
2019-05-26,17,20,0,4
2019-06-02,10,23,0,0
2019-06-09,13,16,0,0
2019-06-16,23,24,0,0
2019-06-23,7,22,0,0
2019-06-30,8,50,0,0
2019-07-07,10,22,0,0
2019-07-14,10,31,0,9
2019-07-21,19,25,0,0
2019-07-28,20,34,0,0
2019-08-04,14,25,0,0
2019-08-11,16,18,0,0
2019-08-18,13,26,0,0
2019-08-25,12,40,0,0
2019-09-01,17,19,0,4
2019-09-08,9,26,0,0
2019-09-15,30,15,0,0
2019-09-22,23,41,0,0
2019-09-29,17,24,0,5
2019-10-06,15,57,0,7
2019-10-13,15,0,0,0
2019-10-20,14,26,0,0
2019-10-27,18,22,0,0
2019-11-03,31,27,0,0
2019-11-10,31,18,0,0
2019-11-17,22,15,0,0
2019-11-24,29,29,0,0
2019-12-01,27,33,0,12
2019-12-08,23,30,0,0
2019-12-15,23,26,0,0
2019-12-22,41,17,0,0
2019-12-29,35,30,0,0
2020-01-05,27,17,0,0
2020-01-12,22,49,0,0
2020-01-19,26,49,0,0
2020-01-26,32,55,0,0
2020-02-02,32,55,0,0
2020-02-09,18,52,0,4
2020-02-16,28,32,0,0
2020-02-23,42,61,0,0
2020-03-01,53,84,0,0
2020-03-08,58,82,0,0
2020-03-15,64,100,0,0
2020-03-22,42,64,0,4
2020-03-29,18,31,0,8
2020-04-05,21,33,0,0
2020-04-12,14,23,0,0
2020-04-19,10,16,0,0
2020-04-26,9,0,0,0
2020-05-03,11,25,0,0
2020-05-10,0,29,0,0
2020-05-17,0,22,0,4
