Kategorie: Alle Kategorien

Woche,Fieber: (Schweiz),husten: (Schweiz),fièvre: (Schweiz),toux: (Schweiz)
2017-11-05,27,21,2,5
2017-11-12,26,18,3,5
2017-11-19,20,21,3,8
2017-11-26,22,16,1,8
2017-12-03,20,17,2,7
2017-12-10,30,22,3,8
2017-12-17,31,27,4,10
2017-12-24,44,36,3,15
2017-12-31,41,32,3,13
2018-01-07,37,27,5,10
2018-01-14,36,24,3,10
2018-01-21,40,28,4,8
2018-01-28,36,30,3,11
2018-02-04,36,28,4,9
2018-02-11,40,32,4,11
2018-02-18,36,31,3,9
2018-02-25,35,29,2,10
2018-03-04,40,26,3,9
2018-03-11,36,24,1,8
2018-03-18,28,25,2,7
2018-03-25,29,24,2,7
2018-04-01,25,18,3,6
2018-04-08,25,19,3,6
2018-04-15,25,19,2,7
2018-04-22,18,17,3,7
2018-04-29,20,14,2,3
2018-05-06,17,15,1,3
2018-05-13,21,15,1,3
2018-05-20,19,17,3,5
2018-05-27,26,13,3,5
2018-06-03,23,12,2,5
2018-06-10,24,12,4,4
2018-06-17,23,9,3,6
2018-06-24,23,11,2,3
2018-07-01,24,12,2,5
2018-07-08,24,14,1,5
2018-07-15,18,13,2,4
2018-07-22,21,11,3,4
2018-07-29,22,9,2,6
2018-08-05,22,10,2,2
2018-08-12,23,10,2,4
2018-08-19,21,11,2,4
2018-08-26,24,10,1,5
2018-09-02,21,13,3,7
2018-09-09,26,14,2,5
2018-09-16,23,13,2,6
2018-09-23,20,17,2,6
2018-09-30,19,16,1,7
2018-10-07,18,18,2,5
2018-10-14,20,18,3,7
2018-10-21,22,14,2,9
2018-10-28,24,20,1,7
2018-11-04,23,20,3,6
2018-11-11,22,19,3,7
2018-11-18,20,21,2,11
2018-11-25,27,24,2,7
2018-12-02,27,25,3,8
2018-12-09,24,28,3,10
2018-12-16,25,30,5,8
2018-12-23,31,36,3,10
2018-12-30,27,31,3,9
2019-01-06,29,26,2,8
2019-01-13,32,23,4,9
2019-01-20,40,32,3,11
2019-01-27,41,30,4,11
2019-02-03,44,34,4,12
2019-02-10,45,32,3,12
2019-02-17,40,31,5,10
2019-02-24,35,25,4,10
2019-03-03,33,28,2,6
2019-03-10,29,23,3,7
2019-03-17,29,27,3,7
2019-03-24,29,19,4,7
2019-03-31,29,22,2,5
2019-04-07,26,21,1,7
2019-04-14,27,17,1,7
2019-04-21,23,22,1,5
2019-04-28,25,19,1,6
2019-05-05,22,14,4,5
2019-05-12,19,17,2,5
