Kategorie: Alle Kategorien

Woche,husten: (Graubünden),Fieber: (Graubünden),fièvre: (Graubünden),toux: (Graubünden)
2013-01-06,0,21,0,0
2013-01-13,0,18,0,0
2013-01-20,0,22,0,0
2013-01-27,0,27,0,0
2013-02-03,0,0,0,0
2013-02-10,0,29,0,0
2013-02-17,36,0,0,0
2013-02-24,0,0,0,0
2013-03-03,0,23,0,0
2013-03-10,0,21,0,0
2013-03-17,0,0,0,0
2013-03-24,38,17,0,0
2013-03-31,30,0,0,0
2013-04-07,0,19,0,0
2013-04-14,0,49,0,0
2013-04-21,0,0,0,0
2013-04-28,0,55,0,0
2013-05-05,0,42,0,0
2013-05-12,0,0,0,0
2013-05-19,0,0,0,0
2013-05-26,61,22,0,0
2013-06-02,0,41,0,0
2013-06-09,32,0,0,0
2013-06-16,24,0,0,0
2013-06-23,0,0,0,0
2013-06-30,0,0,0,0
2013-07-07,0,0,0,0
2013-07-14,0,22,0,0
2013-07-21,0,59,0,0
2013-07-28,0,29,0,0
2013-08-04,0,0,0,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,0
2013-08-25,0,28,0,0
2013-09-01,0,0,0,0
2013-09-08,67,0,0,0
2013-09-15,0,0,0,0
2013-09-22,0,0,0,0
2013-09-29,28,0,0,0
2013-10-06,0,0,0,0
2013-10-13,0,40,0,0
2013-10-20,0,0,0,0
2013-10-27,0,0,0,0
2013-11-03,37,0,0,0
2013-11-10,0,0,0,0
2013-11-17,0,0,0,0
2013-11-24,19,26,0,0
2013-12-01,0,18,0,0
2013-12-08,18,52,0,0
2013-12-15,0,0,0,0
2013-12-22,14,0,0,0
2013-12-29,41,0,0,0
2014-01-05,0,0,0,0
2014-01-12,0,0,0,0
2014-01-19,25,0,0,0
2014-01-26,21,0,0,0
2014-02-02,37,24,0,0
2014-02-09,0,39,0,0
2014-02-16,0,12,0,0
2014-02-23,19,0,0,0
2014-03-02,0,0,0,0
2014-03-09,61,39,0,0
2014-03-16,26,16,0,0
