Kategorie: Alle Kategorien

Woche,Influenza: (Aargau),influenza: (Aargau),Grippe: (Aargau),Flu: (Aargau)
2022-11-27,24,0,26,14
2022-12-04,52,17,38,0
2022-12-11,87,18,50,13
2022-12-18,97,30,69,8
2022-12-25,100,24,72,0
2023-01-01,75,27,64,0
2023-01-08,40,7,16,10
2023-01-15,38,8,29,5
2023-01-22,33,9,24,8
2023-01-29,22,4,33,0
2023-02-05,36,9,35,0
2023-02-12,18,10,19,7
2023-02-19,42,4,27,7
2023-02-26,25,13,20,5
2023-03-05,43,0,30,5
2023-03-12,22,4,27,0
2023-03-19,37,4,24,0
2023-03-26,48,7,26,0
2023-04-02,28,8,34,9
2023-04-09,27,8,5,0
2023-04-16,22,7,22,6
2023-04-23,28,0,17,4
2023-04-30,10,0,27,0
2023-05-07,18,0,10,0
2023-05-14,20,0,0,5
2023-05-21,18,0,12,5
2023-05-28,22,6,0,5
2023-06-04,10,8,10,13
2023-06-11,10,0,0,0
2023-06-18,9,8,19,0
2023-06-25,0,0,7,0
2023-07-02,26,4,14,0
2023-07-09,17,0,0,0
2023-07-16,17,0,0,0
2023-07-23,11,9,11,0
2023-07-30,18,0,9,6
2023-08-06,25,0,9,10
2023-08-13,12,0,0,0
2023-08-20,5,0,19,4
2023-08-27,29,0,19,19
2023-09-03,14,0,12,19
2023-09-10,38,0,10,0
2023-09-17,16,0,18,4
2023-09-24,18,0,17,0
2023-10-01,21,0,16,14
2023-10-08,22,0,11,10
2023-10-15,28,12,20,9
2023-10-22,45,5,28,0
2023-10-29,37,0,27,0
2023-11-05,50,0,37,5
2023-11-12,39,0,24,0
