Kategorie: Alle Kategorien

Woche,husten: (Neuenburg),Fieber: (Neuenburg),fièvre: (Neuenburg),toux: (Neuenburg)
2017-01-01,0,0,27,0
2017-01-08,0,0,0,24
2017-01-15,0,0,0,0
2017-01-22,0,17,0,24
2017-01-29,0,0,0,34
2017-02-05,0,0,0,0
2017-02-12,0,0,0,0
2017-02-19,28,0,40,0
2017-02-26,0,0,47,20
2017-03-05,0,67,0,0
2017-03-12,0,0,0,0
2017-03-19,0,0,0,0
2017-03-26,0,0,0,0
2017-04-02,27,0,0,0
2017-04-09,21,30,32,0
2017-04-16,0,0,33,50
2017-04-23,0,0,0,25
2017-04-30,21,16,0,0
2017-05-07,67,0,0,23
2017-05-14,0,0,0,26
2017-05-21,22,0,28,0
2017-05-28,0,0,0,35
2017-06-04,0,0,0,0
2017-06-11,0,0,0,37
2017-06-18,0,0,0,0
2017-06-25,0,0,19,0
2017-07-02,0,0,0,20
2017-07-09,0,0,0,0
2017-07-16,22,0,0,24
2017-07-23,0,0,0,0
2017-07-30,25,60,95,0
2017-08-06,0,0,0,36
2017-08-13,0,18,0,17
2017-08-20,0,0,27,0
2017-08-27,0,0,0,30
2017-09-03,0,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,34,0
2017-09-24,0,0,0,16
2017-10-01,0,0,0,0
2017-10-08,0,0,0,33
2017-10-15,30,0,21,0
2017-10-22,0,0,0,21
2017-10-29,0,0,0,17
2017-11-05,18,22,0,23
2017-11-12,0,0,0,25
2017-11-19,0,0,0,0
2017-11-26,0,0,0,40
2017-12-03,0,0,0,13
2017-12-10,0,0,0,34
2017-12-17,0,0,0,34
2017-12-24,0,0,0,32
2017-12-31,0,0,50,34
