Kategorie: Alle Kategorien

Woche,husten: (Zürich),Fieber: (Zürich),fièvre: (Zürich),toux: (Zürich)
2013-01-06,37,45,0,4
2013-01-13,38,63,2,5
2013-01-20,51,65,0,6
2013-01-27,44,75,7,11
2013-02-03,43,53,7,5
2013-02-10,42,63,4,6
2013-02-17,31,59,0,10
2013-02-24,23,48,0,4
2013-03-03,33,40,0,9
2013-03-10,35,39,0,4
2013-03-17,26,41,0,6
2013-03-24,29,35,11,7
2013-03-31,34,39,0,0
2013-04-07,23,25,4,5
2013-04-14,27,33,0,5
2013-04-21,16,31,4,0
2013-04-28,33,28,3,0
2013-05-05,26,32,0,11
2013-05-12,14,24,0,0
2013-05-19,16,31,0,0
2013-05-26,21,38,0,0
2013-06-02,23,33,0,4
2013-06-09,22,31,0,5
2013-06-16,19,27,0,3
2013-06-23,16,33,0,5
2013-06-30,13,29,8,0
2013-07-07,16,38,0,7
2013-07-14,15,39,0,3
2013-07-21,13,38,0,5
2013-07-28,12,31,5,6
2013-08-04,6,40,0,0
2013-08-11,16,37,2,0
2013-08-18,27,33,0,0
2013-08-25,12,27,3,0
2013-09-01,14,30,4,0
2013-09-08,11,33,0,9
2013-09-15,27,32,6,5
2013-09-22,20,25,0,5
2013-09-29,18,41,0,4
2013-10-06,24,31,0,7
2013-10-13,33,27,0,3
2013-10-20,24,39,3,7
2013-10-27,27,29,0,7
2013-11-03,23,37,3,3
2013-11-10,33,38,6,2
2013-11-17,31,43,0,5
2013-11-24,30,24,6,5
2013-12-01,29,27,8,8
2013-12-08,22,37,0,0
2013-12-15,37,27,0,5
2013-12-22,35,39,0,5
2013-12-29,47,38,0,5
2014-01-05,30,37,3,9
2014-01-12,22,42,3,4
2014-01-19,28,56,4,4
2014-01-26,40,44,3,2
2014-02-02,32,48,0,5
2014-02-09,39,41,4,14
2014-02-16,41,46,6,13
2014-02-23,29,44,0,5
2014-03-02,23,47,0,5
2014-03-09,33,46,0,0
2014-03-16,27,32,3,5
2014-03-23,31,28,4,0
2014-03-30,23,55,5,6
2014-04-06,30,53,0,7
2014-04-13,19,27,0,0
2014-04-20,23,29,0,3
2014-04-27,19,32,0,2
2014-05-04,15,35,3,3
2014-05-11,23,25,9,9
2014-05-18,20,32,0,5
2014-05-25,24,29,2,8
2014-06-01,13,41,0,3
2014-06-08,22,49,0,6
2014-06-15,17,34,0,0
2014-06-22,14,27,0,10
2014-06-29,14,33,7,8
2014-07-06,16,37,4,0
2014-07-13,24,34,3,5
2014-07-20,11,29,0,3
2014-07-27,23,34,0,0
2014-08-03,20,27,0,0
2014-08-10,18,39,4,4
2014-08-17,16,25,5,5
2014-08-24,21,28,5,4
2014-08-31,22,35,0,4
2014-09-07,17,27,0,6
2014-09-14,22,30,0,0
2014-09-21,22,31,0,2
2014-09-28,18,38,3,8
2014-10-05,18,33,3,7
2014-10-12,15,46,6,5
2014-10-19,12,38,7,4
2014-10-26,21,31,3,6
2014-11-02,31,34,0,0
2014-11-09,29,42,2,4
2014-11-16,22,47,2,5
2014-11-23,27,41,0,4
2014-11-30,27,39,7,9
2014-12-07,31,44,3,9
2014-12-14,40,29,3,8
2014-12-21,34,42,0,11
2014-12-28,52,46,6,14
2015-01-04,42,49,2,10
2015-01-11,60,47,4,6
2015-01-18,46,53,4,12
2015-01-25,40,75,2,13
2015-02-01,54,75,0,6
2015-02-08,53,66,0,10
2015-02-15,37,70,3,13
2015-02-22,48,64,7,5
2015-03-01,43,45,4,9
2015-03-08,38,49,0,15
2015-03-15,27,44,3,6
2015-03-22,42,45,7,4
2015-03-29,25,49,0,9
2015-04-05,32,38,0,5
2015-04-12,37,36,7,9
2015-04-19,21,30,4,5
2015-04-26,24,35,0,8
2015-05-03,14,26,0,11
2015-05-10,15,28,0,6
2015-05-17,22,30,4,3
2015-05-24,22,33,5,7
2015-05-31,16,32,0,6
2015-06-07,23,35,0,5
2015-06-14,20,28,0,6
2015-06-21,19,46,0,3
2015-06-28,18,54,2,3
2015-07-05,19,43,3,0
2015-07-12,16,36,0,0
2015-07-19,24,37,0,0
2015-07-26,14,33,2,4
2015-08-02,16,34,0,5
2015-08-09,22,40,4,9
2015-08-16,11,33,2,7
2015-08-23,10,41,5,4
2015-08-30,22,27,3,0
2015-09-06,28,40,0,3
2015-09-13,24,34,7,8
2015-09-20,28,29,0,5
2015-09-27,27,35,0,0
2015-10-04,32,30,3,0
2015-10-11,21,36,0,11
2015-10-18,31,32,0,7
2015-10-25,27,43,0,0
2015-11-01,22,38,0,5
2015-11-08,21,34,5,8
2015-11-15,27,38,0,14
2015-11-22,28,36,0,0
2015-11-29,31,31,4,3
2015-12-06,30,48,0,7
2015-12-13,29,43,0,9
2015-12-20,33,49,0,12
2015-12-27,44,53,7,0
2016-01-03,37,42,4,6
2016-01-10,23,46,2,3
2016-01-17,40,56,0,0
2016-01-24,47,70,0,3
2016-01-31,39,60,5,7
2016-02-07,42,68,0,10
2016-02-14,39,74,4,8
2016-02-21,45,52,0,10
2016-02-28,42,66,3,5
2016-03-06,36,57,6,12
2016-03-13,44,67,0,8
2016-03-20,38,63,2,9
2016-03-27,26,76,3,10
2016-04-03,37,52,4,0
2016-04-10,44,33,0,7
2016-04-17,32,30,3,4
2016-04-24,21,42,0,5
2016-05-01,18,41,4,3
2016-05-08,22,32,0,7
2016-05-15,15,23,3,3
2016-05-22,22,36,0,3
2016-05-29,31,38,0,8
2016-06-05,24,40,0,2
2016-06-12,22,41,2,5
2016-06-19,13,43,0,6
2016-06-26,25,42,0,7
2016-07-03,23,52,0,0
2016-07-10,24,30,0,0
2016-07-17,18,37,6,0
2016-07-24,21,39,6,4
2016-07-31,13,36,12,6
2016-08-07,14,29,0,3
2016-08-14,14,46,0,6
2016-08-21,25,32,0,0
2016-08-28,20,35,0,5
2016-09-04,22,25,3,0
2016-09-11,19,40,0,7
2016-09-18,22,40,4,0
2016-09-25,34,27,4,3
2016-10-02,23,41,0,13
2016-10-09,24,46,0,5
2016-10-16,30,31,3,4
2016-10-23,39,44,0,0
2016-10-30,25,45,3,7
2016-11-06,39,46,2,0
2016-11-13,29,30,0,0
2016-11-20,33,45,4,10
2016-11-27,36,44,3,2
2016-12-04,49,44,0,7
2016-12-11,54,49,2,4
2016-12-18,59,57,0,6
2016-12-25,74,74,0,9
2017-01-01,58,63,0,15
2017-01-08,54,63,0,11
2017-01-15,37,58,4,2
2017-01-22,39,67,5,4
2017-01-29,54,69,0,6
2017-02-05,30,61,3,7
2017-02-12,42,41,3,9
2017-02-19,33,45,0,7
2017-02-26,29,43,0,4
2017-03-05,32,38,0,2
2017-03-12,28,35,2,0
2017-03-19,31,37,0,3
2017-03-26,27,43,0,0
2017-04-02,28,38,3,5
2017-04-09,19,37,5,0
2017-04-16,38,41,4,5
2017-04-23,17,35,0,4
2017-04-30,18,21,0,0
2017-05-07,17,29,0,0
2017-05-14,27,38,0,3
2017-05-21,20,42,0,0
2017-05-28,17,32,0,3
2017-06-04,19,37,0,0
2017-06-11,20,36,0,3
2017-06-18,19,36,0,0
2017-06-25,20,41,0,0
2017-07-02,17,46,0,2
2017-07-09,21,37,0,8
2017-07-16,16,39,5,6
2017-07-23,20,33,0,3
2017-07-30,19,34,3,0
2017-08-06,21,26,3,5
2017-08-13,18,44,0,0
2017-08-20,16,35,0,0
2017-08-27,23,42,0,7
2017-09-03,21,31,0,5
2017-09-10,24,46,4,7
2017-09-17,38,35,0,4
2017-09-24,30,40,0,2
2017-10-01,36,39,2,9
2017-10-08,36,32,0,0
2017-10-15,27,39,0,6
2017-10-22,31,34,0,0
2017-10-29,36,38,0,5
2017-11-05,33,34,3,5
2017-11-12,34,40,0,0
2017-11-19,37,40,0,5
2017-11-26,38,51,0,3
2017-12-03,36,59,0,0
2017-12-10,38,61,0,0
2017-12-17,42,47,0,0
2017-12-24,66,100,0,9
2017-12-31,66,65,0,4
