Kategorie: Alle Kategorien

Woche,Influenza: (Luzern),influenza: (Luzern),Grippe: (Luzern),Flu: (Luzern)
2016-12-11,52,0,42,23
2016-12-18,60,18,21,0
2016-12-25,41,0,18,0
2017-01-01,72,0,72,24
2017-01-08,83,0,39,0
2017-01-15,24,0,47,0
2017-01-22,60,18,46,0
2017-01-29,47,15,62,0
2017-02-05,53,0,43,0
2017-02-12,84,0,90,0
2017-02-19,43,0,42,0
2017-02-26,0,0,31,0
2017-03-05,51,0,39,0
2017-03-12,0,0,17,0
2017-03-19,32,0,10,0
2017-03-26,32,0,16,0
2017-04-02,29,0,38,0
2017-04-09,12,0,0,0
2017-04-16,23,0,14,0
2017-04-23,100,0,12,0
2017-04-30,12,18,0,26
2017-05-07,0,0,30,0
2017-05-14,0,0,0,41
2017-05-21,31,0,0,14
2017-05-28,14,0,0,0
2017-06-04,41,0,0,40
2017-06-11,18,0,0,59
2017-06-18,19,0,0,0
2017-06-25,0,0,0,0
2017-07-02,0,0,0,0
2017-07-09,0,0,20,0
2017-07-16,34,0,27,18
2017-07-23,32,0,0,0
2017-07-30,26,0,0,0
2017-08-06,0,0,0,91
2017-08-13,10,0,11,13
2017-08-20,15,0,0,0
2017-08-27,13,0,21,0
2017-09-03,0,0,11,0
2017-09-10,25,17,0,20
2017-09-17,24,0,0,0
2017-09-24,35,0,12,0
2017-10-01,31,0,0,10
2017-10-08,27,0,17,0
2017-10-15,21,0,21,0
2017-10-22,35,19,0,12
2017-10-29,0,24,12,0
2017-11-05,43,0,24,0
2017-11-12,39,0,35,0
2017-11-19,42,0,30,0
2017-11-26,27,18,33,0
2017-12-03,43,0,37,21
2017-12-10,27,0,24,23
2017-12-17,18,0,31,0
2017-12-24,62,0,32,0
2017-12-31,64,22,55,0
