Kategorie: Alle Kategorien

Woche,Influenza: (Luzern),influenza: (Luzern),Grippe: (Luzern),Flu: (Luzern)
2013-01-06,21,0,36,17
2013-01-13,62,0,43,16
2013-01-20,28,0,96,21
2013-01-27,65,0,66,0
2013-02-03,48,0,45,0
2013-02-10,68,23,88,19
2013-02-17,83,0,57,0
2013-02-24,30,11,45,0
2013-03-03,47,31,26,18
2013-03-10,32,18,18,28
2013-03-17,17,10,0,11
2013-03-24,0,0,0,0
2013-03-31,30,0,0,31
2013-04-07,0,0,0,0
2013-04-14,0,14,0,0
2013-04-21,15,19,27,0
2013-04-28,7,0,8,0
2013-05-05,0,9,0,0
2013-05-12,13,0,0,0
2013-05-19,0,0,0,0
2013-05-26,0,41,0,0
2013-06-02,0,0,0,0
2013-06-09,15,21,0,0
2013-06-16,0,22,21,14
2013-06-23,0,0,0,0
2013-06-30,0,0,0,0
2013-07-07,0,0,19,44
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,14,0
2013-08-11,0,25,0,0
2013-08-18,26,0,0,0
2013-08-25,0,0,0,0
2013-09-01,13,0,0,0
2013-09-08,0,0,0,0
2013-09-15,22,12,23,16
2013-09-22,0,0,34,48
2013-09-29,0,0,19,0
2013-10-06,17,12,0,0
2013-10-13,0,0,15,0
2013-10-20,25,0,0,0
2013-10-27,12,0,0,54
2013-11-03,27,0,0,0
2013-11-10,0,0,16,0
2013-11-17,0,0,11,0
2013-11-24,0,0,0,0
2013-12-01,0,0,31,18
2013-12-08,33,0,0,0
2013-12-15,16,0,0,0
2013-12-22,0,0,32,16
2013-12-29,0,0,18,0
2014-01-05,0,0,0,0
2014-01-12,21,0,33,0
2014-01-19,31,0,0,0
2014-01-26,25,0,27,0
2014-02-02,35,0,48,0
2014-02-09,69,0,65,0
2014-02-16,35,0,45,0
2014-02-23,31,0,34,13
2014-03-02,12,27,12,0
2014-03-09,21,0,16,0
2014-03-16,0,18,0,0
2014-03-23,25,0,25,0
2014-03-30,0,17,0,0
2014-04-06,0,0,45,0
2014-04-13,0,0,12,26
2014-04-20,0,0,12,0
2014-04-27,21,0,11,0
2014-05-04,0,0,0,0
2014-05-11,0,0,13,0
2014-05-18,40,0,49,0
2014-05-25,0,0,0,0
2014-06-01,0,0,20,0
2014-06-08,0,17,0,0
2014-06-15,0,0,51,0
2014-06-22,0,0,0,0
2014-06-29,22,0,0,0
2014-07-06,0,0,0,25
2014-07-13,0,0,44,0
2014-07-20,16,46,0,0
2014-07-27,0,0,0,0
2014-08-03,0,0,19,47
2014-08-10,0,0,0,0
2014-08-17,40,0,21,18
2014-08-24,23,0,0,0
2014-08-31,63,0,0,18
2014-09-07,13,0,20,0
2014-09-14,0,19,0,0
2014-09-21,14,0,0,0
2014-09-28,32,0,0,61
2014-10-05,18,19,0,18
2014-10-12,30,0,0,0
2014-10-19,16,13,17,0
2014-10-26,0,0,0,13
2014-11-02,0,0,17,0
2014-11-09,21,0,18,0
2014-11-16,0,0,0,0
2014-11-23,0,19,0,0
2014-11-30,33,0,24,0
2014-12-07,45,25,17,0
2014-12-14,0,0,33,0
2014-12-21,0,0,56,0
2014-12-28,59,0,35,0
2015-01-04,15,0,31,15
2015-01-11,30,0,30,0
2015-01-18,52,0,24,0
2015-01-25,81,10,30,0
2015-02-01,97,11,74,0
2015-02-08,89,16,55,0
2015-02-15,70,0,40,33
2015-02-22,37,0,46,0
2015-03-01,50,11,47,0
2015-03-08,37,0,39,22
2015-03-15,21,0,29,24
2015-03-22,32,17,28,0
2015-03-29,14,0,0,30
2015-04-05,21,0,58,0
2015-04-12,55,0,18,0
2015-04-19,0,0,0,0
2015-04-26,0,0,0,0
2015-05-03,0,0,0,0
2015-05-10,0,0,18,24
2015-05-17,0,0,14,0
2015-05-24,13,13,0,11
2015-05-31,32,0,0,14
2015-06-07,33,0,0,0
2015-06-14,0,0,0,18
2015-06-21,0,0,14,0
2015-06-28,55,0,0,0
2015-07-05,0,0,0,0
2015-07-12,0,0,17,0
2015-07-19,22,0,0,0
2015-07-26,0,0,0,0
2015-08-02,0,0,34,0
2015-08-09,0,26,0,0
2015-08-16,16,0,0,0
2015-08-23,21,11,17,0
2015-08-30,22,0,0,19
2015-09-06,21,0,15,0
2015-09-13,0,0,30,0
2015-09-20,0,13,19,0
2015-09-27,43,0,0,0
2015-10-04,13,0,0,0
2015-10-11,40,0,21,25
2015-10-18,36,0,0,0
2015-10-25,14,0,0,0
2015-11-01,34,0,23,0
2015-11-08,0,0,0,20
2015-11-15,14,0,20,0
2015-11-22,13,0,0,0
2015-11-29,0,0,14,13
2015-12-06,21,0,52,0
2015-12-13,0,0,23,0
2015-12-20,0,27,20,0
2015-12-27,0,0,0,0
2016-01-03,15,0,26,0
2016-01-10,20,16,10,14
2016-01-17,33,15,44,0
2016-01-24,48,0,47,20
2016-01-31,59,0,30,0
2016-02-07,59,15,57,0
2016-02-14,48,9,74,0
2016-02-21,66,0,54,0
2016-02-28,25,18,0,0
2016-03-06,40,10,44,0
2016-03-13,55,27,33,13
2016-03-20,45,0,17,23
2016-03-27,0,0,19,12
2016-04-03,31,0,23,0
2016-04-10,16,22,0,24
2016-04-17,0,0,0,0
2016-04-24,0,0,0,0
2016-05-01,16,0,0,0
2016-05-08,13,11,14,0
2016-05-15,11,27,0,0
2016-05-22,0,0,0,0
2016-05-29,0,0,23,20
2016-06-05,0,0,18,0
2016-06-12,0,0,0,0
2016-06-19,39,0,21,0
2016-06-26,0,0,0,0
2016-07-03,0,0,15,0
2016-07-10,11,0,0,12
2016-07-17,0,14,0,0
2016-07-24,0,0,0,41
2016-07-31,0,0,0,0
2016-08-07,0,0,20,0
2016-08-14,0,0,29,0
2016-08-21,0,0,0,0
2016-08-28,16,0,0,0
2016-09-04,0,0,0,12
2016-09-11,14,29,12,11
2016-09-18,0,0,24,0
2016-09-25,32,0,0,0
2016-10-02,0,0,12,29
2016-10-09,0,0,24,36
2016-10-16,21,0,0,0
2016-10-23,0,0,15,0
2016-10-30,22,0,25,0
2016-11-06,19,0,21,0
2016-11-13,54,0,11,0
2016-11-20,15,0,12,0
2016-11-27,38,0,29,10
2016-12-04,35,0,10,0
