Kategorie: Alle Kategorien

Woche,Influenza: (Luzern),influenza: (Luzern),Grippe: (Luzern),Flu: (Luzern)
2017-11-05,16,0,9,0
2017-11-12,14,0,12,0
2017-11-19,15,0,11,0
2017-11-26,10,6,12,0
2017-12-03,15,0,13,8
2017-12-10,10,0,9,8
2017-12-17,6,0,11,0
2017-12-24,22,0,12,0
2017-12-31,23,8,20,0
2018-01-07,27,0,27,0
2018-01-14,19,0,12,0
2018-01-21,22,0,12,0
2018-01-28,31,7,12,0
2018-02-04,33,0,24,0
2018-02-11,31,0,36,0
2018-02-18,32,6,23,0
2018-02-25,24,4,20,0
2018-03-04,21,0,20,4
2018-03-11,10,0,10,0
2018-03-18,22,8,15,8
2018-03-25,8,6,5,0
2018-04-01,0,0,0,4
2018-04-08,15,0,5,0
2018-04-15,11,4,0,5
2018-04-22,7,0,9,0
2018-04-29,8,0,5,19
2018-05-06,0,0,10,0
2018-05-13,0,0,0,0
2018-05-20,0,0,5,0
2018-05-27,8,0,5,0
2018-06-03,8,0,4,0
2018-06-10,3,0,0,0
2018-06-17,0,0,13,0
2018-06-24,4,0,6,0
2018-07-01,0,0,0,0
2018-07-08,0,0,0,0
2018-07-15,5,0,18,0
2018-07-22,0,8,0,8
2018-07-29,7,13,4,0
2018-08-05,4,7,17,11
2018-08-12,4,0,8,0
2018-08-19,7,4,11,0
2018-08-26,0,0,4,0
2018-09-02,7,0,16,0
2018-09-09,6,0,5,0
2018-09-16,0,0,6,0
2018-09-23,4,0,4,0
2018-09-30,11,12,10,0
2018-10-07,11,0,0,0
2018-10-14,0,0,3,0
2018-10-21,0,0,0,0
2018-10-28,0,0,14,0
2018-11-04,11,0,5,5
2018-11-11,4,6,12,0
2018-11-18,10,0,9,0
2018-11-25,6,0,9,0
2018-12-02,4,0,5,0
2018-12-09,7,0,12,0
2018-12-16,14,0,21,0
2018-12-23,8,0,6,6
2018-12-30,7,8,13,0
2019-01-06,10,13,10,0
2019-01-13,17,0,14,0
2019-01-20,20,5,10,0
2019-01-27,16,7,11,4
2019-02-03,27,0,24,0
2019-02-10,29,4,17,0
2019-02-17,19,6,13,0
2019-02-24,18,0,6,0
2019-03-03,12,0,7,0
2019-03-10,7,0,13,0
2019-03-17,15,0,14,0
2019-03-24,4,0,14,0
2019-03-31,14,0,0,0
2019-04-07,5,0,4,12
2019-04-14,0,0,4,0
2019-04-21,7,0,6,0
2019-04-28,5,0,0,0
2019-05-05,0,0,7,0
2019-05-12,8,0,0,0
2019-05-19,7,0,9,7
2019-05-26,5,0,0,0
2019-06-02,0,0,0,0
2019-06-09,0,0,0,0
2019-06-16,9,0,0,0
2019-06-23,5,0,6,10
2019-06-30,0,0,0,4
2019-07-07,8,0,0,5
2019-07-14,5,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,0
2019-08-04,0,0,7,0
2019-08-11,5,0,0,0
2019-08-18,0,0,0,0
2019-08-25,6,0,6,4
2019-09-01,0,0,0,0
2019-09-08,5,0,4,0
2019-09-15,6,0,0,0
2019-09-22,4,0,13,0
2019-09-29,11,5,5,0
2019-10-06,3,0,9,0
