Kategorie: Alle Kategorien

Woche,husten: (Basel-Stadt),Fieber: (Basel-Stadt),fièvre: (Basel-Stadt),toux: (Basel-Stadt)
2017-11-05,13,17,0,0
2017-11-12,0,14,0,0
2017-11-19,30,9,0,0
2017-11-26,14,12,9,0
2017-12-03,20,0,0,0
2017-12-10,15,26,0,0
2017-12-17,15,16,0,0
2017-12-24,47,46,0,52
2017-12-31,25,14,0,0
2018-01-07,14,24,0,0
2018-01-14,13,38,0,17
2018-01-21,32,25,0,0
2018-01-28,18,25,0,0
2018-02-04,10,19,0,14
2018-02-11,43,17,0,25
2018-02-18,18,24,0,0
2018-02-25,29,9,0,0
2018-03-04,0,15,0,0
2018-03-11,0,16,0,0
2018-03-18,0,0,0,0
2018-03-25,0,16,0,15
2018-04-01,0,30,26,0
2018-04-08,0,29,0,14
2018-04-15,14,0,0,0
2018-04-22,0,15,0,0
2018-04-29,0,11,0,0
2018-05-06,0,0,0,0
2018-05-13,0,18,0,0
2018-05-20,13,10,0,0
2018-05-27,11,0,0,0
2018-06-03,11,20,0,7
2018-06-10,41,14,0,0
2018-06-17,0,0,0,0
2018-06-24,26,11,0,0
2018-07-01,0,16,18,0
2018-07-08,13,0,0,0
2018-07-15,0,21,0,0
2018-07-22,11,0,13,10
2018-07-29,0,28,0,0
2018-08-05,0,15,0,0
2018-08-12,0,10,0,15
2018-08-19,0,11,0,0
2018-08-26,0,19,0,0
2018-09-02,0,21,0,0
2018-09-09,0,10,0,0
2018-09-16,0,0,0,8
2018-09-23,11,0,0,0
2018-09-30,0,0,0,0
2018-10-07,0,19,0,21
2018-10-14,0,16,0,30
2018-10-21,0,8,8,0
2018-10-28,12,41,0,0
2018-11-04,0,9,25,0
2018-11-11,0,8,10,11
2018-11-18,0,13,0,0
2018-11-25,10,16,0,0
2018-12-02,15,27,0,20
2018-12-09,0,0,0,0
2018-12-16,11,8,0,0
2018-12-23,0,0,0,14
2018-12-30,18,23,19,0
2019-01-06,0,19,0,12
2019-01-13,0,0,7,0
2019-01-20,0,0,0,0
2019-01-27,19,12,0,0
2019-02-03,21,12,0,0
2019-02-10,21,0,20,0
2019-02-17,0,28,0,0
2019-02-24,17,35,0,18
2019-03-03,17,30,0,0
2019-03-10,22,0,0,0
2019-03-17,16,15,0,0
2019-03-24,0,0,10,0
2019-03-31,0,12,0,0
2019-04-07,0,25,0,0
2019-04-14,11,0,15,0
2019-04-21,26,0,0,18
2019-04-28,0,8,0,0
2019-05-05,13,32,0,0
2019-05-12,16,0,14,0
2019-05-19,8,57,0,0
2019-05-26,38,23,0,0
2019-06-02,0,0,0,0
2019-06-09,0,0,45,0
2019-06-16,0,0,0,0
2019-06-23,26,41,0,0
2019-06-30,47,0,0,0
2019-07-07,0,0,0,0
2019-07-14,0,0,0,27
2019-07-21,0,59,0,0
2019-07-28,0,0,0,0
2019-08-04,0,0,0,0
2019-08-11,34,0,0,0
2019-08-18,0,0,0,0
2019-08-25,18,28,0,0
2019-09-01,0,29,0,0
2019-09-08,0,0,0,25
2019-09-15,0,14,29,19
2019-09-22,0,29,0,0
2019-09-29,28,0,0,0
2019-10-06,0,31,41,14
2019-10-13,0,13,0,0
2019-10-20,0,21,0,0
2019-10-27,0,0,0,0
