Kategorie: Alle Kategorien

Woche,husten: (Zürich),Fieber: (Zürich),fièvre: (Zürich),toux: (Zürich)
2017-11-05,19,20,1,3
2017-11-12,20,23,0,0
2017-11-19,21,23,0,3
2017-11-26,22,29,0,2
2017-12-03,21,34,0,0
2017-12-10,22,35,0,0
2017-12-17,24,27,0,0
2017-12-24,38,58,0,5
2017-12-31,39,38,0,2
2018-01-07,25,37,0,0
2018-01-14,24,37,0,0
2018-01-21,27,49,0,3
2018-01-28,29,41,0,0
2018-02-04,35,45,0,3
2018-02-11,34,38,0,4
2018-02-18,25,35,0,1
2018-02-25,24,39,2,1
2018-03-04,30,42,1,5
2018-03-11,21,36,0,2
2018-03-18,24,26,3,5
2018-03-25,25,38,0,5
2018-04-01,17,27,0,0
2018-04-08,26,29,1,0
2018-04-15,20,25,2,3
2018-04-22,17,20,0,1
2018-04-29,21,19,2,0
2018-05-06,13,22,0,4
2018-05-13,14,23,0,2
2018-05-20,18,17,1,6
2018-05-27,14,28,0,3
2018-06-03,16,30,1,2
2018-06-10,13,19,2,1
2018-06-17,8,19,2,3
2018-06-24,11,22,2,0
2018-07-01,9,23,0,2
2018-07-08,15,24,1,3
2018-07-15,19,25,2,2
2018-07-22,13,25,3,0
2018-07-29,9,19,0,0
2018-08-05,15,27,0,0
2018-08-12,7,26,0,3
2018-08-19,11,23,0,4
2018-08-26,10,22,2,0
2018-09-02,13,24,1,5
2018-09-09,19,21,0,0
2018-09-16,15,24,0,2
2018-09-23,17,23,0,0
2018-09-30,14,15,0,7
2018-10-07,11,18,3,1
2018-10-14,21,23,2,0
2018-10-21,11,16,0,3
2018-10-28,22,27,0,0
2018-11-04,19,24,0,2
2018-11-11,27,22,0,3
2018-11-18,25,18,3,1
2018-11-25,21,22,0,1
2018-12-02,27,34,0,2
2018-12-09,28,24,0,0
2018-12-16,31,28,0,0
2018-12-23,32,43,0,0
2018-12-30,38,30,0,0
2019-01-06,23,28,2,2
2019-01-13,26,37,1,2
2019-01-20,32,54,0,0
2019-01-27,26,43,0,4
2019-02-03,33,44,0,4
2019-02-10,29,46,2,0
2019-02-17,25,36,2,2
2019-02-24,27,40,0,3
2019-03-03,27,33,0,0
2019-03-10,23,32,0,5
2019-03-17,23,30,0,1
2019-03-24,22,28,3,1
2019-03-31,25,33,2,6
2019-04-07,25,24,0,0
2019-04-14,20,33,0,4
2019-04-21,22,26,0,0
2019-04-28,17,24,0,2
2019-05-05,15,26,0,0
2019-05-12,16,20,0,3
2019-05-19,16,16,6,2
2019-05-26,12,16,3,2
2019-06-02,21,21,4,0
2019-06-09,13,24,0,0
2019-06-16,12,22,0,0
2019-06-23,14,28,2,0
2019-06-30,12,33,0,3
2019-07-07,17,27,0,0
2019-07-14,13,32,0,0
2019-07-21,10,25,0,0
2019-07-28,11,21,0,0
2019-08-04,17,24,0,1
2019-08-11,11,21,0,0
2019-08-18,11,25,0,1
2019-08-25,10,17,0,5
2019-09-01,16,21,1,0
2019-09-08,12,15,0,0
2019-09-15,14,28,0,1
2019-09-22,19,21,0,2
2019-09-29,12,23,0,2
2019-10-06,21,23,2,1
2019-10-13,18,21,0,4
2019-10-20,18,24,0,0
2019-10-27,20,23,0,0
2019-11-03,25,29,0,0
2019-11-10,22,27,0,0
2019-11-17,27,24,1,0
2019-11-24,24,27,0,2
2019-12-01,20,25,1,0
2019-12-08,23,29,0,5
2019-12-15,25,38,0,3
2019-12-22,28,25,0,2
2019-12-29,37,25,0,2
2020-01-05,20,27,0,0
2020-01-12,27,38,2,3
2020-01-19,27,42,0,0
2020-01-26,30,67,0,0
2020-02-02,38,55,0,3
2020-02-09,38,54,0,7
2020-02-16,23,46,1,7
2020-02-23,35,59,1,4
2020-03-01,39,78,0,5
2020-03-08,62,91,0,4
2020-03-15,57,100,5,8
2020-03-22,42,63,0,0
2020-03-29,24,37,1,1
2020-04-05,23,25,0,4
2020-04-12,15,24,0,1
2020-04-19,12,22,3,0
2020-04-26,12,23,2,0
2020-05-03,13,24,0,0
2020-05-10,5,22,0,2
2020-05-17,9,13,0,2
2020-05-24,9,11,0,0
2020-05-31,11,18,0,0
2020-06-07,9,26,0,0
2020-06-14,12,22,0,0
2020-06-21,16,24,1,0
2020-06-28,16,30,2,0
2020-07-05,20,25,0,0
2020-07-12,19,21,0,0
2020-07-19,10,25,0,0
2020-07-26,11,25,0,0
2020-08-02,10,18,1,2
2020-08-09,11,25,0,0
2020-08-16,12,25,2,2
2020-08-23,6,41,0,0
2020-08-30,15,26,0,0
2020-09-06,16,36,0,0
2020-09-13,13,28,0,2
2020-09-20,12,26,0,0
2020-09-27,12,30,0,0
2020-10-04,19,39,0,0
2020-10-11,15,42,3,0
2020-10-18,18,42,0,0
2020-10-25,19,43,0,0
2020-11-01,16,35,0,3
2020-11-08,28,30,0,2
2020-11-15,25,30,0,2
2020-11-22,20,35,0,0
2020-11-29,13,30,1,0
2020-12-06,19,39,1,0
2020-12-13,24,34,0,0
2020-12-20,14,29,2,0
2020-12-27,15,32,0,3
2021-01-03,17,23,0,0
2021-01-10,11,27,0,0
2021-01-17,19,17,0,3
2021-01-24,14,24,0,2
2021-01-31,13,28,5,3
2021-02-07,13,22,0,0
2021-02-14,6,26,0,1
2021-02-21,10,21,0,0
2021-02-28,17,24,0,0
2021-03-07,14,22,0,2
2021-03-14,12,26,0,2
2021-03-21,15,28,0,0
2021-03-28,17,37,0,0
2021-04-04,15,34,0,0
2021-04-11,15,33,0,0
2021-04-18,19,30,0,2
2021-04-25,17,30,0,0
2021-05-02,17,27,0,0
2021-05-09,12,29,1,0
2021-05-16,14,26,0,0
2021-05-23,13,28,1,0
2021-05-30,14,35,0,3
2021-06-06,12,35,0,0
2021-06-13,14,33,0,2
2021-06-20,14,40,0,0
2021-06-27,22,33,0,0
2021-07-04,15,42,0,0
2021-07-11,21,39,0,3
2021-07-18,16,38,0,3
2021-07-25,13,30,0,0
2021-08-01,10,33,0,4
2021-08-08,17,29,0,0
2021-08-15,18,39,0,2
2021-08-22,15,28,0,0
2021-08-29,20,29,0,2
2021-09-05,24,31,0,0
2021-09-12,25,27,0,4
2021-09-19,28,28,0,2
2021-09-26,26,30,0,3
2021-10-03,29,32,2,3
2021-10-10,23,32,0,2
2021-10-17,25,25,1,3
2021-10-24,18,26,0,5
2021-10-31,29,31,0,3
2021-11-07,33,31,2,2
2021-11-14,34,37,4,0
2021-11-21,31,41,0,1
2021-11-28,36,34,0,3
2021-12-05,34,43,0,3
2021-12-12,36,43,0,3
2021-12-19,26,45,0,5
2021-12-26,32,37,0,4
2022-01-02,23,52,3,0
2022-01-09,25,53,0,4
2022-01-16,34,53,0,2
2022-01-23,20,50,0,2
2022-01-30,22,55,0,0
2022-02-06,19,34,0,6
2022-02-13,29,36,0,0
2022-02-20,30,35,0,0
2022-02-27,27,44,0,0
2022-03-06,33,62,2,0
2022-03-13,33,66,0,0
2022-03-20,29,57,0,0
2022-03-27,28,43,1,3
2022-04-03,32,52,0,0
2022-04-10,34,45,2,3
2022-04-17,37,41,2,0
2022-04-24,21,27,0,1
2022-05-01,15,35,0,0
2022-05-08,26,36,0,3
2022-05-15,23,28,0,4
2022-05-22,20,35,0,9
2022-05-29,21,32,0,0
2022-06-05,18,37,5,0
2022-06-12,25,33,0,0
2022-06-19,21,35,0,0
2022-06-26,25,42,0,0
2022-07-03,21,45,0,0
2022-07-10,30,46,0,0
2022-07-17,27,50,0,2
2022-07-24,25,39,0,4
2022-07-31,18,33,6,0
2022-08-07,13,35,0,0
2022-08-14,14,31,5,2
2022-08-21,17,30,0,4
2022-08-28,16,36,0,2
2022-09-04,13,35,0,0
2022-09-11,22,30,0,0
2022-09-18,24,34,4,2
2022-09-25,28,37,0,2
2022-10-02,37,39,0,3
2022-10-09,33,32,0,2
2022-10-16,28,30,6,3
2022-10-23,27,33,0,2
2022-10-30,33,34,0,4
2022-11-06,38,39,0,0
2022-11-13,37,29,0,4
2022-11-20,36,33,4,0
2022-11-27,41,47,0,0
2022-12-04,51,54,5,0
2022-12-11,61,76,0,2
2022-12-18,75,78,0,2
2022-12-25,67,85,0,4
