Kategorie: Alle Kategorien

Woche,Influenza: (Zug),influenza: (Zug),Grippe: (Zug),Flu: (Zug)
2013-01-06,0,0,0,0
2013-01-13,0,0,0,0
2013-01-20,32,0,0,26
2013-01-27,0,0,0,66
2013-02-03,93,0,0,0
2013-02-10,59,0,0,0
2013-02-17,35,0,67,0
2013-02-24,0,0,0,0
2013-03-03,56,0,0,0
2013-03-10,19,73,22,0
2013-03-17,28,0,0,0
2013-03-24,26,0,28,0
2013-03-31,0,0,0,40
2013-04-07,0,0,24,0
2013-04-14,0,0,0,0
2013-04-21,0,0,0,33
2013-04-28,0,0,0,0
2013-05-05,0,0,0,0
2013-05-12,38,0,52,0
2013-05-19,0,0,0,0
2013-05-26,0,0,0,0
2013-06-02,0,0,18,0
2013-06-09,0,21,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,0,0
2013-06-30,0,0,0,0
2013-07-07,49,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,0,0
2013-08-11,0,0,0,0
2013-08-18,29,31,0,19
2013-08-25,0,0,32,0
2013-09-01,0,0,0,0
2013-09-08,0,0,0,0
2013-09-15,0,0,0,0
2013-09-22,47,0,0,0
2013-09-29,0,55,0,0
2013-10-06,55,24,33,0
2013-10-13,0,0,0,0
2013-10-20,0,25,19,0
2013-10-27,0,0,40,0
2013-11-03,25,0,0,0
2013-11-10,0,0,0,0
2013-11-17,60,0,0,0
2013-11-24,0,0,0,0
2013-12-01,0,0,0,0
2013-12-08,0,19,0,0
2013-12-15,18,0,0,0
2013-12-22,0,37,0,0
2013-12-29,94,0,0,0
2014-01-05,0,0,0,0
2014-01-12,22,0,0,0
2014-01-19,0,0,23,0
2014-01-26,0,0,36,0
2014-02-02,0,0,20,0
2014-02-09,0,0,51,0
2014-02-16,24,23,21,34
2014-02-23,0,0,52,0
2014-03-02,0,0,0,17
2014-03-09,22,18,0,0
2014-03-16,0,0,35,30
2014-03-23,21,0,0,0
2014-03-30,45,0,24,0
2014-04-06,98,0,0,0
2014-04-13,0,0,89,0
2014-04-20,42,0,0,0
2014-04-27,24,0,28,0
2014-05-04,0,0,0,0
2014-05-11,0,0,0,31
2014-05-18,0,0,0,0
2014-05-25,0,0,0,0
2014-06-01,0,0,0,21
2014-06-08,0,0,27,0
2014-06-15,0,0,0,0
2014-06-22,0,19,0,0
2014-06-29,0,0,32,0
2014-07-06,0,0,0,0
2014-07-13,0,0,0,0
2014-07-20,0,21,0,0
2014-07-27,0,0,0,0
2014-08-03,0,0,0,0
2014-08-10,21,0,0,0
2014-08-17,0,20,0,0
2014-08-24,0,21,0,0
2014-08-31,0,0,0,0
2014-09-07,0,0,0,29
2014-09-14,0,22,0,0
2014-09-21,0,0,33,0
2014-09-28,31,0,0,0
2014-10-05,0,0,0,21
2014-10-12,0,0,0,0
2014-10-19,0,0,0,0
2014-10-26,0,0,0,0
2014-11-02,50,0,0,0
2014-11-09,21,0,0,69
2014-11-16,23,18,0,0
2014-11-23,25,0,0,51
2014-11-30,0,0,0,0
2014-12-07,37,22,0,0
2014-12-14,0,0,0,0
2014-12-21,0,0,0,0
2014-12-28,0,0,0,93
2015-01-04,17,0,17,0
2015-01-11,0,0,0,0
2015-01-18,0,0,0,0
2015-01-25,32,0,0,16
2015-02-01,0,0,34,0
2015-02-08,31,34,32,30
2015-02-15,0,0,0,0
2015-02-22,21,28,0,0
2015-03-01,16,0,0,0
2015-03-08,16,0,37,27
2015-03-15,23,18,17,0
2015-03-22,0,0,0,0
2015-03-29,0,24,0,0
2015-04-05,0,0,80,0
2015-04-12,0,0,0,0
2015-04-19,26,0,50,21
2015-04-26,0,16,24,0
2015-05-03,0,0,0,24
2015-05-10,0,0,0,0
2015-05-17,0,0,23,0
2015-05-24,0,0,0,0
2015-05-31,0,0,0,0
2015-06-07,0,0,24,0
2015-06-14,0,18,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,0,54
2015-07-05,35,72,21,0
2015-07-12,0,0,0,0
2015-07-19,0,0,0,0
2015-07-26,0,0,0,45
2015-08-02,0,0,46,0
2015-08-09,0,19,0,0
2015-08-16,0,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,0,0,0
2015-09-06,0,0,0,0
2015-09-13,0,0,45,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,21
2015-10-04,0,0,0,23
2015-10-11,0,30,0,0
2015-10-18,25,0,0,0
2015-10-25,0,0,31,0
2015-11-01,28,0,0,19
2015-11-08,0,0,28,17
2015-11-15,0,16,0,0
2015-11-22,20,0,0,30
2015-11-29,0,0,56,0
2015-12-06,0,0,49,0
2015-12-13,21,0,0,0
2015-12-20,0,0,0,0
2015-12-27,0,0,0,31
2016-01-03,0,0,28,17
2016-01-10,20,0,34,0
2016-01-17,25,68,25,0
2016-01-24,35,0,48,0
2016-01-31,0,0,41,0
2016-02-07,85,0,26,0
2016-02-14,55,23,32,0
2016-02-21,43,0,21,0
2016-02-28,0,0,0,0
2016-03-06,25,65,0,0
2016-03-13,31,0,31,0
2016-03-20,17,35,18,0
2016-03-27,31,0,0,0
2016-04-03,68,0,30,0
2016-04-10,0,0,0,0
2016-04-17,25,33,44,34
2016-04-24,0,0,20,23
2016-05-01,0,0,26,46
2016-05-08,0,0,0,29
2016-05-15,0,0,0,0
2016-05-22,0,0,0,40
2016-05-29,0,0,24,0
2016-06-05,45,0,0,0
2016-06-12,29,0,23,0
2016-06-19,0,0,28,0
2016-06-26,22,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,37
2016-07-31,0,42,0,0
2016-08-07,0,0,48,20
2016-08-14,0,39,0,0
2016-08-21,0,0,0,0
2016-08-28,0,0,38,0
2016-09-04,0,43,0,0
2016-09-11,47,0,0,0
2016-09-18,0,0,60,0
2016-09-25,0,0,64,0
2016-10-02,0,0,0,0
2016-10-09,0,0,23,100
2016-10-16,0,0,0,0
2016-10-23,0,0,21,0
2016-10-30,22,0,30,27
2016-11-06,49,0,0,0
2016-11-13,19,29,35,0
2016-11-20,28,0,0,0
2016-11-27,0,0,0,31
2016-12-04,26,0,0,0
2016-12-11,0,0,0,0
2016-12-18,88,52,42,0
2016-12-25,23,0,0,0
2017-01-01,0,59,19,21
2017-01-08,31,0,32,0
2017-01-15,0,20,68,0
2017-01-22,48,0,29,24
2017-01-29,25,0,0,0
2017-02-05,0,0,23,0
2017-02-12,27,0,0,0
2017-02-19,0,0,68,19
2017-02-26,0,0,0,0
2017-03-05,54,0,23,0
2017-03-12,22,0,23,24
2017-03-19,37,0,23,0
2017-03-26,0,0,0,15
2017-04-02,0,16,0,0
2017-04-09,0,0,0,0
2017-04-16,0,25,0,0
2017-04-23,42,28,0,0
2017-04-30,16,0,0,0
2017-05-07,0,0,0,0
2017-05-14,0,0,22,0
2017-05-21,0,47,0,0
2017-05-28,0,0,0,0
2017-06-04,0,0,0,0
2017-06-11,0,0,0,0
2017-06-18,0,0,0,0
2017-06-25,0,0,0,28
2017-07-02,0,0,39,0
2017-07-09,0,0,28,19
2017-07-16,0,0,0,0
2017-07-23,0,0,0,0
2017-07-30,0,0,0,0
2017-08-06,0,0,0,0
2017-08-13,0,0,0,40
2017-08-20,0,16,0,16
2017-08-27,0,0,0,27
2017-09-03,0,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,27,56,0,15
2017-10-01,0,0,0,0
2017-10-08,23,0,0,0
2017-10-15,0,0,0,0
2017-10-22,16,34,0,71
2017-10-29,26,0,0,0
2017-11-05,25,30,0,0
2017-11-12,25,28,28,0
2017-11-19,0,16,0,0
2017-11-26,17,0,0,16
2017-12-03,41,21,14,0
2017-12-10,92,0,17,25
2017-12-17,17,0,0,0
2017-12-24,93,44,27,25
2017-12-31,40,0,22,21
