Kategorie: Alle Kategorien

Woche,husten: (Neuenburg),Fieber: (Neuenburg),fièvre: (Neuenburg),toux: (Neuenburg)
2017-11-05,0,0,0,0
2017-11-12,0,0,13,43
2017-11-19,58,0,0,0
2017-11-26,0,0,0,0
2017-12-03,13,0,0,0
2017-12-10,19,0,13,15
2017-12-17,13,0,0,16
2017-12-24,0,0,13,15
2017-12-31,0,0,0,26
2018-01-07,0,0,24,0
2018-01-14,0,0,0,0
2018-01-21,0,0,0,0
2018-01-28,0,0,0,0
2018-02-04,0,0,0,17
2018-02-11,0,10,0,0
2018-02-18,60,0,0,0
2018-02-25,0,0,0,0
2018-03-04,0,0,0,22
2018-03-11,0,0,24,0
2018-03-18,0,0,0,35
2018-03-25,0,0,0,27
2018-04-01,16,11,0,0
2018-04-08,0,0,38,20
2018-04-15,0,0,0,0
2018-04-22,0,0,0,19
2018-04-29,0,10,0,0
2018-05-06,0,0,25,0
2018-05-13,0,0,0,0
2018-05-20,0,0,0,14
2018-05-27,0,0,27,0
2018-06-03,16,0,0,15
2018-06-10,0,0,28,11
2018-06-17,15,0,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,14
2018-07-08,0,14,0,20
2018-07-15,0,42,24,0
2018-07-22,0,32,0,0
2018-07-29,0,0,0,0
2018-08-05,0,21,0,0
2018-08-12,0,0,0,0
2018-08-19,0,0,0,16
2018-08-26,0,0,0,0
2018-09-02,26,0,12,17
2018-09-09,0,0,0,26
2018-09-16,22,0,13,0
2018-09-23,0,0,17,0
2018-09-30,0,0,0,26
2018-10-07,0,0,0,0
2018-10-14,0,0,0,0
2018-10-21,0,0,11,15
2018-10-28,0,32,27,0
2018-11-04,0,0,11,0
2018-11-11,0,11,0,25
2018-11-18,0,0,0,20
2018-11-25,0,0,0,26
2018-12-02,0,0,10,19
2018-12-09,0,0,51,0
2018-12-16,12,0,0,11
2018-12-23,0,0,0,15
2018-12-30,0,35,17,0
2019-01-06,16,0,13,26
2019-01-13,0,0,0,13
2019-01-20,0,0,0,22
2019-01-27,0,0,0,20
2019-02-03,24,0,0,0
2019-02-10,0,0,10,0
2019-02-17,0,0,15,20
2019-02-24,0,0,0,29
2019-03-03,0,0,0,0
2019-03-10,0,0,15,33
2019-03-17,0,0,0,12
2019-03-24,0,0,0,23
2019-03-31,0,0,11,10
2019-04-07,0,33,0,20
2019-04-14,0,0,0,0
2019-04-21,0,0,0,35
2019-04-28,0,0,0,0
2019-05-05,0,0,18,0
2019-05-12,15,0,0,21
2019-05-19,0,36,31,20
2019-05-26,0,0,0,0
2019-06-02,0,0,0,0
2019-06-09,0,0,40,0
2019-06-16,0,25,0,0
2019-06-23,0,0,0,14
2019-06-30,0,0,0,0
2019-07-07,0,0,31,0
2019-07-14,0,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,0
2019-08-04,0,0,0,0
2019-08-11,0,0,0,0
2019-08-18,0,0,0,0
2019-08-25,0,0,0,16
2019-09-01,0,0,18,0
2019-09-08,0,0,0,19
2019-09-15,0,0,0,19
2019-09-22,17,0,0,38
2019-09-29,0,0,0,0
2019-10-06,25,0,0,0
2019-10-13,0,0,0,14
2019-10-20,0,0,26,0
2019-10-27,0,0,0,0
2019-11-03,0,42,0,0
2019-11-10,0,0,14,10
2019-11-17,0,10,0,18
2019-11-24,0,0,9,12
2019-12-01,0,0,12,0
2019-12-08,13,12,13,18
2019-12-15,0,0,0,22
2019-12-22,0,0,15,0
2019-12-29,14,0,66,0
2020-01-05,0,0,11,0
2020-01-12,0,0,0,14
2020-01-19,0,0,0,11
2020-01-26,0,0,0,33
2020-02-02,0,0,13,54
2020-02-09,0,0,0,35
