Kategorie: Alle Kategorien

Woche,Influenza: (Appenzell Ausserrhoden),influenza: (Appenzell Ausserrhoden),Grippe: (Appenzell Ausserrhoden),Flu: (Appenzell Ausserrhoden)
2021-10-17,0,0,0,0
2021-10-24,29,0,0,0
2021-10-31,0,23,0,0
2021-11-07,65,40,0,0
2021-11-14,0,25,0,0
2021-11-21,43,0,43,0
2021-11-28,0,0,24,0
2021-12-05,33,0,0,0
2021-12-12,0,0,0,0
2021-12-19,0,0,28,0
2021-12-26,0,0,0,0
2022-01-02,0,0,26,0
2022-01-09,20,0,46,0
2022-01-16,0,0,0,0
2022-01-23,24,0,0,0
2022-01-30,0,21,0,0
2022-02-06,0,0,40,0
2022-02-13,13,0,26,0
2022-02-20,0,0,0,0
2022-02-27,0,0,0,0
2022-03-06,0,0,0,0
2022-03-13,0,0,0,0
2022-03-20,0,29,0,0
2022-03-27,16,0,19,0
2022-04-03,0,0,0,0
2022-04-10,0,0,0,0
2022-04-17,43,0,0,0
2022-04-24,0,0,0,0
2022-05-01,0,16,15,0
2022-05-08,0,30,0,0
2022-05-15,48,0,16,0
2022-05-22,0,0,36,0
2022-05-29,0,0,19,0
2022-06-05,15,0,0,0
2022-06-12,26,74,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,0
2022-08-14,0,0,36,0
2022-08-21,25,28,0,0
2022-08-28,0,15,0,0
2022-09-04,0,0,0,0
2022-09-11,0,19,32,0
2022-09-18,18,0,35,0
2022-09-25,17,0,19,0
2022-10-02,26,0,0,0
2022-10-09,22,0,0,0
2022-10-16,0,0,70,0
2022-10-23,22,0,15,0
2022-10-30,0,26,0,0
2022-11-06,0,0,0,0
2022-11-13,19,0,0,0
2022-11-20,32,0,22,0
2022-11-27,24,0,0,0
2022-12-04,0,0,0,0
2022-12-11,24,31,49,0
2022-12-18,19,0,0,0
2022-12-25,31,0,50,0
