Kategorie: Alle Kategorien

Woche,Influenza: (Thurgau),influenza: (Thurgau),Grippe: (Thurgau),Flu: (Thurgau)
2013-01-06,0,0,0,0
2013-01-13,0,0,0,0
2013-01-20,0,0,24,0
2013-01-27,0,21,27,25
2013-02-03,72,0,0,0
2013-02-10,23,52,36,0
2013-02-17,0,0,64,0
2013-02-24,0,0,0,46
2013-03-03,15,0,12,0
2013-03-10,21,0,21,7
2013-03-17,0,0,0,38
2013-03-24,0,27,0,0
2013-03-31,8,0,0,0
2013-04-07,27,0,18,0
2013-04-14,0,0,15,16
2013-04-21,0,0,0,0
2013-04-28,0,0,37,0
2013-05-05,0,0,0,0
2013-05-12,29,0,0,19
2013-05-19,0,0,0,37
2013-05-26,36,0,0,35
2013-06-02,0,0,0,0
2013-06-09,50,38,0,29
2013-06-16,0,25,0,0
2013-06-23,0,0,0,42
2013-06-30,0,0,0,0
2013-07-07,0,0,62,0
2013-07-14,0,35,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,0,0,0,25
2013-08-11,0,0,0,0
2013-08-18,0,20,0,0
2013-08-25,0,0,0,0
2013-09-01,0,0,0,34
2013-09-08,0,0,32,33
2013-09-15,0,0,0,0
2013-09-22,35,0,0,17
2013-09-29,0,34,0,21
2013-10-06,0,20,42,0
2013-10-13,0,0,0,0
2013-10-20,0,0,0,17
2013-10-27,0,0,0,0
2013-11-03,0,0,0,0
2013-11-10,0,0,0,21
2013-11-17,0,0,0,0
2013-11-24,0,0,56,0
2013-12-01,41,0,0,0
2013-12-08,0,0,0,0
2013-12-15,0,0,0,0
2013-12-22,20,0,0,0
2013-12-29,40,0,0,0
2014-01-05,20,0,32,0
2014-01-12,0,0,0,0
2014-01-19,36,23,27,0
2014-01-26,0,19,0,0
2014-02-02,0,0,25,0
2014-02-09,18,0,0,0
2014-02-16,21,0,0,0
2014-02-23,19,0,17,27
2014-03-02,16,0,17,0
2014-03-09,0,0,38,0
2014-03-16,0,15,38,0
2014-03-23,0,0,0,0
2014-03-30,0,0,0,0
2014-04-06,0,0,20,0
2014-04-13,43,0,0,0
2014-04-20,0,0,0,0
2014-04-27,0,0,0,0
2014-05-04,0,0,18,0
2014-05-11,0,0,55,0
2014-05-18,0,0,0,22
2014-05-25,0,0,28,0
2014-06-01,55,0,0,0
2014-06-08,0,0,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,24,0
2014-07-06,0,0,0,0
2014-07-13,0,0,0,0
2014-07-20,0,36,27,0
2014-07-27,0,0,27,0
2014-08-03,0,0,0,23
2014-08-10,0,0,0,0
2014-08-17,22,0,0,0
2014-08-24,0,0,0,16
2014-08-31,0,0,0,0
2014-09-07,0,0,0,0
2014-09-14,0,0,0,22
2014-09-21,0,54,0,0
2014-09-28,0,0,61,0
2014-10-05,0,0,0,0
2014-10-12,0,0,0,51
2014-10-19,0,0,0,0
2014-10-26,0,0,27,0
2014-11-02,0,0,0,0
2014-11-09,0,0,0,0
2014-11-16,0,0,0,0
2014-11-23,22,41,18,0
2014-11-30,18,0,0,0
2014-12-07,0,0,17,0
2014-12-14,0,0,0,0
2014-12-21,0,0,0,0
2014-12-28,0,0,0,0
2015-01-04,19,0,0,0
2015-01-11,0,0,0,0
2015-01-18,20,0,34,0
2015-01-25,52,0,20,0
2015-02-01,31,37,31,0
2015-02-08,0,0,52,0
2015-02-15,28,0,67,0
2015-02-22,58,34,22,27
2015-03-01,32,0,37,0
2015-03-08,59,22,30,0
2015-03-15,0,0,0,22
2015-03-22,36,0,35,0
2015-03-29,0,0,0,0
2015-04-05,0,35,0,0
2015-04-12,0,0,23,0
2015-04-19,17,0,0,0
2015-04-26,0,0,0,0
2015-05-03,0,0,35,38
2015-05-10,0,0,43,0
2015-05-17,26,28,0,0
2015-05-24,0,0,0,0
2015-05-31,18,0,0,0
2015-06-07,30,0,0,0
2015-06-14,39,0,25,20
2015-06-21,42,16,0,0
2015-06-28,22,0,0,0
2015-07-05,0,55,0,0
2015-07-12,0,0,0,0
2015-07-19,0,0,0,0
2015-07-26,0,0,0,0
2015-08-02,28,0,31,0
2015-08-09,0,0,0,37
2015-08-16,0,22,27,0
2015-08-23,0,0,58,0
2015-08-30,20,0,0,0
2015-09-06,19,0,100,0
2015-09-13,0,0,0,22
2015-09-20,0,17,0,0
2015-09-27,23,0,0,0
2015-10-04,27,0,33,0
2015-10-11,26,0,0,0
2015-10-18,15,0,0,0
2015-10-25,25,0,0,0
2015-11-01,0,0,0,0
2015-11-08,78,0,0,0
2015-11-15,99,0,45,0
2015-11-22,0,0,0,18
2015-11-29,24,0,0,0
2015-12-06,0,0,0,0
2015-12-13,28,0,0,27
2015-12-20,0,0,0,0
2015-12-27,0,0,0,78
2016-01-03,0,0,0,0
2016-01-10,0,0,0,0
2016-01-17,29,0,0,0
2016-01-24,13,0,0,0
2016-01-31,32,16,0,0
2016-02-07,0,17,0,0
2016-02-14,30,0,0,0
2016-02-21,36,0,0,0
2016-02-28,0,0,0,22
2016-03-06,0,0,27,24
2016-03-13,23,0,58,22
2016-03-20,28,61,0,0
2016-03-27,0,42,0,0
2016-04-03,0,0,16,0
2016-04-10,0,0,23,13
2016-04-17,20,0,0,0
2016-04-24,0,13,0,0
2016-05-01,0,21,0,0
2016-05-08,0,17,0,28
2016-05-15,29,0,36,30
2016-05-22,0,0,20,0
2016-05-29,16,15,46,0
2016-06-05,0,0,0,50
2016-06-12,0,0,0,0
2016-06-19,0,0,0,15
2016-06-26,0,0,19,0
2016-07-03,0,0,24,26
2016-07-10,21,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,0,0,23,0
2016-08-07,0,0,14,0
2016-08-14,0,0,0,0
2016-08-21,0,0,26,16
2016-08-28,0,0,30,0
2016-09-04,21,0,0,0
2016-09-11,0,0,0,16
2016-09-18,0,0,0,0
2016-09-25,0,0,0,0
2016-10-02,0,40,0,0
2016-10-09,0,0,0,0
2016-10-16,27,19,0,0
2016-10-23,0,0,0,0
2016-10-30,0,0,23,24
2016-11-06,0,0,0,0
2016-11-13,35,13,28,0
2016-11-20,0,0,0,0
2016-11-27,13,0,45,0
2016-12-04,35,0,56,0
2016-12-11,0,39,31,33
2016-12-18,44,15,17,31
2016-12-25,92,0,69,31
2017-01-01,26,0,36,0
2017-01-08,16,0,0,0
2017-01-15,32,0,22,30
2017-01-22,33,0,0,0
2017-01-29,13,0,0,0
2017-02-05,43,0,35,0
2017-02-12,32,0,16,0
2017-02-19,0,0,0,0
2017-02-26,14,21,0,0
2017-03-05,11,0,30,0
2017-03-12,0,38,14,18
2017-03-19,16,0,19,0
2017-03-26,0,0,0,0
2017-04-02,43,15,0,0
2017-04-09,0,15,0,17
2017-04-16,0,0,0,0
2017-04-23,0,0,19,22
2017-04-30,0,0,0,23
2017-05-07,0,0,0,0
2017-05-14,0,0,24,0
2017-05-21,33,0,0,0
2017-05-28,0,0,43,0
2017-06-04,0,0,20,22
2017-06-11,15,0,13,33
2017-06-18,0,0,0,0
2017-06-25,21,0,12,49
2017-07-02,0,13,0,0
2017-07-09,0,0,0,0
2017-07-16,0,0,0,15
2017-07-23,0,17,0,0
2017-07-30,0,25,0,27
2017-08-06,0,0,33,0
2017-08-13,0,0,0,0
2017-08-20,15,0,40,0
2017-08-27,0,0,0,0
2017-09-03,16,0,0,0
2017-09-10,27,11,0,0
2017-09-17,33,0,16,0
2017-09-24,18,0,11,0
2017-10-01,0,0,0,0
2017-10-08,28,12,69,0
2017-10-15,0,0,19,12
2017-10-22,28,0,0,0
2017-10-29,0,0,0,0
2017-11-05,30,24,0,0
2017-11-12,9,8,28,20
2017-11-19,0,0,9,0
2017-11-26,0,0,0,0
2017-12-03,30,0,16,0
2017-12-10,22,0,11,0
2017-12-17,0,0,13,0
2017-12-24,35,13,30,0
2017-12-31,43,0,37,9
