Kategorie: Alle Kategorien

Woche,husten: (Aargau),Fieber: (Aargau),fièvre: (Aargau),toux: (Aargau)
2022-11-06,60,61,0,8
2022-11-13,56,36,0,0
2022-11-20,63,59,0,0
2022-11-27,49,52,0,0
2022-12-04,84,65,0,0
2022-12-11,55,100,0,0
2022-12-18,82,99,0,0
2022-12-25,80,71,0,0
2023-01-01,56,66,0,0
2023-01-08,37,34,0,0
2023-01-15,28,54,0,0
2023-01-22,20,73,0,0
2023-01-29,54,54,0,0
2023-02-05,72,39,0,0
2023-02-12,36,46,0,0
2023-02-19,50,72,0,0
2023-02-26,39,64,0,0
2023-03-05,30,85,0,0
2023-03-12,54,48,0,0
2023-03-19,37,47,0,0
2023-03-26,29,42,0,4
2023-04-02,31,35,0,0
2023-04-09,41,40,0,0
2023-04-16,25,55,0,0
2023-04-23,16,48,0,0
2023-04-30,29,35,0,22
2023-05-07,26,33,0,0
2023-05-14,28,32,0,6
2023-05-21,31,22,0,0
2023-05-28,34,36,0,4
2023-06-04,18,24,0,0
2023-06-11,20,35,0,0
2023-06-18,20,40,0,0
2023-06-25,14,28,0,0
2023-07-02,26,43,0,4
2023-07-09,14,34,0,0
2023-07-16,24,37,0,0
2023-07-23,7,32,0,0
2023-07-30,9,32,0,0
2023-08-06,20,29,0,0
2023-08-13,24,30,0,0
2023-08-20,11,24,0,0
2023-08-27,30,38,0,0
2023-09-03,36,42,0,6
2023-09-10,31,45,0,0
2023-09-17,20,49,0,0
2023-09-24,22,39,0,5
2023-10-01,40,31,0,7
2023-10-08,19,35,0,0
2023-10-15,36,27,0,0
2023-10-22,35,28,0,0
2023-10-29,38,39,0,0
2023-11-05,34,44,0,0
2023-11-12,48,53,0,0
