Kategorie: Alle Kategorien

Woche,Flu: (Schweiz),Influenza: (Schweiz),influenza: (Schweiz),Grippe: (Schweiz)
2017-01-01,8,95,10,76
2017-01-08,5,87,6,67
2017-01-15,5,69,7,54
2017-01-22,4,60,7,45
2017-01-29,6,63,6,49
2017-02-05,4,53,5,43
2017-02-12,2,44,5,29
2017-02-19,5,35,4,24
2017-02-26,2,27,5,18
2017-03-05,3,28,3,18
2017-03-12,2,25,4,16
2017-03-19,3,23,2,16
2017-03-26,0,21,3,15
2017-04-02,3,18,1,13
2017-04-09,4,17,0,10
2017-04-16,3,20,3,12
2017-04-23,3,17,4,11
2017-04-30,2,15,2,7
2017-05-07,4,16,2,12
2017-05-14,3,18,3,10
2017-05-21,3,12,2,6
2017-05-28,3,13,1,5
2017-06-04,4,12,1,7
2017-06-11,1,11,2,8
2017-06-18,4,15,2,8
2017-06-25,3,15,3,9
2017-07-02,2,16,3,9
2017-07-09,4,12,2,7
2017-07-16,2,13,2,10
2017-07-23,1,14,1,11
2017-07-30,2,15,2,10
2017-08-06,2,14,2,6
2017-08-13,2,13,2,9
2017-08-20,2,16,2,9
2017-08-27,2,15,2,8
2017-09-03,2,17,2,12
2017-09-10,2,19,2,12
2017-09-17,2,23,2,16
2017-09-24,5,28,3,19
2017-10-01,4,27,4,18
2017-10-08,2,28,4,16
2017-10-15,4,29,4,18
2017-10-22,4,28,4,16
2017-10-29,4,30,3,20
2017-11-05,4,38,5,27
2017-11-12,2,35,4,26
2017-11-19,3,37,3,26
2017-11-26,5,37,3,26
2017-12-03,3,36,3,26
2017-12-10,4,42,6,32
2017-12-17,6,53,5,39
2017-12-24,5,88,12,67
2017-12-31,6,94,15,67
