Kategorie: Alle Kategorien

Woche,husten: (Thurgau),toux: (Thurgau),fièvre: (Thurgau),Fieber: (Thurgau)
2021-11-07,16,13,0,64
2021-11-14,40,18,0,54
2021-11-21,37,0,0,38
2021-11-28,48,0,0,48
2021-12-05,60,18,0,0
2021-12-12,21,10,0,33
2021-12-19,63,0,0,58
2021-12-26,0,0,0,51
2022-01-02,31,0,0,18
2022-01-09,27,0,0,48
2022-01-16,43,0,0,31
2022-01-23,37,0,0,59
2022-01-30,14,13,0,51
2022-02-06,18,0,0,58
2022-02-13,25,0,0,100
2022-02-20,33,11,0,40
2022-02-27,22,11,0,37
2022-03-06,22,0,0,47
2022-03-13,17,0,0,44
2022-03-20,29,0,0,23
2022-03-27,20,0,0,38
2022-04-03,14,16,0,24
2022-04-10,16,0,0,37
2022-04-17,10,0,0,19
2022-04-24,16,0,0,14
2022-05-01,20,0,0,8
2022-05-08,24,10,0,16
2022-05-15,18,0,0,14
2022-05-22,0,18,0,22
2022-05-29,34,0,0,29
2022-06-05,21,0,0,41
2022-06-12,41,0,0,48
2022-06-19,13,0,0,35
2022-06-26,23,0,0,35
2022-07-03,12,0,0,23
2022-07-10,51,0,0,28
2022-07-17,22,0,0,43
2022-07-24,13,14,0,12
2022-07-31,0,19,0,47
2022-08-07,30,0,0,25
2022-08-14,27,0,0,15
2022-08-21,0,0,0,31
2022-08-28,0,0,0,32
2022-09-04,27,0,0,0
2022-09-11,21,0,0,28
2022-09-18,36,0,0,12
2022-09-25,17,0,0,12
2022-10-02,29,0,0,38
2022-10-09,30,0,0,11
2022-10-16,23,0,0,34
2022-10-23,30,34,0,11
2022-10-30,22,0,0,21
2022-11-06,46,0,0,41
2022-11-13,40,0,0,53
2022-11-20,38,0,0,28
2022-11-27,41,0,0,35
2022-12-04,35,0,0,46
2022-12-11,51,0,0,45
2022-12-18,47,0,0,46
2022-12-25,46,0,0,47
