Kategorie: Alle Kategorien

Woche,husten: (Sankt Gallen),Fieber: (Sankt Gallen),fièvre: (Sankt Gallen),toux: (Sankt Gallen)
2013-01-06,61,28,0,0
2013-01-13,19,51,0,0
2013-01-20,0,25,0,0
2013-01-27,52,37,0,0
2013-02-03,28,0,0,0
2013-02-10,38,41,0,0
2013-02-17,40,65,0,0
2013-02-24,26,29,0,0
2013-03-03,9,24,0,0
2013-03-10,12,35,0,8
2013-03-17,27,25,0,0
2013-03-24,14,24,0,0
2013-03-31,26,33,0,0
2013-04-07,29,32,0,21
2013-04-14,8,22,0,0
2013-04-21,0,25,0,0
2013-04-28,37,13,0,0
2013-05-05,0,0,0,0
2013-05-12,23,28,0,0
2013-05-19,0,15,0,0
2013-05-26,0,15,0,0
2013-06-02,0,43,0,0
2013-06-09,10,26,0,0
2013-06-16,0,33,0,16
2013-06-23,24,14,0,0
2013-06-30,33,18,0,0
2013-07-07,24,37,0,0
2013-07-14,0,46,0,15
2013-07-21,0,29,0,15
2013-07-28,0,0,0,15
2013-08-04,0,0,0,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,10
2013-08-25,33,17,0,0
2013-09-01,31,0,0,0
2013-09-08,19,62,0,13
2013-09-15,0,0,0,0
2013-09-22,23,30,0,0
2013-09-29,0,39,0,0
2013-10-06,25,0,0,0
2013-10-13,0,26,0,0
2013-10-20,20,35,0,0
2013-10-27,17,11,0,0
2013-11-03,52,56,0,0
2013-11-10,25,17,0,10
2013-11-17,0,0,0,0
2013-11-24,12,41,0,9
2013-12-01,0,26,0,0
2013-12-08,36,14,0,0
2013-12-15,24,29,0,0
2013-12-22,0,17,0,0
2013-12-29,0,32,0,0
2014-01-05,14,22,0,23
2014-01-12,0,26,0,0
2014-01-19,0,19,0,0
2014-01-26,50,15,0,0
2014-02-02,35,29,0,0
2014-02-09,0,43,0,0
2014-02-16,38,36,0,0
2014-02-23,27,13,0,0
2014-03-02,21,27,0,0
2014-03-09,33,21,0,35
2014-03-16,0,24,0,0
2014-03-23,18,10,0,0
2014-03-30,15,29,0,0
2014-04-06,0,33,0,0
2014-04-13,0,29,0,0
2014-04-20,0,29,0,0
2014-04-27,9,16,0,0
2014-05-04,12,17,0,0
2014-05-11,0,15,0,0
2014-05-18,11,58,0,0
2014-05-25,18,25,0,0
2014-06-01,0,11,0,0
2014-06-08,14,17,0,0
2014-06-15,0,33,0,0
2014-06-22,0,20,0,0
2014-06-29,0,22,0,0
2014-07-06,11,44,0,0
2014-07-13,20,17,0,15
2014-07-20,0,23,0,24
2014-07-27,0,0,0,0
2014-08-03,12,17,0,14
2014-08-10,0,49,0,0
2014-08-17,0,27,0,0
2014-08-24,0,36,0,0
2014-08-31,0,38,0,0
2014-09-07,24,22,0,0
2014-09-14,0,26,0,0
2014-09-21,48,27,0,0
2014-09-28,14,20,0,13
2014-10-05,23,16,0,14
2014-10-12,24,32,0,0
2014-10-19,20,18,0,0
2014-10-26,0,24,0,10
2014-11-02,28,48,0,22
2014-11-09,0,30,0,0
2014-11-16,0,27,0,0
2014-11-23,22,18,0,0
2014-11-30,29,31,0,36
2014-12-07,73,27,0,0
2014-12-14,16,9,0,0
2014-12-21,0,0,0,0
2014-12-28,37,14,0,0
2015-01-04,55,28,0,0
2015-01-11,22,47,0,0
2015-01-18,26,55,0,0
2015-01-25,34,30,0,0
2015-02-01,19,40,0,0
2015-02-08,62,18,0,0
2015-02-15,41,43,0,0
2015-02-22,25,11,0,0
2015-03-01,29,47,0,0
2015-03-08,27,12,0,0
2015-03-15,13,24,0,0
2015-03-22,24,40,0,0
2015-03-29,0,29,0,0
2015-04-05,21,75,0,29
2015-04-12,0,0,0,0
2015-04-19,24,27,0,0
2015-04-26,22,20,0,0
2015-05-03,23,27,0,0
2015-05-10,14,0,0,0
2015-05-17,26,15,0,0
2015-05-24,10,32,0,0
2015-05-31,15,0,0,0
2015-06-07,0,0,0,0
2015-06-14,0,46,0,0
2015-06-21,0,24,0,30
2015-06-28,13,26,0,0
2015-07-05,0,33,0,20
2015-07-12,0,32,0,15
2015-07-19,13,44,0,0
2015-07-26,23,28,0,0
2015-08-02,0,0,0,0
2015-08-09,0,24,0,0
2015-08-16,21,24,0,0
2015-08-23,0,15,0,0
2015-08-30,14,30,0,0
2015-09-06,0,31,0,25
2015-09-13,21,32,0,0
2015-09-20,0,26,0,0
2015-09-27,14,17,0,0
2015-10-04,23,36,0,0
2015-10-11,0,0,0,17
2015-10-18,19,42,0,0
2015-10-25,20,58,0,0
2015-11-01,27,42,0,0
2015-11-08,22,36,0,0
2015-11-15,30,21,0,0
2015-11-22,49,0,0,0
2015-11-29,18,25,0,0
2015-12-06,16,35,0,0
2015-12-13,41,21,0,0
2015-12-20,49,100,0,0
2015-12-27,24,35,0,14
2016-01-03,28,23,0,9
2016-01-10,0,29,0,0
2016-01-17,20,8,0,0
2016-01-24,33,33,0,0
2016-01-31,26,36,0,0
2016-02-07,35,30,0,0
2016-02-14,45,51,0,9
2016-02-21,49,60,0,0
2016-02-28,31,75,0,0
2016-03-06,35,60,0,26
2016-03-13,50,95,0,11
2016-03-20,48,43,0,0
2016-03-27,36,60,0,0
2016-04-03,40,30,0,0
2016-04-10,0,21,0,29
2016-04-17,23,26,0,0
2016-04-24,14,25,0,0
2016-05-01,0,23,0,0
2016-05-08,30,38,0,0
2016-05-15,0,22,0,0
2016-05-22,0,0,0,0
2016-05-29,8,0,0,17
2016-06-05,27,24,0,18
2016-06-12,0,41,0,0
2016-06-19,13,40,0,0
2016-06-26,29,44,0,17
2016-07-03,13,24,0,42
2016-07-10,31,46,0,0
2016-07-17,20,16,0,0
2016-07-24,0,50,0,0
2016-07-31,16,47,0,0
2016-08-07,20,28,0,0
2016-08-14,0,42,0,0
2016-08-21,30,23,0,0
2016-08-28,25,22,0,0
2016-09-04,0,17,0,0
2016-09-11,0,72,0,0
2016-09-18,24,46,0,9
2016-09-25,29,67,0,0
2016-10-02,24,11,0,12
2016-10-09,0,27,0,16
2016-10-16,53,17,0,0
2016-10-23,69,27,0,0
2016-10-30,0,18,0,12
2016-11-06,42,26,0,0
2016-11-13,20,26,0,0
2016-11-20,30,40,0,0
2016-11-27,24,25,0,8
2016-12-04,16,34,0,0
2016-12-11,22,20,0,0
2016-12-18,24,43,0,0
2016-12-25,63,57,0,37
2017-01-01,34,55,0,0
2017-01-08,13,0,0,0
2017-01-15,60,42,0,0
2017-01-22,24,98,0,0
2017-01-29,25,49,0,0
2017-02-05,45,33,0,0
2017-02-12,41,28,0,0
2017-02-19,14,58,0,0
2017-02-26,33,34,0,0
2017-03-05,15,42,0,0
2017-03-12,30,19,0,0
2017-03-19,29,26,0,0
2017-03-26,41,40,0,0
2017-04-02,43,33,0,0
2017-04-09,0,0,0,0
2017-04-16,0,0,0,0
2017-04-23,21,20,0,0
2017-04-30,29,24,0,0
2017-05-07,8,25,0,0
2017-05-14,37,23,0,0
2017-05-21,26,36,0,0
2017-05-28,16,44,0,0
2017-06-04,14,21,0,0
2017-06-11,20,41,0,0
2017-06-18,17,29,0,0
2017-06-25,15,0,0,0
2017-07-02,27,54,0,17
2017-07-09,0,44,0,0
2017-07-16,0,18,0,0
2017-07-23,17,30,0,0
2017-07-30,24,43,0,0
2017-08-06,0,13,0,0
2017-08-13,0,37,0,0
2017-08-20,28,29,0,0
2017-08-27,0,34,0,0
2017-09-03,21,30,0,8
2017-09-10,8,0,0,0
2017-09-17,18,33,0,0
2017-09-24,14,0,0,0
2017-10-01,24,22,0,0
2017-10-08,30,28,0,0
2017-10-15,27,26,0,0
2017-10-22,0,0,0,0
2017-10-29,24,27,0,8
2017-11-05,21,47,0,0
2017-11-12,10,23,0,0
2017-11-19,27,0,0,0
2017-11-26,25,41,0,0
2017-12-03,22,18,0,0
2017-12-10,50,58,0,0
2017-12-17,22,36,0,9
2017-12-24,45,51,0,0
2017-12-31,37,58,0,0
