Kategorie: Alle Kategorien

Woche,husten: (Genf),toux: (Genf),fièvre: (Genf),Fieber: (Genf)
2017-11-05,0,7,0,6
2017-11-12,0,14,6,13
2017-11-19,8,29,12,0
2017-11-26,0,16,15,8
2017-12-03,0,11,0,0
2017-12-10,0,23,9,18
2017-12-17,0,39,19,0
2017-12-24,0,36,21,0
2017-12-31,17,41,11,0
2018-01-07,0,23,10,0
2018-01-14,10,44,0,0
2018-01-21,0,7,0,0
2018-01-28,7,33,32,0
2018-02-04,25,20,11,0
2018-02-11,0,31,0,15
2018-02-18,0,17,17,24
2018-02-25,0,27,11,0
2018-03-04,0,14,15,0
2018-03-11,0,15,0,21
2018-03-18,0,18,0,0
2018-03-25,0,22,8,13
2018-04-01,0,25,0,0
2018-04-08,19,0,16,0
2018-04-15,0,29,8,0
2018-04-22,0,24,22,0
2018-04-29,0,8,35,0
2018-05-06,0,22,0,0
2018-05-13,0,0,8,0
2018-05-20,0,0,10,14
2018-05-27,13,0,34,0
2018-06-03,0,11,0,0
2018-06-10,0,0,6,0
2018-06-17,0,14,22,0
2018-06-24,10,0,0,14
2018-07-01,0,9,0,0
2018-07-08,0,7,0,0
2018-07-15,0,17,0,9
2018-07-22,0,10,0,0
2018-07-29,13,0,0,0
2018-08-05,0,10,0,0
2018-08-12,0,30,8,0
2018-08-19,0,16,27,0
2018-08-26,0,0,0,0
2018-09-02,0,8,26,0
2018-09-09,0,0,0,0
2018-09-16,0,7,7,0
2018-09-23,0,11,0,0
2018-09-30,0,7,0,0
2018-10-07,37,13,13,0
2018-10-14,9,43,0,0
2018-10-21,0,32,0,0
2018-10-28,0,16,0,0
2018-11-04,13,0,17,0
2018-11-11,0,32,0,0
2018-11-18,0,32,17,0
2018-11-25,0,22,9,10
2018-12-02,0,7,0,0
2018-12-09,7,49,11,0
2018-12-16,0,8,23,0
2018-12-23,0,18,22,0
2018-12-30,0,32,11,0
2019-01-06,0,18,0,16
2019-01-13,0,35,15,0
2019-01-20,10,32,0,0
2019-01-27,0,12,9,14
2019-02-03,14,27,8,13
2019-02-10,0,24,0,12
2019-02-17,0,28,0,17
2019-02-24,0,36,43,0
2019-03-03,0,0,23,0
2019-03-10,0,11,0,0
2019-03-17,8,11,10,0
2019-03-24,27,16,25,0
2019-03-31,0,27,0,13
2019-04-07,0,35,9,14
2019-04-14,0,27,0,0
2019-04-21,0,12,11,13
2019-04-28,14,0,12,0
2019-05-05,7,16,16,0
2019-05-12,0,25,0,12
2019-05-19,0,18,14,8
2019-05-26,21,18,11,0
2019-06-02,8,0,0,14
2019-06-09,20,0,7,0
2019-06-16,0,0,0,0
2019-06-23,0,16,0,0
2019-06-30,0,24,0,0
2019-07-07,0,8,0,0
2019-07-14,0,0,25,0
2019-07-21,13,23,0,0
2019-07-28,0,21,0,0
2019-08-04,0,0,0,12
2019-08-11,0,23,0,0
2019-08-18,0,27,11,13
2019-08-25,8,19,8,0
2019-09-01,0,8,16,0
2019-09-08,0,24,0,30
2019-09-15,0,26,0,0
2019-09-22,0,15,0,12
2019-09-29,0,16,0,6
2019-10-06,0,19,18,0
2019-10-13,0,20,17,0
2019-10-20,0,28,0,0
2019-10-27,0,22,10,12
2019-11-03,16,25,8,20
2019-11-10,0,34,0,0
2019-11-17,0,35,7,20
2019-11-24,12,12,6,0
2019-12-01,0,28,0,6
2019-12-08,0,27,26,0
2019-12-15,0,34,8,14
2019-12-22,0,11,0,0
2019-12-29,0,46,11,0
2020-01-05,0,26,0,0
2020-01-12,0,27,0,0
2020-01-19,0,28,10,11
2020-01-26,0,24,0,0
2020-02-02,0,16,15,0
2020-02-09,22,12,0,11
2020-02-16,9,28,13,0
2020-02-23,6,35,10,0
2020-03-01,0,42,34,0
2020-03-08,25,54,37,28
2020-03-15,8,58,31,11
2020-03-22,9,53,30,0
2020-03-29,0,34,10,6
2020-04-05,8,11,16,7
2020-04-12,0,10,13,7
2020-04-19,0,28,14,0
2020-04-26,11,29,0,0
2020-05-03,7,0,0,0
2020-05-10,8,0,0,0
2020-05-17,0,11,0,0
2020-05-24,8,16,16,12
2020-05-31,9,25,22,0
2020-06-07,0,15,0,0
2020-06-14,8,18,0,8
2020-06-21,0,10,0,0
2020-06-28,0,11,24,0
2020-07-05,0,23,7,0
2020-07-12,0,0,0,7
