Kategorie: Alle Kategorien

Woche,Influenza: (Freiburg),influenza: (Freiburg),Grippe: (Freiburg),Flu: (Freiburg)
2013-01-06,30,0,12,0
2013-01-13,37,0,25,0
2013-01-20,22,0,24,0
2013-01-27,22,0,20,26
2013-02-03,35,0,0,0
2013-02-10,33,42,31,0
2013-02-17,34,0,0,0
2013-02-24,21,0,18,0
2013-03-03,23,0,22,21
2013-03-10,10,14,0,0
2013-03-17,0,33,0,0
2013-03-24,0,0,0,0
2013-03-31,11,0,0,0
2013-04-07,9,0,0,0
2013-04-14,0,10,0,0
2013-04-21,31,0,0,0
2013-04-28,0,0,0,0
2013-05-05,18,0,0,0
2013-05-12,13,0,0,0
2013-05-19,0,0,0,0
2013-05-26,0,0,0,0
2013-06-02,60,0,0,0
2013-06-09,26,0,0,0
2013-06-16,0,0,0,12
2013-06-23,0,0,0,0
2013-06-30,0,0,0,0
2013-07-07,0,0,16,0
2013-07-14,0,0,0,0
2013-07-21,0,0,58,0
2013-07-28,0,0,0,0
2013-08-04,0,24,0,0
2013-08-11,12,0,38,0
2013-08-18,15,0,0,0
2013-08-25,0,0,0,16
2013-09-01,19,0,0,0
2013-09-08,0,0,0,18
2013-09-15,0,0,0,0
2013-09-22,0,0,0,18
2013-09-29,0,0,0,0
2013-10-06,0,0,0,0
2013-10-13,12,0,0,0
2013-10-20,0,0,12,0
2013-10-27,0,0,16,0
2013-11-03,11,15,0,0
2013-11-10,0,0,12,0
2013-11-17,0,0,0,11
2013-11-24,0,0,0,0
2013-12-01,0,14,0,0
2013-12-08,0,11,20,0
2013-12-15,0,0,0,0
2013-12-22,51,0,0,0
2013-12-29,0,0,0,0
2014-01-05,12,0,16,0
2014-01-12,0,0,0,8
2014-01-19,0,0,10,0
2014-01-26,33,10,0,0
2014-02-02,0,9,15,13
2014-02-09,26,0,21,0
2014-02-16,21,0,22,0
2014-02-23,9,0,0,0
2014-03-02,15,24,14,0
2014-03-09,19,0,0,13
2014-03-16,0,0,9,0
2014-03-23,0,0,0,0
2014-03-30,0,0,0,0
2014-04-06,17,0,22,0
2014-04-13,0,0,0,0
2014-04-20,15,0,0,0
2014-04-27,23,11,0,0
2014-05-04,0,0,12,0
2014-05-11,0,0,0,0
2014-05-18,0,0,0,0
2014-05-25,0,0,0,0
2014-06-01,0,0,0,10
2014-06-08,0,0,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,24,0
2014-07-13,0,0,0,22
2014-07-20,0,20,11,31
2014-07-27,0,20,0,13
2014-08-03,0,0,0,0
2014-08-10,0,0,0,0
2014-08-17,32,0,10,0
2014-08-24,0,0,0,0
2014-08-31,0,0,0,0
2014-09-07,0,0,0,17
2014-09-14,0,0,0,0
2014-09-21,0,0,0,0
2014-09-28,16,0,0,0
2014-10-05,0,0,0,0
2014-10-12,29,0,0,0
2014-10-19,23,0,18,12
2014-10-26,13,0,22,0
2014-11-02,14,0,46,0
2014-11-09,20,0,14,0
2014-11-16,0,19,23,0
2014-11-23,15,0,0,0
2014-11-30,0,14,0,19
2014-12-07,0,0,0,0
2014-12-14,35,12,0,0
2014-12-21,0,0,0,0
2014-12-28,20,0,15,0
2015-01-04,17,0,0,13
2015-01-11,19,0,33,22
2015-01-18,21,0,12,0
2015-01-25,27,0,41,0
2015-02-01,42,17,34,0
2015-02-08,25,0,19,0
2015-02-15,11,24,37,0
2015-02-22,65,0,12,0
2015-03-01,30,0,32,0
2015-03-08,32,0,0,0
2015-03-15,0,0,11,0
2015-03-22,0,0,15,30
2015-03-29,23,0,0,10
2015-04-05,20,0,0,0
2015-04-12,0,0,0,16
2015-04-19,0,0,0,0
2015-04-26,0,21,0,32
2015-05-03,19,0,0,0
2015-05-10,0,0,0,0
