Kategorie: Alle Kategorien

Woche,Influenza: (Schwyz),influenza: (Schwyz),Grippe: (Schwyz),Flu: (Schwyz)
2017-11-05,10,0,10,0
2017-11-12,21,26,0,31
2017-11-19,0,26,0,10
2017-11-26,0,0,7,15
2017-12-03,0,0,8,0
2017-12-10,0,0,0,8
2017-12-17,19,0,30,12
2017-12-24,26,0,16,0
2017-12-31,26,0,25,0
2018-01-07,30,0,0,0
2018-01-14,57,0,24,0
2018-01-21,36,12,0,18
2018-01-28,19,23,10,0
2018-02-04,32,0,0,0
2018-02-11,16,0,11,0
2018-02-18,26,0,12,7
2018-02-25,7,10,0,0
2018-03-04,32,0,36,0
2018-03-11,25,8,17,9
2018-03-18,0,14,21,0
2018-03-25,10,0,0,0
2018-04-01,17,0,0,0
2018-04-08,17,0,0,0
2018-04-15,0,8,0,0
2018-04-22,16,0,0,0
2018-04-29,0,0,0,0
2018-05-06,30,0,0,11
2018-05-13,8,0,0,21
2018-05-20,0,0,10,0
2018-05-27,16,0,0,0
2018-06-03,0,0,18,0
2018-06-10,0,16,0,0
2018-06-17,0,0,0,12
2018-06-24,14,0,0,0
2018-07-01,0,0,0,0
2018-07-08,0,17,16,0
2018-07-15,0,17,14,11
2018-07-22,0,13,11,0
2018-07-29,10,0,0,0
2018-08-05,0,24,0,0
2018-08-12,12,0,0,0
2018-08-19,27,0,13,0
2018-08-26,16,0,0,0
2018-09-02,0,0,23,15
2018-09-09,0,0,0,16
2018-09-16,22,0,0,0
2018-09-23,26,12,0,0
2018-09-30,0,0,0,0
2018-10-07,0,11,0,0
2018-10-14,13,0,0,0
2018-10-21,0,0,12,32
2018-10-28,0,0,14,12
2018-11-04,0,0,0,0
2018-11-11,0,0,0,0
2018-11-18,0,0,0,0
2018-11-25,0,0,13,0
2018-12-02,7,0,18,13
2018-12-09,0,0,0,0
2018-12-16,0,10,8,0
2018-12-23,0,0,12,0
2018-12-30,0,21,18,8
2019-01-06,14,16,0,12
2019-01-13,0,0,18,0
2019-01-20,24,11,0,0
2019-01-27,19,0,11,9
2019-02-03,0,0,18,0
2019-02-10,19,0,16,0
2019-02-17,9,0,27,0
2019-02-24,22,0,12,0
2019-03-03,17,0,14,0
2019-03-10,0,0,16,0
2019-03-17,33,8,0,0
2019-03-24,0,0,9,9
2019-03-31,0,0,22,0
2019-04-07,0,0,0,0
2019-04-14,0,0,0,0
2019-04-21,0,0,0,0
2019-04-28,0,0,0,0
2019-05-05,0,0,16,0
2019-05-12,0,0,0,9
2019-05-19,0,0,0,0
2019-05-26,26,0,57,0
2019-06-02,13,0,0,0
2019-06-09,0,0,7,24
2019-06-16,0,0,0,0
2019-06-23,0,0,0,0
2019-06-30,20,0,0,0
2019-07-07,0,0,26,0
2019-07-14,23,0,0,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,19
