Kategorie: Alle Kategorien

Woche,husten: (Basel-Landschaft),Fieber: (Basel-Landschaft),fièvre: (Basel-Landschaft),toux: (Basel-Landschaft)
2022-11-06,41,33,0,0
2022-11-13,25,21,0,0
2022-11-20,39,33,0,0
2022-11-27,58,31,0,0
2022-12-04,54,56,0,0
2022-12-11,23,64,0,0
2022-12-18,36,52,0,0
2022-12-25,64,100,0,0
2023-01-01,52,39,0,0
2023-01-08,38,34,0,0
2023-01-15,50,21,0,0
2023-01-22,23,42,0,0
2023-01-29,30,36,0,0
2023-02-05,30,23,0,0
2023-02-12,45,56,0,0
2023-02-19,44,40,0,0
2023-02-26,16,40,0,0
2023-03-05,33,33,0,0
2023-03-12,17,25,0,0
2023-03-19,28,33,0,0
2023-03-26,13,24,0,0
2023-04-02,34,40,0,0
2023-04-09,25,26,0,0
2023-04-16,18,21,0,0
2023-04-23,28,8,0,0
2023-04-30,24,35,0,0
2023-05-07,20,35,0,0
2023-05-14,0,37,0,0
2023-05-21,22,17,0,0
2023-05-28,11,34,0,0
2023-06-04,0,16,0,0
2023-06-11,0,18,0,0
2023-06-18,20,46,0,0
2023-06-25,28,33,0,0
2023-07-02,0,11,0,0
2023-07-09,0,25,0,0
2023-07-16,10,35,0,0
2023-07-23,32,17,0,0
2023-07-30,49,0,0,0
2023-08-06,0,18,0,0
2023-08-13,15,34,0,0
2023-08-20,40,32,0,0
2023-08-27,24,20,0,0
2023-09-03,10,59,0,0
2023-09-10,14,44,0,0
2023-09-17,41,10,0,0
2023-09-24,14,22,0,0
2023-10-01,30,27,0,0
2023-10-08,0,29,0,0
2023-10-15,31,35,0,0
2023-10-22,32,66,0,0
2023-10-29,32,41,0,0
2023-11-05,47,18,0,0
2023-11-12,33,43,0,0
