Kategorie: Alle Kategorien

Woche,Influenza: (Appenzell Ausserrhoden),influenza: (Appenzell Ausserrhoden),Grippe: (Appenzell Ausserrhoden),Flu: (Appenzell Ausserrhoden)
2022-11-27,31,0,0,0
2022-12-04,0,0,0,0
2022-12-11,31,40,63,0
2022-12-18,24,0,0,0
2022-12-25,40,0,64,0
2023-01-01,0,27,0,0
2023-01-08,0,0,0,0
2023-01-15,26,22,30,0
2023-01-22,0,0,25,0
2023-01-29,0,0,35,0
2023-02-05,0,0,30,0
2023-02-12,0,0,0,0
2023-02-19,0,0,0,0
2023-02-26,0,0,39,0
2023-03-05,22,0,100,0
2023-03-12,67,0,23,0
2023-03-19,25,0,31,0
2023-03-26,51,0,0,0
2023-04-02,0,0,0,0
2023-04-09,0,0,0,0
2023-04-16,0,0,0,0
2023-04-23,21,0,0,0
2023-04-30,0,0,0,0
2023-05-07,0,0,0,0
2023-05-14,0,0,35,0
2023-05-21,20,0,0,0
2023-05-28,0,22,38,0
2023-06-04,0,83,0,0
2023-06-11,22,0,0,0
2023-06-18,0,0,0,0
2023-06-25,0,0,0,0
2023-07-02,0,57,0,0
2023-07-09,0,0,0,0
2023-07-16,27,0,39,0
2023-07-23,0,0,0,0
2023-07-30,0,0,0,0
2023-08-06,0,68,51,0
2023-08-13,25,26,0,0
2023-08-20,0,0,25,0
2023-08-27,38,0,36,0
2023-09-03,0,0,0,0
2023-09-10,0,65,0,0
2023-09-17,48,0,0,0
2023-09-24,28,0,68,0
2023-10-01,0,0,0,0
2023-10-08,0,0,0,0
2023-10-15,0,53,0,0
2023-10-22,30,0,0,0
2023-10-29,0,0,0,0
2023-11-05,24,0,38,0
2023-11-12,36,0,0,0
