Kategorie: Alle Kategorien

Woche,husten: (Thurgau),Fieber: (Thurgau),fièvre: (Thurgau),toux: (Thurgau)
2017-01-08,0,42,0,19
2017-01-15,0,0,0,13
2017-01-22,0,24,0,0
2017-01-29,0,10,0,0
2017-02-05,0,17,0,8
2017-02-12,0,19,0,0
2017-02-19,0,0,0,0
2017-02-26,0,10,0,23
2017-03-05,0,20,0,21
2017-03-12,0,0,0,0
2017-03-19,0,43,0,10
2017-03-26,0,11,0,0
2017-04-02,0,0,0,0
2017-04-09,0,0,0,17
2017-04-16,0,79,0,16
2017-04-23,0,0,0,0
2017-04-30,0,0,0,0
2017-05-07,0,0,0,0
2017-05-14,0,15,0,19
2017-05-21,0,0,0,0
2017-05-28,0,0,0,0
2017-06-04,0,10,0,0
2017-06-11,0,13,0,0
2017-06-18,0,13,0,0
2017-06-25,0,10,0,0
2017-07-02,0,0,0,0
2017-07-09,0,0,0,0
2017-07-16,0,0,0,0
2017-07-23,0,15,0,0
2017-07-30,0,0,0,0
2017-08-06,0,10,0,10
2017-08-13,0,0,0,0
2017-08-20,0,0,0,0
2017-08-27,0,0,0,0
2017-09-03,0,14,0,0
2017-09-10,0,22,0,9
2017-09-17,0,0,0,23
2017-09-24,0,0,0,0
2017-10-01,0,14,0,0
2017-10-08,0,30,0,13
2017-10-15,0,0,0,0
2017-10-22,0,14,0,0
2017-10-29,0,0,0,9
2017-11-05,0,0,0,0
2017-11-12,0,7,0,0
2017-11-19,0,9,0,0
2017-11-26,0,45,0,7
2017-12-03,0,0,0,0
2017-12-10,0,18,0,6
2017-12-17,0,11,0,0
2017-12-24,0,29,0,0
2017-12-31,0,47,0,0
