Kategorie: Alle Kategorien

Woche,husten: (Solothurn),Fieber: (Solothurn),fièvre: (Solothurn),toux: (Solothurn)
2013-01-06,31,18,0,0
2013-01-13,0,0,0,0
2013-01-20,33,0,0,0
2013-01-27,17,0,0,0
2013-02-03,0,0,0,0
2013-02-10,20,22,0,0
2013-02-17,0,0,0,0
2013-02-24,0,47,0,0
2013-03-03,21,17,0,0
2013-03-10,0,22,0,0
2013-03-17,13,61,0,0
2013-03-24,0,14,0,0
2013-03-31,45,0,0,0
2013-04-07,0,18,0,0
2013-04-14,30,33,0,0
2013-04-21,0,0,0,0
2013-04-28,0,0,0,0
2013-05-05,30,0,0,0
2013-05-12,16,0,0,0
2013-05-19,22,0,0,0
2013-05-26,0,100,0,0
2013-06-02,34,0,0,0
2013-06-09,15,0,0,0
2013-06-16,0,0,0,0
2013-06-23,0,14,0,0
2013-06-30,0,0,0,0
2013-07-07,0,28,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,0,0,0
2013-08-04,0,16,0,0
2013-08-11,0,0,0,0
2013-08-18,0,0,0,0
2013-08-25,26,41,0,0
2013-09-01,20,20,0,0
2013-09-08,0,0,0,0
2013-09-15,22,61,0,0
2013-09-22,0,0,0,0
2013-09-29,27,30,0,0
2013-10-06,0,26,0,0
2013-10-13,0,21,0,0
2013-10-20,14,0,0,0
2013-10-27,0,35,0,0
2013-11-03,15,0,0,0
2013-11-10,0,0,0,0
2013-11-17,0,40,0,0
2013-11-24,39,0,0,0
2013-12-01,0,14,0,0
2013-12-08,32,31,0,0
2013-12-15,0,0,0,0
2013-12-22,0,0,0,0
2013-12-29,0,0,0,0
2014-01-05,0,19,0,0
2014-01-12,13,0,0,0
2014-01-19,0,0,0,0
2014-01-26,17,29,0,0
2014-02-02,0,14,0,0
2014-02-09,16,15,0,0
2014-02-16,0,25,0,0
2014-02-23,0,39,0,0
2014-03-02,0,30,0,0
2014-03-09,0,15,0,0
2014-03-16,0,0,0,0
2014-03-23,0,15,0,0
2014-03-30,0,0,0,0
2014-04-06,0,0,0,0
2014-04-13,0,0,0,0
2014-04-20,0,0,0,0
2014-04-27,29,0,0,0
2014-05-04,23,0,0,0
2014-05-11,0,17,0,0
2014-05-18,0,0,0,0
2014-05-25,0,68,0,0
2014-06-01,16,0,0,0
2014-06-08,0,18,0,0
2014-06-15,24,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,0
2014-07-13,0,0,0,0
2014-07-20,0,0,0,0
2014-07-27,0,41,0,0
2014-08-03,0,18,0,0
2014-08-10,0,18,0,0
2014-08-17,15,32,0,0
2014-08-24,15,27,0,0
2014-08-31,0,54,0,0
2014-09-07,0,0,0,0
2014-09-14,0,0,0,0
2014-09-21,0,29,0,0
2014-09-28,0,40,0,0
2014-10-05,0,26,0,0
2014-10-12,29,31,0,0
2014-10-19,0,0,0,0
2014-10-26,18,27,0,0
2014-11-02,0,35,0,0
2014-11-09,57,31,0,0
2014-11-16,18,0,0,0
2014-11-23,0,31,0,0
2014-11-30,0,0,0,0
2014-12-07,19,26,0,0
2014-12-14,17,0,0,0
2014-12-21,38,0,0,0
2014-12-28,31,0,0,0
2015-01-04,39,0,0,0
2015-01-11,19,0,0,0
2015-01-18,28,42,0,0
2015-01-25,25,16,0,0
2015-02-01,24,37,0,0
2015-02-08,63,0,0,0
2015-02-15,30,23,0,0
2015-02-22,18,0,0,0
2015-03-01,0,0,0,0
2015-03-08,0,91,0,0
2015-03-15,53,20,0,0
2015-03-22,30,0,0,0
2015-03-29,0,0,0,0
2015-04-05,40,0,0,0
2015-04-12,22,0,0,0
2015-04-19,0,0,0,0
2015-04-26,33,31,0,0
2015-05-03,0,22,0,0
