Kategorie: Alle Kategorien

Woche,Influenza: (Bern),influenza: (Bern),Grippe: (Bern),Flu: (Bern)
2017-01-08,65,6,41,17
2017-01-15,56,5,50,0
2017-01-22,56,8,51,0
2017-01-29,65,0,41,10
2017-02-05,47,23,37,18
2017-02-12,46,6,32,0
2017-02-19,46,7,31,13
2017-02-26,13,0,17,0
2017-03-05,28,0,20,0
2017-03-12,44,5,21,0
2017-03-19,30,6,22,6
2017-03-26,16,0,11,8
2017-04-02,12,0,13,0
2017-04-09,13,16,8,0
2017-04-16,20,0,19,5
2017-04-23,5,0,10,0
2017-04-30,6,0,10,0
2017-05-07,11,9,18,11
2017-05-14,12,0,7,0
2017-05-21,14,0,6,9
2017-05-28,12,7,0,0
2017-06-04,9,0,11,15
2017-06-11,22,4,14,9
2017-06-18,10,0,5,0
2017-06-25,6,7,0,0
2017-07-02,19,0,0,0
2017-07-09,9,0,0,0
2017-07-16,11,13,12,0
2017-07-23,10,0,10,0
2017-07-30,9,0,11,0
2017-08-06,9,18,5,0
2017-08-13,9,0,6,0
2017-08-20,16,0,8,0
2017-08-27,14,4,0,0
2017-09-03,29,0,10,0
2017-09-10,7,0,0,0
2017-09-17,25,0,15,0
2017-09-24,25,0,20,9
2017-10-01,22,0,15,9
2017-10-08,27,6,9,0
2017-10-15,17,10,9,0
2017-10-22,15,0,20,0
2017-10-29,20,6,18,0
2017-11-05,44,0,30,6
2017-11-12,18,0,16,0
2017-11-19,24,6,16,0
2017-11-26,37,5,28,7
2017-12-03,26,0,20,0
2017-12-10,29,8,22,0
2017-12-17,33,9,28,0
2017-12-24,72,6,47,0
2017-12-31,65,0,50,4
