Kategorie: Alle Kategorien

Woche,Influenza: (Genf),influenza: (Genf),Grippe: (Genf),Flu: (Genf)
2013-01-06,32,0,17,0
2013-01-13,31,0,20,8
2013-01-20,46,9,27,9
2013-01-27,53,0,38,17
2013-02-03,64,0,38,0
2013-02-10,64,0,50,18
2013-02-17,55,0,36,8
2013-02-24,40,0,19,5
2013-03-03,0,0,14,0
2013-03-10,10,0,12,0
2013-03-17,13,0,5,0
2013-03-24,14,24,0,20
2013-03-31,24,12,12,0
2013-04-07,24,0,15,7
2013-04-14,6,0,4,0
2013-04-21,7,15,0,9
2013-04-28,14,0,13,0
2013-05-05,11,0,6,0
2013-05-12,17,0,13,0
2013-05-19,8,5,9,0
2013-05-26,20,0,6,5
2013-06-02,0,0,11,0
2013-06-09,9,0,0,0
2013-06-16,0,0,5,0
2013-06-23,8,0,0,0
2013-06-30,10,0,8,10
2013-07-07,5,7,8,0
2013-07-14,0,0,0,5
2013-07-21,7,0,0,0
2013-07-28,23,21,9,0
2013-08-04,0,0,0,7
2013-08-11,0,0,5,12
2013-08-18,0,0,13,0
2013-08-25,0,0,0,0
2013-09-01,9,13,6,0
2013-09-08,17,7,9,8
2013-09-15,17,0,9,7
2013-09-22,6,0,5,0
2013-09-29,10,0,10,0
2013-10-06,12,0,4,0
2013-10-13,25,0,14,4
2013-10-20,19,0,0,0
2013-10-27,19,4,21,7
2013-11-03,19,0,0,0
2013-11-10,0,0,0,5
2013-11-17,17,0,6,10
2013-11-24,17,4,0,0
2013-12-01,15,14,17,0
2013-12-08,6,6,0,0
2013-12-15,15,0,15,0
2013-12-22,15,0,22,10
2013-12-29,14,0,29,5
2014-01-05,7,0,0,16
2014-01-12,15,6,8,4
2014-01-19,18,0,15,0
2014-01-26,27,6,12,14
2014-02-02,35,8,27,0
2014-02-09,28,5,25,0
2014-02-16,18,0,12,0
2014-02-23,22,0,13,0
2014-03-02,17,0,16,0
2014-03-09,18,0,10,0
2014-03-16,0,9,0,0
2014-03-23,11,0,3,0
2014-03-30,7,0,8,0
2014-04-06,0,6,10,4
2014-04-13,9,0,0,0
2014-04-20,11,10,8,0
2014-04-27,0,0,0,0
2014-05-04,16,7,6,0
2014-05-11,15,0,7,5
2014-05-18,8,0,12,0
2014-05-25,7,24,0,0
2014-06-01,10,0,0,0
2014-06-08,0,0,0,5
2014-06-15,0,0,0,0
2014-06-22,4,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,5
2014-07-13,0,0,0,9
2014-07-20,0,0,20,0
2014-07-27,4,0,0,0
2014-08-03,9,0,0,0
2014-08-10,22,0,0,7
2014-08-17,0,13,0,0
2014-08-24,14,5,6,0
2014-08-31,13,0,14,0
2014-09-07,10,0,5,0
2014-09-14,14,0,7,0
2014-09-21,15,0,14,0
2014-09-28,14,4,13,0
2014-10-05,12,6,23,4
2014-10-12,10,0,18,6
2014-10-19,22,0,9,0
2014-10-26,22,4,4,7
2014-11-02,23,0,8,0
2014-11-09,18,0,10,0
2014-11-16,7,5,0,0
2014-11-23,15,7,11,5
2014-11-30,20,0,0,8
2014-12-07,14,0,11,8
2014-12-14,22,0,6,5
2014-12-21,22,0,0,5
2014-12-28,7,0,5,0
2015-01-04,13,11,4,0
2015-01-11,30,0,29,0
2015-01-18,28,0,15,6
2015-01-25,41,0,32,11
2015-02-01,44,0,34,5
2015-02-08,60,0,45,7
2015-02-15,32,6,16,5
2015-02-22,38,7,21,5
2015-03-01,28,7,19,6
2015-03-08,25,9,16,5
2015-03-15,21,0,13,3
2015-03-22,31,0,13,5
2015-03-29,16,0,12,0
2015-04-05,15,9,13,0
2015-04-12,7,0,8,0
2015-04-19,11,0,4,0
2015-04-26,0,0,0,0
2015-05-03,8,0,0,0
2015-05-10,16,0,6,0
2015-05-17,8,0,6,5
2015-05-24,10,4,12,0
2015-05-31,0,0,5,8
2015-06-07,6,0,0,0
2015-06-14,11,0,0,9
2015-06-21,9,0,8,0
2015-06-28,0,0,0,0
2015-07-05,8,0,0,0
