Kategorie: Alle Kategorien

Woche,husten: (Bern),Fieber: (Bern),fièvre: (Bern),toux: (Bern)
2017-11-05,16,36,0,0
2017-11-12,17,24,0,0
2017-11-19,28,18,6,0
2017-11-26,12,20,8,0
2017-12-03,16,26,4,0
2017-12-10,34,21,0,0
2017-12-17,33,41,0,4
2017-12-24,34,25,0,8
2017-12-31,30,48,0,6
2018-01-07,37,38,4,7
2018-01-14,28,47,0,0
2018-01-21,34,42,0,5
2018-01-28,30,37,0,0
2018-02-04,20,35,11,6
2018-02-11,35,57,8,0
2018-02-18,28,37,5,8
2018-02-25,40,41,7,6
2018-03-04,25,45,0,5
2018-03-11,29,42,0,7
2018-03-18,13,22,0,0
2018-03-25,29,24,0,0
2018-04-01,21,22,0,0
2018-04-08,9,20,0,8
2018-04-15,29,17,0,0
2018-04-22,31,20,0,0
2018-04-29,10,28,0,0
2018-05-06,12,8,0,6
2018-05-13,13,23,0,0
2018-05-20,30,22,13,0
2018-05-27,15,29,0,0
2018-06-03,8,13,0,0
2018-06-10,11,18,0,0
2018-06-17,9,29,0,0
2018-06-24,17,29,0,0
2018-07-01,12,20,0,0
2018-07-08,9,19,0,0
2018-07-15,14,20,0,0
2018-07-22,7,20,0,0
2018-07-29,17,31,0,15
2018-08-05,12,14,0,0
2018-08-12,11,22,0,0
2018-08-19,17,19,7,0
2018-08-26,4,32,3,0
2018-09-02,14,21,0,17
2018-09-09,16,0,0,4
2018-09-16,14,22,5,0
2018-09-23,25,26,4,0
2018-09-30,18,17,0,15
2018-10-07,20,19,0,0
2018-10-14,13,18,6,0
2018-10-21,16,12,7,0
2018-10-28,14,21,0,0
2018-11-04,19,33,0,0
2018-11-11,11,27,4,5
2018-11-18,24,4,0,23
2018-11-25,21,26,6,4
2018-12-02,43,25,8,0
2018-12-09,26,27,0,0
2018-12-16,33,23,4,11
2018-12-23,25,28,0,6
2018-12-30,27,25,0,8
2019-01-06,36,30,0,10
2019-01-13,14,29,0,16
2019-01-20,29,41,0,4
2019-01-27,36,44,8,13
2019-02-03,54,53,5,5
2019-02-10,36,47,0,6
2019-02-17,40,49,0,13
2019-02-24,23,37,5,8
2019-03-03,26,21,0,3
2019-03-10,35,29,0,0
2019-03-17,29,38,0,0
2019-03-24,21,39,5,5
2019-03-31,33,32,0,4
2019-04-07,30,28,0,4
2019-04-14,16,21,0,13
2019-04-21,25,24,0,3
2019-04-28,18,25,0,11
2019-05-05,20,16,7,0
2019-05-12,24,40,0,3
2019-05-19,30,17,0,4
2019-05-26,21,20,0,0
2019-06-02,10,27,6,0
2019-06-09,10,13,0,0
2019-06-16,9,26,0,0
2019-06-23,14,25,0,0
2019-06-30,0,20,0,0
2019-07-07,9,30,0,0
2019-07-14,14,30,0,9
2019-07-21,10,28,0,27
2019-07-28,15,8,0,0
2019-08-04,11,19,0,0
2019-08-11,6,24,0,0
2019-08-18,11,12,0,4
2019-08-25,13,20,0,5
2019-09-01,21,31,4,5
2019-09-08,18,21,0,0
2019-09-15,11,25,0,0
2019-09-22,26,33,4,0
2019-09-29,33,22,0,0
2019-10-06,11,17,0,5
2019-10-13,33,29,0,0
2019-10-20,26,27,0,0
2019-10-27,32,23,0,0
2019-11-03,16,29,0,0
2019-11-10,32,21,0,3
2019-11-17,22,30,5,5
2019-11-24,24,32,0,5
2019-12-01,28,28,5,3
2019-12-08,25,20,0,0
2019-12-15,37,36,0,0
2019-12-22,23,40,0,21
2019-12-29,29,37,0,12
2020-01-05,39,29,17,0
2020-01-12,26,45,6,5
2020-01-19,19,43,3,0
2020-01-26,40,66,15,6
2020-02-02,36,66,0,0
2020-02-09,31,53,6,5
2020-02-16,27,31,0,0
2020-02-23,37,50,0,5
2020-03-01,72,78,0,4
2020-03-08,45,75,3,0
2020-03-15,54,100,0,11
2020-03-22,26,60,13,12
2020-03-29,20,32,5,8
2020-04-05,18,28,0,5
2020-04-12,21,26,0,3
2020-04-19,16,23,0,4
2020-04-26,8,10,3,2
2020-05-03,14,22,13,5
2020-05-10,10,24,0,0
2020-05-17,0,20,0,3
2020-05-24,0,21,2,4
2020-05-31,12,22,0,6
2020-06-07,12,30,0,0
2020-06-14,18,27,7,0
2020-06-21,17,15,4,6
2020-06-28,25,25,0,0
2020-07-05,19,33,0,0
