Kategorie: Alle Kategorien

Woche,Influenza: (Freiburg),influenza: (Freiburg),Grippe: (Freiburg),Flu: (Freiburg)
2022-11-27,43,0,21,0
2022-12-04,65,9,50,0
2022-12-11,59,13,50,0
2022-12-18,100,40,62,0
2022-12-25,81,19,67,0
2023-01-01,80,0,73,0
2023-01-08,49,0,67,0
2023-01-15,20,0,38,19
2023-01-22,54,0,46,0
2023-01-29,49,19,49,0
2023-02-05,55,0,33,0
2023-02-12,54,0,55,37
2023-02-19,48,0,29,0
2023-02-26,50,0,62,26
2023-03-05,61,0,34,17
2023-03-12,66,10,45,0
2023-03-19,51,15,49,0
2023-03-26,0,0,36,0
2023-04-02,55,11,19,0
2023-04-09,27,0,21,0
2023-04-16,22,0,23,0
2023-04-23,20,0,0,9
2023-04-30,0,13,0,12
2023-05-07,20,0,0,0
2023-05-14,20,0,10,0
2023-05-21,18,0,0,0
2023-05-28,10,0,12,0
2023-06-04,0,0,19,0
2023-06-11,0,0,0,0
2023-06-18,17,0,0,14
2023-06-25,0,0,0,0
2023-07-02,31,0,0,0
2023-07-09,45,0,43,47
2023-07-16,18,0,0,0
2023-07-23,0,0,0,27
2023-07-30,26,0,14,0
2023-08-06,11,0,68,0
2023-08-13,0,0,19,0
2023-08-20,0,0,0,24
2023-08-27,0,0,0,10
2023-09-03,0,0,0,0
2023-09-10,16,22,46,0
2023-09-17,21,12,31,0
2023-09-24,10,19,13,0
2023-10-01,44,0,39,0
2023-10-08,44,14,28,0
2023-10-15,29,0,19,12
2023-10-22,23,0,13,0
2023-10-29,16,22,25,0
2023-11-05,10,0,26,0
2023-11-12,47,0,29,0
