Kategorie: Alle Kategorien

Woche,Influenza: (Obwalden),influenza: (Obwalden),Grippe: (Obwalden),Flu: (Obwalden)
2013-01-06,0,0,0,0
2013-01-13,0,93,0,0
2013-01-20,38,0,0,0
2013-01-27,0,0,0,0
2013-02-03,34,38,0,22
2013-02-10,0,0,0,0
2013-02-17,0,0,0,0
2013-02-24,100,47,0,0
2013-03-03,0,0,0,0
2013-03-10,0,0,0,0
2013-03-17,0,0,0,0
2013-03-24,0,0,0,0
2013-03-31,22,0,0,0
2013-04-07,0,0,0,0
2013-04-14,10,0,0,0
2013-04-21,0,0,0,0
2013-04-28,15,14,0,14
2013-05-05,0,0,0,13
2013-05-12,0,0,0,0
2013-05-19,23,0,0,0
2013-05-26,12,0,0,0
2013-06-02,0,0,0,0
2013-06-09,0,0,0,16
2013-06-16,0,0,32,0
2013-06-23,0,0,11,0
2013-06-30,0,14,0,20
2013-07-07,0,0,0,0
2013-07-14,0,0,0,17
2013-07-21,0,0,30,0
2013-07-28,0,0,0,0
2013-08-04,17,0,0,0
2013-08-11,0,0,0,0
2013-08-18,27,0,0,0
2013-08-25,21,0,0,28
2013-09-01,0,0,0,0
2013-09-08,0,0,0,0
2013-09-15,0,20,13,0
2013-09-22,14,0,0,0
2013-09-29,13,71,0,0
2013-10-06,25,36,0,58
2013-10-13,0,0,19,0
2013-10-20,45,0,0,0
2013-10-27,23,0,0,0
2013-11-03,0,0,0,26
2013-11-10,0,0,0,0
2013-11-17,0,0,0,37
2013-11-24,0,22,0,0
2013-12-01,0,0,35,0
2013-12-08,0,30,0,0
2013-12-15,23,29,0,0
2013-12-22,0,29,0,0
2013-12-29,0,0,35,0
2014-01-05,0,19,0,0
2014-01-12,0,0,0,0
2014-01-19,0,0,0,0
2014-01-26,0,0,0,13
2014-02-02,0,0,0,18
2014-02-09,14,0,0,0
2014-02-16,12,12,0,0
2014-02-23,0,13,14,0
2014-03-02,0,0,0,0
2014-03-09,0,0,44,15
2014-03-16,0,0,0,0
2014-03-23,0,0,0,0
2014-03-30,0,0,0,33
2014-04-06,0,24,0,0
2014-04-13,29,0,0,0
2014-04-20,36,14,0,0
2014-04-27,0,0,0,0
2014-05-04,0,0,0,0
2014-05-11,0,0,0,0
2014-05-18,0,0,0,0
2014-05-25,39,0,0,0
2014-06-01,0,0,0,0
2014-06-08,16,0,0,0
2014-06-15,0,0,32,19
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,20
2014-07-13,20,0,0,0
2014-07-20,0,0,0,0
2014-07-27,0,26,0,38
2014-08-03,0,0,19,0
2014-08-10,22,0,0,0
2014-08-17,0,0,0,15
2014-08-24,0,42,0,0
2014-08-31,19,0,65,0
2014-09-07,0,0,0,0
2014-09-14,0,0,0,0
2014-09-21,0,0,0,0
2014-09-28,0,0,22,0
2014-10-05,0,0,0,0
2014-10-12,0,0,0,0
2014-10-19,0,0,19,0
2014-10-26,0,0,0,0
2014-11-02,37,0,0,0
2014-11-09,0,0,30,0
2014-11-16,0,0,0,0
2014-11-23,0,0,0,0
2014-11-30,0,0,0,0
2014-12-07,0,0,0,22
2014-12-14,0,0,0,0
2014-12-21,0,0,0,0
2014-12-28,0,0,0,0
2015-01-04,0,0,31,0
2015-01-11,0,0,0,0
2015-01-18,0,0,0,0
2015-01-25,34,0,0,29
2015-02-01,0,0,37,0
2015-02-08,0,0,0,0
2015-02-15,0,0,54,0
2015-02-22,0,0,0,0
2015-03-01,0,16,0,0
2015-03-08,0,0,0,0
2015-03-15,0,0,0,0
2015-03-22,0,0,0,32
2015-03-29,0,0,0,51
2015-04-05,0,0,0,0
2015-04-12,6,0,0,5
2015-04-19,0,0,8,0
2015-04-26,0,0,0,0
2015-05-03,0,0,0,0
2015-05-10,0,0,0,0
2015-05-17,0,0,0,0
2015-05-24,0,0,0,0
2015-05-31,0,0,0,0
2015-06-07,0,10,11,0
2015-06-14,0,0,0,0
2015-06-21,0,0,21,33
2015-06-28,0,0,0,45
2015-07-05,0,0,56,40
2015-07-12,25,0,17,48
2015-07-19,24,0,19,0
2015-07-26,0,0,0,22
2015-08-02,0,0,0,19
2015-08-09,0,0,69,0
2015-08-16,0,21,0,0
2015-08-23,0,0,0,0
2015-08-30,0,18,0,0
2015-09-06,0,0,0,0
2015-09-13,0,0,0,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,0
2015-10-04,0,0,0,0
2015-10-11,0,0,32,18
2015-10-18,0,0,33,0
2015-10-25,0,0,0,0
2015-11-01,15,0,39,0
2015-11-08,0,0,0,15
2015-11-15,13,0,0,0
2015-11-22,0,23,0,0
2015-11-29,0,0,0,0
2015-12-06,23,0,0,0
2015-12-13,12,0,0,0
2015-12-20,0,25,34,0
2015-12-27,0,0,0,0
2016-01-03,0,0,14,0
2016-01-10,0,15,0,0
2016-01-17,0,0,0,0
2016-01-24,0,0,23,0
2016-01-31,0,15,0,24
2016-02-07,12,0,0,0
2016-02-14,0,0,0,9
2016-02-21,29,0,11,0
2016-02-28,0,10,0,11
2016-03-06,11,10,18,13
2016-03-13,0,0,0,0
2016-03-20,0,0,0,0
2016-03-27,22,16,0,0
2016-04-03,14,0,0,17
2016-04-10,0,0,0,0
2016-04-17,0,0,0,0
2016-04-24,0,0,0,0
2016-05-01,0,0,0,12
2016-05-08,0,10,0,0
2016-05-15,9,0,12,18
2016-05-22,0,0,0,0
2016-05-29,9,0,11,12
2016-06-05,0,0,11,0
2016-06-12,11,0,0,0
2016-06-19,0,0,0,0
2016-06-26,20,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,8,0
2016-07-17,0,0,9,0
2016-07-24,0,0,0,0
2016-07-31,21,0,0,0
2016-08-07,0,0,0,8
2016-08-14,0,0,0,0
2016-08-21,0,8,0,0
2016-08-28,0,7,0,0
