Kategorie: Alle Kategorien

Woche,Influenza: (Schwyz),influenza: (Schwyz),Grippe: (Schwyz),Flu: (Schwyz)
2013-01-06,0,0,0,0
2013-01-13,100,0,0,0
2013-01-20,0,0,0,0
2013-01-27,47,0,0,0
2013-02-03,48,0,0,0
2013-02-10,0,0,22,0
2013-02-17,0,38,0,31
2013-02-24,16,14,15,89
2013-03-03,0,0,0,0
2013-03-10,39,0,0,0
2013-03-17,0,0,0,0
2013-03-24,0,15,0,0
2013-03-31,15,0,15,0
2013-04-07,0,32,0,18
2013-04-14,0,0,0,0
2013-04-21,0,0,23,0
2013-04-28,0,0,0,0
2013-05-05,0,0,0,15
2013-05-12,18,0,0,21
2013-05-19,14,0,0,0
2013-05-26,0,0,0,0
2013-06-02,0,0,0,29
2013-06-09,0,0,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,14,0
2013-06-30,0,0,0,24
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,8,0,0
2013-07-28,0,0,0,19
2013-08-04,0,0,22,8
2013-08-11,10,0,0,0
2013-08-18,0,0,0,16
2013-08-25,35,45,0,0
2013-09-01,0,0,10,15
2013-09-08,0,0,0,0
2013-09-15,0,0,0,0
2013-09-22,16,0,0,0
2013-09-29,0,0,11,0
2013-10-06,8,0,0,0
2013-10-13,0,0,9,13
2013-10-20,20,0,0,0
2013-10-27,0,0,0,6
2013-11-03,0,0,0,0
2013-11-10,0,7,0,0
2013-11-17,0,0,0,0
2013-11-24,0,9,7,0
2013-12-01,0,0,9,0
2013-12-08,0,0,6,0
2013-12-15,0,8,0,0
2013-12-22,0,0,7,0
2013-12-29,12,0,12,0
2014-01-05,0,0,0,0
2014-01-12,35,0,0,0
2014-01-19,0,0,8,0
2014-01-26,0,0,0,0
2014-02-02,0,0,0,0
2014-02-09,0,0,5,0
2014-02-16,6,0,0,0
2014-02-23,0,11,6,0
2014-03-02,0,0,0,0
2014-03-09,9,0,8,0
2014-03-16,6,0,6,8
2014-03-23,20,7,0,9
2014-03-30,0,0,0,0
2014-04-06,0,0,0,0
2014-04-13,13,0,0,0
2014-04-20,0,7,0,0
2014-04-27,0,10,0,0
2014-05-04,0,0,0,5
2014-05-11,0,0,4,0
2014-05-18,0,0,0,0
2014-05-25,0,0,0,8
2014-06-01,0,0,0,0
2014-06-08,0,0,0,12
2014-06-15,0,0,0,7
2014-06-22,0,0,0,0
2014-06-29,13,0,7,0
2014-07-06,24,0,0,0
2014-07-13,0,17,0,0
2014-07-20,0,0,0,0
2014-07-27,0,0,7,13
2014-08-03,0,0,0,0
2014-08-10,12,0,19,0
2014-08-17,0,0,0,0
2014-08-24,15,0,0,0
2014-08-31,0,0,0,10
2014-09-07,0,0,0,18
2014-09-14,0,0,13,0
2014-09-21,0,0,17,0
2014-09-28,0,0,0,6
2014-10-05,21,0,0,0
2014-10-12,0,0,0,0
2014-10-19,0,0,0,6
2014-10-26,0,0,15,0
2014-11-02,0,6,0,0
2014-11-09,0,12,10,9
2014-11-16,24,0,14,0
2014-11-23,0,0,9,0
2014-11-30,0,0,0,0
2014-12-07,0,0,12,15
2014-12-14,0,0,9,6
2014-12-21,0,0,0,0
2014-12-28,0,9,0,17
2015-01-04,13,0,0,0
2015-01-11,0,0,0,0
2015-01-18,8,0,0,0
2015-01-25,18,0,0,0
2015-02-01,7,0,0,0
2015-02-08,0,0,0,5
2015-02-15,13,0,7,0
2015-02-22,7,0,9,0
2015-03-01,0,0,0,0
2015-03-08,0,0,0,0
2015-03-15,0,0,0,0
2015-03-22,0,0,0,0
2015-03-29,15,0,10,0
2015-04-05,0,0,0,15
2015-04-12,0,0,9,0
2015-04-19,8,0,14,0
2015-04-26,0,0,0,0
2015-05-03,12,0,0,0
2015-05-10,0,0,0,21
2015-05-17,0,0,9,0
2015-05-24,0,0,9,0
2015-05-31,0,0,0,0
2015-06-07,0,12,0,6
2015-06-14,0,0,11,0
2015-06-21,0,0,0,0
2015-06-28,0,12,0,0
2015-07-05,0,0,0,0
2015-07-12,20,0,0,0
2015-07-19,14,0,0,0
2015-07-26,8,0,11,0
2015-08-02,0,0,0,0
2015-08-09,8,0,0,0
2015-08-16,0,0,0,0
2015-08-23,13,0,18,0
2015-08-30,0,0,0,0
2015-09-06,0,0,11,0
2015-09-13,0,6,0,0
2015-09-20,9,0,0,0
2015-09-27,0,0,0,15
2015-10-04,0,0,0,0
2015-10-11,0,0,0,0
2015-10-18,12,0,0,0
2015-10-25,0,0,0,8
2015-11-01,0,0,0,8
2015-11-08,0,0,12,5
2015-11-15,6,0,0,0
2015-11-22,0,0,0,0
2015-11-29,0,0,0,0
2015-12-06,0,11,8,7
2015-12-13,0,0,0,0
2015-12-20,8,0,0,0
2015-12-27,0,0,0,0
2016-01-03,0,0,0,0
2016-01-10,0,0,0,0
2016-01-17,0,7,0,0
2016-01-24,0,0,7,0
2016-01-31,0,0,0,0
2016-02-07,7,0,0,5
2016-02-14,7,0,0,0
2016-02-21,0,0,6,0
2016-02-28,0,0,8,0
2016-03-06,9,13,7,0
2016-03-13,6,0,6,0
2016-03-20,6,0,0,11
2016-03-27,0,0,9,0
2016-04-03,0,0,9,0
2016-04-10,5,0,0,0
2016-04-17,0,0,0,0
2016-04-24,5,0,0,0
