Kategorie: Alle Kategorien

Woche,Influenza: (Zürich),influenza: (Zürich),Grippe: (Zürich),Flu: (Zürich)
2022-11-27,33,8,20,6
2022-12-04,39,10,26,6
2022-12-11,66,13,48,8
2022-12-18,100,19,72,16
2022-12-25,92,22,67,12
2023-01-01,55,9,42,9
2023-01-08,33,8,25,3
2023-01-15,25,7,20,5
2023-01-22,23,4,18,5
2023-01-29,30,4,21,6
2023-02-05,29,6,19,2
2023-02-12,33,10,26,2
2023-02-19,30,3,23,5
2023-02-26,31,10,20,4
2023-03-05,40,7,28,6
2023-03-12,35,5,22,5
2023-03-19,27,7,22,3
2023-03-26,29,2,18,5
2023-04-02,26,5,14,3
2023-04-09,30,0,18,1
2023-04-16,17,5,13,0
2023-04-23,20,3,13,2
2023-04-30,16,1,12,2
2023-05-07,17,3,13,5
2023-05-14,15,0,14,0
2023-05-21,16,1,9,4
2023-05-28,12,1,10,2
2023-06-04,8,3,6,0
2023-06-11,18,0,13,6
2023-06-18,15,0,5,3
2023-06-25,15,0,2,5
2023-07-02,12,0,8,6
2023-07-09,15,4,12,1
2023-07-16,10,2,8,2
2023-07-23,16,2,9,4
2023-07-30,13,2,5,0
2023-08-06,19,2,13,3
2023-08-13,16,0,13,3
2023-08-20,8,2,6,2
2023-08-27,18,0,16,1
2023-09-03,14,2,6,3
2023-09-10,22,5,11,4
2023-09-17,14,2,15,3
2023-09-24,18,0,13,7
2023-10-01,25,5,14,9
2023-10-08,26,4,19,3
2023-10-15,24,3,20,4
2023-10-22,28,3,17,9
2023-10-29,33,4,16,7
2023-11-05,43,4,34,7
2023-11-12,38,3,25,7
