Kategorie: Alle Kategorien

Woche,husten: (Graubünden),Fieber: (Graubünden),fièvre: (Graubünden),toux: (Graubünden)
2017-11-05,0,35,0,0
2017-11-12,0,22,0,0
2017-11-19,30,55,0,0
2017-11-26,18,25,0,0
2017-12-03,0,0,0,0
2017-12-10,26,0,0,0
2017-12-17,0,20,0,0
2017-12-24,43,28,0,0
2017-12-31,10,49,0,0
2018-01-07,18,20,0,0
2018-01-14,0,57,0,0
2018-01-21,20,0,0,0
2018-01-28,46,80,0,0
2018-02-04,13,19,0,0
2018-02-11,15,28,0,0
2018-02-18,38,36,0,0
2018-02-25,24,25,0,0
2018-03-04,0,0,0,0
2018-03-11,0,0,0,0
2018-03-18,27,71,0,0
2018-03-25,54,26,0,0
2018-04-01,0,0,0,0
2018-04-08,25,0,0,0
2018-04-15,28,0,0,0
2018-04-22,0,0,0,0
2018-04-29,34,36,0,0
2018-05-06,29,0,0,0
2018-05-13,0,0,0,0
2018-05-20,25,0,0,0
2018-05-27,0,0,0,0
2018-06-03,15,27,0,0
2018-06-10,0,23,0,0
2018-06-17,0,0,0,0
2018-06-24,36,17,0,0
2018-07-01,21,20,0,0
2018-07-08,24,19,0,0
2018-07-15,0,17,0,0
2018-07-22,15,38,0,0
2018-07-29,0,22,0,0
2018-08-05,0,0,0,0
2018-08-12,30,0,0,0
2018-08-19,0,0,0,0
2018-08-26,53,0,0,0
2018-09-02,0,0,0,0
2018-09-09,31,21,0,0
2018-09-16,0,32,0,0
2018-09-23,0,24,0,0
2018-09-30,23,0,0,0
2018-10-07,58,0,0,0
2018-10-14,19,0,0,0
2018-10-21,31,30,0,0
2018-10-28,0,26,0,0
2018-11-04,0,0,0,0
2018-11-11,17,40,0,0
2018-11-18,0,44,0,0
2018-11-25,0,52,0,0
2018-12-02,0,0,0,0
2018-12-09,20,23,0,0
2018-12-16,28,28,0,0
2018-12-23,49,45,0,0
2018-12-30,0,19,0,0
2019-01-06,51,0,0,0
2019-01-13,31,0,0,0
2019-01-20,48,0,0,0
2019-01-27,50,57,0,0
2019-02-03,0,58,0,0
2019-02-10,20,34,0,0
2019-02-17,46,30,0,0
2019-02-24,0,14,0,0
2019-03-03,0,67,0,0
2019-03-10,11,0,0,0
2019-03-17,0,0,0,0
2019-03-24,30,0,0,0
2019-03-31,16,25,0,0
2019-04-07,0,0,0,0
2019-04-14,0,48,0,0
2019-04-21,20,0,0,0
2019-04-28,0,30,0,0
2019-05-05,0,0,0,0
2019-05-12,18,0,0,0
2019-05-19,30,0,0,0
2019-05-26,0,0,0,0
2019-06-02,0,58,0,0
2019-06-09,24,44,0,0
2019-06-16,0,20,0,0
2019-06-23,14,34,0,0
2019-06-30,0,36,0,0
2019-07-07,23,50,0,0
2019-07-14,60,20,0,0
2019-07-21,0,0,0,0
2019-07-28,0,0,0,0
2019-08-04,0,79,0,0
2019-08-11,0,0,0,0
2019-08-18,0,0,0,0
2019-08-25,0,0,0,0
2019-09-01,0,51,0,0
2019-09-08,0,0,0,0
2019-09-15,34,12,0,0
2019-09-22,0,16,0,0
2019-09-29,29,36,0,0
2019-10-06,0,0,0,0
2019-10-13,29,0,0,0
2019-10-20,0,18,0,0
2019-10-27,16,12,0,0
2019-11-03,19,31,0,0
2019-11-10,78,25,0,0
2019-11-17,0,28,0,0
2019-11-24,0,0,0,0
2019-12-01,38,0,0,0
2019-12-08,16,0,0,0
2019-12-15,15,14,0,0
2019-12-22,36,26,0,0
2019-12-29,35,18,0,0
2020-01-05,13,46,0,0
2020-01-12,60,35,0,0
2020-01-19,31,25,0,0
2020-01-26,16,50,0,0
2020-02-02,9,39,0,0
2020-02-09,29,30,0,0
2020-02-16,35,52,0,0
2020-02-23,20,22,0,0
2020-03-01,21,73,0,0
2020-03-08,0,100,0,0
2020-03-15,56,79,0,0
2020-03-22,31,31,0,0
2020-03-29,51,23,0,0
2020-04-05,0,0,0,0
2020-04-12,0,0,0,0
2020-04-19,0,18,0,0
2020-04-26,0,10,0,0
2020-05-03,12,0,0,0
2020-05-10,29,0,0,0
2020-05-17,0,63,0,0
2020-05-24,0,0,0,0
2020-05-31,0,18,0,0
2020-06-07,0,0,0,0
2020-06-14,38,22,0,0
2020-06-21,0,0,0,0
2020-06-28,0,12,0,0
2020-07-05,23,0,0,0
2020-07-12,25,39,0,0
2020-07-19,0,52,0,0
2020-07-26,0,0,0,0
2020-08-02,0,27,0,0
2020-08-09,46,35,0,0
2020-08-16,0,17,0,0
2020-08-23,0,11,0,0
2020-08-30,16,0,0,0
2020-09-06,23,28,0,0
2020-09-13,16,0,0,0
2020-09-20,0,45,0,0
2020-09-27,0,0,0,0
2020-10-04,0,16,0,0
2020-10-11,0,35,0,0
2020-10-18,17,58,0,0
2020-10-25,25,25,0,0
2020-11-01,0,18,0,0
2020-11-08,14,57,0,0
2020-11-15,13,31,0,0
2020-11-22,12,54,0,0
2020-11-29,0,26,0,0
2020-12-06,29,11,0,0
2020-12-13,13,17,0,0
2020-12-20,26,37,0,0
2020-12-27,0,17,0,0
2021-01-03,10,0,0,0
2021-01-10,0,23,0,0
2021-01-17,18,17,0,0
2021-01-24,9,0,0,0
2021-01-31,0,11,0,0
2021-02-07,15,46,0,0
2021-02-14,0,0,0,0
2021-02-21,16,0,0,0
2021-02-28,0,29,0,0
2021-03-07,12,12,0,0
2021-03-14,24,0,0,0
2021-03-21,10,19,0,0
2021-03-28,13,0,0,0
2021-04-04,0,18,0,0
2021-04-11,0,18,0,0
