Kategorie: Alle Kategorien

Woche,husten: (Bern),Fieber: (Bern),fièvre: (Bern),toux: (Bern)
2013-01-06,26,14,23,11
2013-01-13,41,46,0,11
2013-01-20,53,27,0,0
2013-01-27,43,54,23,0
2013-02-03,44,87,0,0
2013-02-10,21,76,0,24
2013-02-17,56,59,0,12
2013-02-24,46,42,0,17
2013-03-03,24,21,0,0
2013-03-10,19,44,0,0
2013-03-17,36,25,7,17
2013-03-24,29,27,0,0
2013-03-31,27,21,0,0
2013-04-07,42,0,0,0
2013-04-14,32,45,0,0
2013-04-21,44,20,0,0
2013-04-28,13,48,0,0
2013-05-05,13,12,0,16
2013-05-12,44,28,9,0
2013-05-19,9,22,0,0
2013-05-26,14,14,0,8
2013-06-02,19,19,0,24
2013-06-09,13,26,0,11
2013-06-16,24,0,0,0
2013-06-23,30,27,0,0
2013-06-30,33,15,0,0
2013-07-07,0,42,0,39
2013-07-14,0,0,0,11
2013-07-21,48,24,0,0
2013-07-28,0,34,27,0
2013-08-04,20,34,0,0
2013-08-11,32,21,0,0
2013-08-18,28,42,0,0
2013-08-25,12,54,0,17
2013-09-01,0,41,0,0
2013-09-08,9,14,18,0
2013-09-15,8,23,0,11
2013-09-22,37,35,0,0
2013-09-29,24,44,0,38
2013-10-06,14,0,0,10
2013-10-13,13,25,0,0
2013-10-20,10,24,0,0
2013-10-27,0,34,10,0
2013-11-03,32,28,0,13
2013-11-10,15,46,11,12
2013-11-17,26,23,14,11
2013-11-24,23,28,0,0
2013-12-01,33,21,18,15
2013-12-08,37,38,9,51
2013-12-15,26,12,33,0
2013-12-22,52,45,27,14
2013-12-29,28,47,0,11
2014-01-05,32,22,0,0
2014-01-12,49,42,0,0
2014-01-19,31,36,0,0
2014-01-26,20,31,0,0
2014-02-02,15,32,10,15
2014-02-09,42,31,0,8
2014-02-16,8,28,0,23
2014-02-23,0,36,0,20
2014-03-02,47,24,11,0
2014-03-09,16,24,0,0
2014-03-16,52,40,0,0
2014-03-23,28,34,9,0
2014-03-30,36,42,0,16
2014-04-06,14,30,0,9
2014-04-13,32,12,0,0
2014-04-20,18,42,0,15
2014-04-27,11,22,0,0
2014-05-04,0,11,0,0
2014-05-11,28,32,8,0
2014-05-18,14,22,0,0
2014-05-25,24,10,0,31
2014-06-01,15,39,0,18
2014-06-08,14,35,0,0
2014-06-15,0,24,11,0
2014-06-22,10,43,12,0
2014-06-29,0,14,0,0
2014-07-06,17,50,21,0
2014-07-13,23,35,0,0
2014-07-20,0,16,0,0
2014-07-27,0,25,0,0
2014-08-03,18,26,0,0
2014-08-10,0,34,0,22
2014-08-17,21,16,10,0
2014-08-24,36,16,0,0
2014-08-31,24,10,0,12
2014-09-07,0,26,0,0
2014-09-14,11,25,0,0
2014-09-21,0,48,0,0
2014-09-28,0,10,0,12
2014-10-05,14,41,0,18
2014-10-12,24,57,0,0
2014-10-19,42,44,0,30
2014-10-26,10,56,0,35
2014-11-02,67,49,0,0
2014-11-09,42,30,16,0
